物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
10010034,金象牌精选泰香米,2.5kg,袋,,18.00,3.00,15.00,51.363,154.88,774.42
10010035,金象牌精选泰香米,5KG,袋,,12.00, ,12.00,86.300, ,930.10
,粮油,,,,,,,,154.88,"1,704.52"
11060201,精选手工蒜肉,,斤,,30.00, ,30.00,8.000, ,240.00
15020013,黑盐,,瓶,,6.00,3.00,3.00, , , 
15040001,樱花芥辣,43g,支,,25.00,5.00,20.00,9.000,45.00,180.00
15040064,泰国辣鸡酱,880g,瓶,,8.00,3.00,5.00,13.000,39.00,65.00
15050016,宁化府陈醋,330ml,支,,10.00,6.00,4.00,10.750,64.50,43.00
15060009,日本海鲜豉油,200ml,瓶,,18.00,7.00,11.00,20.000,140.00,220.00
15060016,泰国鱼露,725毫升,瓶,,1.00,1.00, ,8.000,8.00, 
15060048,海天罐装金标生抽,1.9l,罐,,9.00,3.00,6.00,16.700,50.10,100.20
15060090,辣椒浸蒜头,,斤,,25.00,25.00, ,12.000,300.00, 
,食品,,,,,,,,646.60,848.20
合计,,,,,,,,,801.48,"2,552.72"
