物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07020020,明虾,,斤,,145.00,5.00,140.00,48.519,244.79,"6,854.21"
07030021,毛蟹,,斤,,1.00, ,1.00,38.000, ,38.00
08040001,鸡蛋,,斤,,10.00, ,10.00,5.000, ,50.00
08040006,咸蛋黄,,只,,220.00,60.00,160.00,1.200,72.00,192.00
09040005,猪肥肉,,斤,,2.00,2.00, ,7.500,15.00, 
09040009,无皮花肉,,斤,,2.80,1.00,1.80,12.714,12.71,22.89
09050003,牛柳,,斤,,4.00,2.00,2.00,36.000,72.00,72.00
09110002,腊肉,,斤,,5.00,2.00,3.00,37.500,75.00,112.50
09110003,腊肠,,斤,,5.00,2.00,3.00,37.500,75.00,112.50
09120013,黄花鱼,,斤,,2.00,2.00, ,23.000,46.00, 
09120133,麻虾仁31-40,,斤,,155.00,80.00,75.00,45.000,"3,600.00","3,375.00"
09120206,凤爪,,斤,,44.50,3.00,41.50,22.800,68.40,946.20
09120211,樱花虾,0.5KG/包,斤,,1.00,1.20,-0.20,181.840,218.21,-36.37
09120222,虾饺馅,,斤,,8.00,11.00,-3.00,54.500,599.50,-163.50
09120224,珍珠蚝,,包,,16.00,2.00,14.00,10.000,20.00,140.00
09120260,烧卖馅,,斤,,105.00,9.00,96.00,34.300,308.70,"3,292.80"
,肉类,,,,,,,,"5,427.31","15,008.23"
10010020,五彩米,,包,,22.00,16.00,6.00,30.800,492.80,184.80
10010036,东北糯米,,斤,,48.00,3.00,45.00,4.000,12.00,180.00
10030038,双箭澄面,,包,,3.00,2.00,1.00,215.000,430.00,215.00
,粮油,,,,,,,,934.80,579.80
11010004,青瓜,,斤,,19.50,3.00,16.50,2.850,8.55,47.05
11010016,小金瓜,,斤,,16.00,0.50,15.50,4.000,2.00,62.00
11010022,太阳果,,只,,30.00, ,30.00,7.000, ,210.00
11010024,本地木瓜,,斤,,26.00,5.00,21.00,2.700,13.50,56.70
11010038,7两太阳果,,只,,88.00, ,88.00,7.000, ,616.00
11010042,9两太阳果,,只,,29.00,9.00,20.00,7.000,63.00,140.00
11020006,鲜冬菇,,斤,,17.00,2.00,15.00,7.500,15.00,112.50
11020021,杏鲍菇,,斤,,52.00,5.00,47.00,6.500,32.50,305.50
11020028,百灵菇,,斤,,42.00,17.00,25.00,16.000,272.00,400.00
11060014,干水小塘菜,,斤,,19.00, ,19.00,2.800, ,53.20
11060015,干水奶白菜,,斤,,7.00, ,7.00,2.500, ,17.50
11060016,干水西生菜,,斤,,21.10,2.00,19.10,3.500,7.00,66.85
11060027,韭菜,,斤,,4.50,1.00,3.50,3.750,3.73,13.07
11060044,西兰花,,斤,,31.00,3.00,28.00,4.091,12.29,114.71
11060055,薄荷叶,,斤,,4.50,0.50,4.00,10.000,5.00,40.00
11060060,莲藕,,斤,,19.00,4.00,15.00,4.300,17.20,64.50
11060063,紫心番薯,,斤,,36.00,4.00,32.00,3.500,14.00,112.00
11060076,白萝卜,,斤,,99.00,6.00,93.00,1.600,9.60,148.80
11060096,紫苏叶,,斤,,1.00, ,1.00,5.000, ,5.00
11060103,大白菜,,斤,,5.00, ,5.00,1.600, ,8.00
11060124,百合皇,,斤,,13.60,1.00,12.60,45.000,45.00,567.00
11060129,泰国芫西,,斤,,4.30,2.00,2.30,18.000,36.00,41.40
11060130,洛神花,,斤,,0.50,0.50, ,90.000,45.00, 
11060171,乐昌芋头,,斤,,10.00,5.00,5.00,6.500,32.50,32.50
11060174,九层塔,,斤,,2.60, ,2.60,9.000, ,23.40
11060205,芥兰苗,,斤,,1.00,1.00, ,6.500,6.50, 
11060255,芥兰远,,斤,,11.00,2.00,9.00,5.000,10.00,45.00
11070032,金不换,,斤,,0.50,0.50, ,7.000,3.50, 
11070057,大叶,,合,,24.00,5.00,19.00,7.000,35.00,133.00
11070061,栗子,,斤,,3.00, ,3.00,13.500, ,40.50
11070073,冰鲜黑松露菌,,斤,,6.00,2.20,3.80,450.000,990.00,"1,710.00"
11070081,广西老淮山,,斤,,2.00,2.00, ,5.500,11.00, 
,蔬菜,,,,,,,,"1,689.87","5,186.18"
10010022,三象糯米粉,,包,,24.00,22.00,2.00,6.250,136.77,12.43
10020015,红米粉,,斤,,2.00,2.00, ,20.000,40.00, 
10020022,粘米粉(斤),,斤,,5.00,4.00,1.00,5.000,20.00,5.00
10030021,大王皮,,斤,,9.00,3.00,6.00,3.000,9.00,18.00
10030031,白网皮,200g,包,,18.00,7.00,11.00,11.000,77.00,121.00
10030046,金像面粉(斤),,斤,,145.40,110.00,35.40,3.689,407.34,131.09
10030047,美玫面粉(斤),,斤,,339.00,110.00,229.00,3.634,399.78,832.27
10030052,稻庭面,1KG,包,,71.00,25.00,46.00,78.000,"1,950.00","3,588.00"
10030053,云吞皮,,斤,,4.00,1.00,3.00,6.000,6.00,18.00
10030072,方黄金网皮,,包,,1.00, ,1.00,20.000, ,20.00
10030073,麻薯粉,,包,,2.00,2.00, ,95.000,190.00, 
10030075,酥皮,,箱,,8.00,2.00,6.00,131.625,259.50,778.50
10030077,全麦面粉,,斤,,4.00,4.00, ,7.700,30.80, 
10030079,3号起酥皮,,箱,,1.00,1.00, ,100.000,100.00, 
10030080,圆黄金网皮,,包,,18.00, ,18.00,18.000, ,324.00
10050009,饼干,,包,,2.00,2.00, ,20.000,40.00, 
10050047,小笼包馅,,斤,,54.50,4.00,50.50,15.400,61.60,777.70
10050049,猪皮冻,,斤,,54.60,8.00,46.60,18.000,144.00,838.80
10050066,排骨馅,,斤,,54.50,2.00,52.50,26.000,52.00,"1,365.00"
10050067,牛肉馅,,斤,,66.00,6.00,60.00,31.743,194.00,"1,940.00"
10050069,脆皮,,斤,,12.70,2.00,10.70,15.000,30.00,160.50
12030051,朗姆酒,,支,,1.50,1.50, ,90.000,135.00, 
12030053,咖啡酒,,支,,0.50,0.50, ,95.000,47.50, 
14010005,哈密瓜,,斤,,1.50, ,1.50,6.250, ,9.38
14010006,夏威夷木瓜,,斤,,3.50, ,3.50,3.913, ,13.70
14020003,奇异果,,只,,15.00, ,15.00,3.000, ,45.00
14020011,点心芒果,,斤,,19.50,3.00,16.50,9.000,27.00,148.50
14060002,草莓,,合,,15.00,3.00,12.00,7.000,21.00,84.00
14070004,进口红提,,斤,,4.50, ,4.50,13.253, ,59.64
14080001,雪梨,,斤,,112.80,3.00,109.80,4.144,12.01,439.69
14090034,脱衣核桃,,斤,,2.00,2.00, ,54.000,108.00, 
14090040,椰子,,只,,8.00,5.00,3.00,5.500,26.87,16.13
15010006,黄奶油,,桶,,2.00,1.00,1.00,305.000,305.00,305.00
15010024,车轮黄牛油,16KG,桶,,0.67,0.20,0.47,305.000,61.00,143.35
15010025,车轮白奶油,15KG,桶,,2.00,1.30,0.70,315.000,409.50,220.50
15010037,正义猪板油(斤),,斤,,15.00,10.00,5.00,9.000,90.00,45.00
15010046,纽西兰大牛油,,件,,0.20,0.20, ,"1,050.000",210.00, 
15010047,蛋糕油,,瓶,,1.33,1.10,0.23,45.000,49.50,10.35
15010052,猪油,,桶,,1.00,1.00, ,220.000,220.00, 
15030001,幼沙糖,30kg,包,,2.33,1.50,0.83,210.000,315.00,174.30
15030003,冰片糖,9.6千克,件,,1.00,0.60,0.40,58.000,34.80,23.20
15030005,宝生园蜜糖,375克,瓶,,20.00,3.00,17.00,6.500,19.50,110.50
15030031,银珠糖,,罐,,1.00,1.00, ,28.000,28.00, 
15030035,雀巢咖啡布丁,,包,,3.00,3.00, ,28.500,85.50, 
15040001,樱花芥辣,43g,支,,7.00,3.00,4.00,9.000,27.00,36.00
15040007,四季宝花生酱,1kg,罐,,2.00,2.00, ,34.000,68.00, 
