物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
09010001,三黄鸡,,斤,,172.00, ,172.00,10.000, ,"1,720.00"
09020002,光鸭,,斤,,255.20, ,255.20,9.000, ,"2,296.80"
09040009,无皮花肉,,斤,,284.20, ,284.20,12.000, ,"3,410.40"
17020003,福食冻猪手,,斤,,114.00, ,114.00,14.000, ,"1,596.00"
17030001,福食鲩鱼,,斤,,74.10, ,74.10,7.167, ,535.00
17030003,福食咸鱼,,斤,,16.00,5.00,11.00,18.000,90.00,198.00
17030015,福食烧鸭,,斤,,36.70, ,36.70,16.000, ,587.20
17040006,福食鸡腿,,斤,,118.70,10.00,108.70,9.000,90.00,978.30
17070006,福食腊肠,,斤,,13.00, ,13.00,16.500, ,214.50
17070007,福食腊肉,,斤,,13.00, ,13.00,32.500, ,422.50
,肉类,,,,,,,,180.00,"11,958.70"
10010016,厨上厨猫牙米,,包,,20.00,3.00,17.00,125.000,375.00,"2,125.00"
10020007,优质河粉,,斤,,50.00, ,50.00,1.700, ,85.00
10050074,米线,,斤,,45.00, ,45.00,2.133, ,96.00
17050009,福食虾子面,,斤,,52.00,8.00,44.00,4.000,32.00,176.00
,粮油,,,,,,,,407.00,"2,482.00"
07010153,葵瓜子,,斤,,2.00, ,2.00,7.500, ,15.00
14020013,红富士苹果,,斤,,105.00, ,105.00,5.952, ,625.00
14050001,沙田柚,,斤,,92.50, ,92.50,4.270, ,395.00
14090054,沙糖桔,,斤,,14.00, ,14.00,7.000, ,98.00
15010029,海天上等蚝油,,罐,,3.00, ,3.00,32.000, ,96.00
15040050,腐乳,335克,瓶,,51.00,25.00,26.00,5.600,140.00,145.60
15090006,绿豆,,斤,,22.00, ,22.00,6.500, ,143.00
15090107,红衣花生,,斤,,23.30, ,23.30,8.000, ,186.40
15090137,朱古力金币,,斤,,2.00, ,2.00,30.000, ,60.00
15130043,徐福记杂锦糖,,斤,,5.00, ,5.00,19.000, ,95.00
17010068,福食香脆片,,斤,,39.50, ,39.50,2.800, ,110.60
17040001,福食鸡蛋,,斤,,611.90,22.00,589.90,5.838,128.05,"3,433.47"
,食品,,,,,,,,268.05,"5,403.07"
17010001,福食生菜,,斤,,336.00, ,336.00,1.600, ,537.60
17010002,福食白萝卜,,斤,,189.00, ,189.00,1.500, ,283.50
17010005,福食油麦菜,,斤,,162.00, ,162.00,1.800, ,291.60
17010006,福食大白菜,,斤,,166.00, ,166.00,1.500, ,249.00
17010008,福食西洋菜,,斤,,206.00, ,206.00,1.600, ,329.60
17010009,福食本地菜心,,斤,,295.00, ,295.00,2.500, ,737.50
17010010,福食青尖椒,,斤,,115.00, ,115.00,3.000, ,345.00
17010013,福食椰菜,,斤,,80.00, ,80.00,1.500, ,120.00
17010015,福食青瓜,,斤,,100.00, ,100.00,2.800, ,280.00
17010016,福食鲜冬菇,,斤,,36.00, ,36.00,7.500, ,270.00
17010020,福食肉姜,,斤,,9.00, ,9.00,6.500, ,58.50
17010021,福食葱肉,,斤,,9.00, ,9.00,4.500, ,40.50
17010025,福食小白菜,,斤,,129.00, ,129.00,1.600, ,206.40
17010026,福食大芥菜,,斤,,122.00, ,122.00,2.000, ,244.00
17010029,福食红萝卜,,斤,,5.00, ,5.00,2.000, ,10.00
17010033,福食苦麦菜,,斤,,235.00, ,235.00,2.000, ,470.00
17010038,福食奶白菜,,斤,,46.00, ,46.00,2.000, ,92.00
17010048,福食大豆芽,,斤,,71.00, ,71.00,1.000, ,71.00
17010056,福食凉瓜,,斤,,75.00, ,75.00,4.000, ,300.00
17010057,福食鲜木耳,,斤,,15.00, ,15.00,2.500, ,37.50
17010059,福食春菜,,斤,,190.00, ,190.00,2.000, ,380.00
17010067,福食青圆椒,,斤,,50.00, ,50.00,2.800, ,140.00
17010069,福食粉芋头,,斤,,116.00, ,116.00,3.500, ,406.00
17010070,福食水东芥菜,,斤,,81.00, ,81.00,2.000, ,162.00
17010071,福食红洋葱,,斤,,35.00, ,35.00,2.000, ,70.00
17010075,福食菠菜,,斤,,80.00, ,80.00,2.800, ,224.00
17010078,福食上海青,,斤,,82.00, ,82.00,1.500, ,123.00
,蔬菜,,,,,,,, ,"6,478.70"
13010001,大可乐,2l,支,,6.00, ,6.00,5.000, ,30.00
13010005,大雪碧,2l,支,,6.00, ,6.00,5.000, ,30.00
,饮料,,,,,,,, ,60.00
合计,,,,,,,,,855.05,"26,382.47"
