物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
02010009,80-90克岩手大网鲍,,只,,7.50,7.50, ,"1,409.000","10,567.50", 
02010010,90-100克岩手大网鲍,,只,,1.00, ,1.00,"2,213.000", ,"2,213.00"
02010011,120-150克岩手大网鲍,,只,,12.00,11.75,0.25,"5,000.000","58,750.00","1,250.00"
02020002,26-30头吉品鲍,,斤,,0.14, ,0.14,"4,250.000", ,595.00
02020009,21-25头吉品鲍,,斤,,2.11,0.84,1.27,"4,750.000","3,990.00","6,032.50"
02020010,16头-20头吉品鲍,,斤,,1.67,0.67,1.00,"6,000.000","4,020.00","6,000.00"
02030005,10-13头南非网鲍,,斤,,1.00,1.00, ,"1,333.330","1,333.33", 
02030008,25头南非吉品鲍,,斤,,2.15,2.15, ,"1,854.955","3,990.82", 
合计,,,,,,,,,"82,651.65","16,090.50"
03020005,19寸牙拣翅,,斤,,1.50,0.35,1.15,683.330,239.16,785.83
03050002,11寸牙勾翅,,斤,,4.34,3.18,1.16,900.000,"2,862.00","1,044.00"
0308,23寸鬼春翅,,斤,,3.53,1.77,1.76,"1,666.660","2,949.99","2,933.32"
合计,,,,,,,,,"6,051.15","4,763.15"
0102,燕盏,,斤,,1.74,0.92,0.82,"2,878.420","2,648.29","2,360.44"
合计,,,,,,,,,"2,648.29","2,360.44"
0403,冬虫草1500支,,斤,,0.084247,0.076027,0.00822,"80,000.000","6,082.16",657.60
合计,,,,,,,,,"6,082.16",657.60
,食品,,,,,,,,97433.25,23871.69
07010112,大鱼,,斤,,10.70, ,10.70,125.000, ,"1,337.50"
合计,肉类,,,,,,,, ,"1,337.50"
