物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050016,海螺,,斤,,3.00,11.00,-8.00,48.000,528.00,-384.00
09030005,鹅肝,,斤,,5.60,5.00,0.60,140.000,700.00,84.00
09120001,冻三文鱼,,斤,,5.20,8.80,-3.60,40.000,352.00,-144.00
09120095,三文鱼籽,,斤,,4.20,0.10,4.10,186.667,18.52,759.48
09120122,鸭利,,斤,,56.30,8.00,48.30,28.000,224.00,"1,352.40"
,肉类,,,,,,,,"1,822.52","1,667.88"
11010032,水果青瓜,,斤,,26.00,1.40,24.60,6.613,9.23,162.17
11030028,甜蜜豆,,斤,,13.00,0.50,12.50,8.600,4.29,107.21
11050002,莴笋头,,斤,,25.00, ,25.00,3.000, ,75.00
11060016,干水西生菜,,斤,,4.40, ,4.40,3.500, ,15.40
11060027,韭菜,,斤,,6.30,0.50,5.80,3.800,1.90,22.04
11060040,香芹,,斤,,11.00, ,11.00,3.200, ,35.20
11060055,薄荷叶,,斤,,13.60,0.20,13.40,10.000,2.00,134.00
11060060,莲藕,,斤,,49.00,6.00,43.00,4.300,25.80,184.90
11060063,紫心番薯,,斤,,27.00,4.00,23.00,3.500,14.00,80.50
11060065,红洋葱,,斤,,56.00, ,56.00,2.300, ,128.80
11060075,红萝卜,,斤,,36.00,2.00,34.00,2.000,4.00,68.00
11060076,白萝卜,,斤,,19.00, ,19.00,1.600, ,30.40
11060104,黄心番薯,,斤,,4.00, ,4.00,3.500, ,14.00
11060181,万年青,,斤,,28.50,12.00,16.50,28.000,336.00,462.00
11070034,柠檬叶,,斤,,0.50, ,0.50,10.000, ,5.00
11070049,生花生,,斤,,3.80,3.80, ,9.500,36.10, 
11070081,广西老淮山,,斤,,16.00, ,16.00,5.300, ,84.80
,蔬菜,,,,,,,,433.32,"1,609.42"
09120209,海蜇丝,,斤,,50.00,42.00,8.00,12.500,525.00,100.00
09120239,红珊蚌,,盒,,17.00,5.00,12.00,61.667,311.76,748.24
10010008,红谷米,,斤,,2.90,1.80,1.10,7.000,12.60,7.70
10010017,糯米(斤),,斤,,0.20,1.80,-1.60,4.400,7.92,-7.04
10010036,东北糯米,,斤,,2.00,1.60,0.40,4.000,6.40,1.60
10030023,春卷皮,,包,,10.00, ,10.00,18.000, ,180.00
10030055,越南春卷皮/干,,包,,6.00,7.00,-1.00,18.000,126.00,-18.00
11030046,进口厚腐皮,,斤,,4.00,2.00,2.00,26.500,53.00,53.00
11060137,意大利黑醋,,支,,1.00, ,1.00,26.000, ,26.00
11060138,素鲍鱼,,只,,40.00,13.00,27.00,9.000,117.00,243.00
12030019,长城干红,750ml,支,,4.00, ,4.00,24.000, ,96.00
12030025,清酒,1.8升,支,,1.00, ,1.00,130.000, ,130.00
12030050,塔牌花雕,500ML,支,,1.00,0.50,0.50,6.500,3.25,3.25
13020007,苹果醋,,支,,8.00,3.00,5.00,5.200,15.60,26.00
13020017,葡萄汁,,支,,3.00, ,3.00,36.000, ,108.00
14030002,新奇士橙,,斤,,4.00,0.60,3.40,10.000,6.00,34.00
14060002,草莓,,合,,14.00, ,14.00,7.125, ,98.50
14090010,番茄仔,,斤,,12.50,1.40,11.10,3.889,5.43,43.07
15010011,芥茉油,60毫升,支,,9.00,5.00,4.00,4.000,20.00,16.00
15030005,宝生园蜜糖,375克,瓶,,1.00, ,1.00,6.500, ,6.50
15030016,双桥麦芽糖,,桶,,1.00,0.50,0.50,3.000,1.50,1.50
15040010,卡夫奇妙酱,700ml,瓶,,0.70, ,0.70,21.000, ,14.70
15040036,味可美草莓酱,,瓶,,4.00, ,4.00,8.900, ,35.60
15040039,排骨酱,,瓶,,4.50,4.50, ,22.000,99.00, 
15040089,地门玉米粒,420g,罐,,5.00, ,5.00,6.000, ,30.00
15040148,丘比蓝莓酱,,瓶,,12.00, ,12.00,17.500, ,210.00
15050016,宁化府陈醋,330ml,支,,21.00,4.00,17.00,10.750,43.00,182.75
15050019,宝鼎上海白醋,,支,,3.00,1.20,1.80,3.600,4.32,6.48
15050024,海天白米醋,,支,,5.00,4.00,1.00,4.000,16.00,4.00
15060010,李锦记旧装蚝油,510克,瓶,,8.00,1.50,6.50,29.500,44.25,191.75
15060016,泰国鱼露,725毫升,瓶,,1.50,0.50,1.00,8.000,4.00,8.00
15060027,浓缩橙汁,840ml,瓶,,1.00,1.00, ,35.000,35.00, 
15060029,味淋,1.8l,瓶,,1.00, ,1.00,55.000, ,55.00
15060031,香槽卤,,瓶,,2.00,11.00,-9.00,6.000,66.00,-54.00
15060033,家乐浓缩鸡汁,1kg,瓶,,6.20,1.50,4.70,50.750,75.77,237.43
15060042,家乐辣鲜露,400毫升,支,,5.00,2.00,3.00,15.000,30.00,45.00
15060062,东古一品鲜酱油,500ML,支,,9.50,2.00,7.50,7.500,15.00,56.25
15060063,丘比焙煎芝麻汁,1.5L,支,,4.20,1.00,3.20,58.000,58.00,185.60
15070023,鱼胶粉,500克,盒,,4.50,1.50,3.00,52.000,78.00,156.00
15080015,花菇,,斤,,2.00, ,2.00,58.000, ,116.00
15080016,冬菇,,斤,,2.00,2.30,-0.30,52.000,119.60,-15.60
15080113,靓老鼠耳,,斤,,9.90,1.20,8.70,105.000,126.00,913.50
15080120,椰丝,,斤,,0.60,0.60, ,12.000,7.20, 
15080127,小米椒,,斤,,2.00,2.00, ,4.000,8.00, 
15080139,山楂干,,斤,,0.40,0.40, ,15.000,6.00, 
15080151,墨鱼胆,,斤,,15.00, ,15.00,9.000, ,135.00
15080152,辣椒干,,斤,,3.00, ,3.00,10.000, ,30.00
15080178,小米辣椒,,斤,,16.00, ,16.00,4.000, ,64.00
15090009,黑豆,,斤,,16.60,9.00,7.60,9.000,81.00,68.40
15090028,白芝麻,,斤,,2.60,1.00,1.60,11.250,11.12,17.78
15090042,大红枣,,斤,,3.40,2.00,1.40,33.000,66.00,46.20
15090107,红衣花生,,斤,,20.40,1.90,18.50,8.000,15.20,148.00
15100005,保利奶,1kg,罐,,17.00,3.00,14.00,16.000,48.00,224.00
15100071,桂花糖,300g,支,,2.70,2.00,0.70,5.000,10.00,3.50
15110007,甜酸荞头,,瓶,,3.00,2.50,0.50,28.000,70.00,14.00
15110013,火窝料,,包,,1.00, ,1.00,3.500, ,3.50
15120102,虫草花,,斤,,0.10,0.20,-0.10,80.000,16.00,-8.00
15120165,小茴香,,斤,,0.40,0.30,0.10,11.000,3.30,1.10
1601,铁观音,,斤,,3.20,2.00,1.20,26.000,53.00,31.80
1611,红茶,,斤,,0.50,0.50, ,17.000,8.50, 
Y1090019,针叶松,,扎,,1.00, ,1.00,17.000, ,17.00
Y1090023,跳舞兰,,扎,,4.30, ,4.30,38.000, ,169.00
,食品,,,,,,,,"2,428.72","5,241.06"
合计,,,,,,,,,"4,684.56","8,518.36"
