物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
0102,燕盏,斤,,徐博馆仓库,1.00,"2,880.000","2,880.00"
02010009,80-90克岩手大网鲍,只,,徐博馆仓库,10.00,"1,409.000","14,090.00"
02010010,90-100克岩手大网鲍,只,,徐博馆仓库,16.00,"2,213.000","35,408.00"
02010011,120-150克岩手大网鲍,只,,徐博馆仓库,6.00,"5,018.000","30,108.00"
02020008,11-14克吉品鲍,斤,,徐博馆仓库,1.00,"5,500.000","5,500.00"
02020009,21-25头吉品鲍,斤,,徐博馆仓库,1.00,"4,750.000","4,750.00"
02020010,16头-20头吉品鲍,斤,,徐博馆仓库,1.00,"6,000.000","6,000.00"
02030006,20头南非吉品鲍,斤,,徐博馆仓库,4.00,"2,103.200","8,412.80"
02030008,25头南非吉品鲍,斤,,徐博馆仓库,1.00,"1,837.200","1,837.20"
03020005,19寸牙拣翅,斤,,徐博馆仓库,1.60,683.331,"1,093.33"
03050002,11寸牙勾翅,斤,,徐博馆仓库,3.90,900.000,"3,510.00"
0308,23寸鬼春翅,斤,,徐博馆仓库,2.50,"1,666.660","4,166.65"
0402,冬虫草1200支,斤,,徐博馆仓库,1.00,"98,000.000","98,000.00"
0403,冬虫草1500支,斤,,徐博馆仓库,0.10,"80,000.000","8,000.00"
08010002,一般花胶,斤,,徐博馆仓库,7.80,"2,133.329","16,639.97"
08010004,1-2头花胶片,斤,,徐博馆仓库,2.10,"3,200.000","6,720.00"
08010005,黄花胶,斤,,徐博馆仓库,2.00,550.000,"1,100.00"
08010015,阿巴公花胶,斤,,徐博馆仓库,2.50,"3,200.000","8,000.00"
08020006,花旗参片（小）,斤,,徐博馆仓库,7.20,386.671,"2,784.03"
08030005,关东辽参,斤,,徐博馆仓库,7.00,"4,600.000","32,200.00"
08030007,关西辽参,斤,,徐博馆仓库,6.00,"1,675.320","10,051.92"
08030014,25-30头关东辽参,斤,,徐博馆仓库,2.00,"4,759.300","9,518.60"
08030017,参皮,斤,,徐博馆仓库,10.50,175.000,"1,837.50"
09120211,樱花虾 0.5KG/包,斤,,徐博馆仓库,30.00,173.200,"5,196.00"
09120221,干龙趸皮,斤,,徐博馆仓库,56.10,700.000,"39,270.00"
09140033,沙虫干,斤,,徐博馆仓库,1.40,550.000,770.00
,食品,,,,,,"357,844.00"
