物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
10010034,金象牌精选泰香米,2.5kg,袋,,32.00,10.00,22.00,50.338,490.62,"1,079.38"
10010035,金象牌精选泰香米,5KG,袋,,2.00,2.00, ,88.000,176.00, 
,粮油,,,,,,,,666.62,"1,079.38"
11060201,精选手工蒜肉,,斤,,58.00, ,58.00,8.000, ,464.00
15020013,黑盐,,瓶,,4.00, ,4.00, , , 
15040001,樱花芥辣,43g,支,,17.50,6.00,11.50,9.000,54.00,103.50
15050016,宁化府陈醋,330ml,支,,7.00,2.00,5.00,10.750,21.50,53.75
15060009,日本海鲜豉油,200ml,瓶,,11.50,3.00,8.50,20.000,60.00,170.00
15060016,泰国鱼露,725毫升,瓶,,1.00, ,1.00,8.000, ,8.00
15060048,海天罐装金标生抽,1.9l,罐,,11.50, ,11.50,16.667, ,191.50
15060049,海天罐装草菇老抽,1.9L,罐,,1.00, ,1.00,18.000, ,18.00
15060090,辣椒浸蒜头,,斤,,30.00,25.00,5.00,12.000,300.00,60.00
,食品,,,,,,,,435.50,"1,068.75"
合计,,,,,,,,,"1,102.12","2,148.13"
