物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
09010001,三黄鸡,,斤,,154.20, ,154.20,9.500, ,"1,464.90"
09020002,光鸭,,斤,,284.90, ,284.90,8.500, ,"2,421.65"
09040009,无皮花肉,,斤,,283.60, ,283.60,12.000, ,"3,403.20"
09040069,枚肉(瘦肉),,斤,,11.60, ,11.60,12.500, ,145.00
09120064,冻猪手,,斤,,7.00, ,7.00,14.000, ,98.00
17020003,福食冻猪手,,斤,,100.00, ,100.00,14.000, ,"1,400.00"
17030001,福食鲩鱼,,斤,,118.60, ,118.60,7.000, ,830.20
17030003,福食咸鱼,,斤,,10.00,5.00,5.00,18.000,90.00,90.00
17030016,福食猪手,,斤,,20.00, ,20.00,14.000, ,280.00
17040006,福食鸡腿,,斤,,101.00, ,101.00,9.000, ,909.00
17070006,福食腊肠,,斤,,9.00, ,9.00,16.500, ,148.50
17070007,福食腊肉,,斤,,9.00, ,9.00,32.500, ,292.50
,肉类,,,,,,,,90.00,"11,482.95"
10010016,厨上厨猫牙米,,包,,18.00,2.00,16.00,125.000,250.00,"2,000.00"
10020007,优质河粉,,斤,,68.00, ,68.00,1.700, ,115.60
10050074,米线,,斤,,75.00, ,75.00,2.100, ,157.50
17050009,福食虾子面,,斤,,104.00,4.00,100.00,4.000,16.00,400.00
,粮油,,,,,,,,266.00,"2,673.10"
15010029,海天上等蚝油,,罐,,2.00, ,2.00,32.000, ,64.00
15040015,6k罐庄海天柱候酱,6.5kg,桶,,1.00, ,1.00,56.000, ,56.00
15040050,腐乳,335克,瓶,,52.00,15.00,37.00,5.550,83.54,206.06
15090006,绿豆,,斤,,17.00,2.00,15.00,6.500,13.00,97.50
17040001,福食鸡蛋,,斤,,526.40,25.00,501.40,6.300,157.50,"3,158.82"
,食品,,,,,,,,254.04,"3,582.38"
15090107,红衣花生,,斤,,29.00, ,29.00,8.000, ,232.00
17010001,福食生菜,,斤,,253.00, ,253.00,2.200, ,556.60
17010002,福食白萝卜,,斤,,157.00, ,157.00,1.300, ,204.10
17010005,福食油麦菜,,斤,,362.00, ,362.00,2.200, ,796.40
17010006,福食大白菜,,斤,,181.00,15.00,166.00,1.500,22.50,249.00
17010008,福食西洋菜,,斤,,242.00, ,242.00,2.200, ,532.40
17010009,福食本地菜心,,斤,,403.00, ,403.00,3.000, ,"1,209.00"
17010010,福食青尖椒,,斤,,104.00, ,104.00,3.000, ,312.00
17010013,福食椰菜,,斤,,121.00, ,121.00,1.500, ,181.50
17010015,福食青瓜,,斤,,130.00, ,130.00,2.800, ,364.00
17010016,福食鲜冬菇,,斤,,33.00, ,33.00,7.500, ,247.50
17010020,福食肉姜,,斤,,17.00, ,17.00,6.500, ,110.50
17010021,福食葱肉,,斤,,13.00, ,13.00,4.500, ,58.50
17010025,福食小白菜,,斤,,162.00, ,162.00,1.725, ,279.60
17010033,福食苦麦菜,,斤,,40.00, ,40.00,2.200, ,88.00
17010038,福食奶白菜,,斤,,167.00, ,167.00,2.000, ,334.00
17010048,福食大豆芽,,斤,,92.00, ,92.00,1.000, ,92.00
17010056,福食凉瓜,,斤,,123.00, ,123.00,2.500, ,307.50
17010057,福食鲜木耳,,斤,,20.00, ,20.00,2.500, ,50.00
17010059,福食春菜,,斤,,40.00, ,40.00,2.000, ,80.00
17010061,福食海带丝,,斤,,3.00, ,3.00,2.800, ,8.40
17010063,福食干水小塘菜,,斤,,80.00, ,80.00,1.800, ,144.00
17010067,福食青圆椒,,斤,,60.00, ,60.00,2.800, ,168.00
17010068,福食香脆片,,斤,,39.50, ,39.50,2.800, ,110.60
17010069,福食粉芋头,,斤,,116.00, ,116.00,3.500, ,406.00
17010070,福食水东芥菜,,斤,,206.00, ,206.00,2.500, ,515.00
17010071,福食红洋葱,,斤,,40.00, ,40.00,2.000, ,80.00
17010072,福食白菜,,斤,,40.00, ,40.00,1.800, ,72.00
17010078,福食上海青,,斤,,83.00, ,83.00,1.800, ,149.40
17010079,福食甜麦菜,,斤,,41.00, ,41.00,2.500, ,102.50
,蔬菜,,,,,,,,22.50,"8,040.50"
合计,,,,,,,,,632.54,"25,778.93"
