物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010062,笋壳鱼,,斤,,57.80,8.60,49.20,58.500,502.31,"2,873.69"
07010069,白鳝,,斤,,6.50,3.00,3.50,50.667,149.17,174.03
07010056,大白花,,斤,, ,9.60,-9.60,14.000,134.40,-134.40
07010087,侧鱼,,斤,,74.30,5.00,69.30,12.583,62.70,869.05
07010142,蓝东星,,斤,,3.40, ,3.40,48.000, ,163.20
07020005,河虾,,斤,,7.50,5.00,2.50,36.000,153.33,76.67
07030011,羔蟹,,斤,,12.80,9.00,3.80,81.500,737.16,311.24
07030018,红毛蟹,,斤,,2.00, ,2.00,95.000, ,190.00
07030023,阿拉斯加蟹钳,,斤,,6.00, ,6.00,84.000, ,504.00
07050016,海螺,,斤,,124.00,10.00,114.00,42.000,420.00,"4,788.00"
07050019,北极贝,2斤,合,,2.00,2.00, ,180.000,360.00, 
07050042,白贝,,斤,,90.00,3.00,87.00,3.000,9.00,261.00
,肉类,,,,,,,,"2,528.07","10,076.48"
02050005,鲍鱼片（粉）,,斤,,1.44,1.40,0.04,625.020,875.03,25.00
08010002,一般花胶,,斤,,8.03,2.13,5.90,"2,081.250","4,432.65","12,278.23"
08010005,黄花胶,,斤,,7.53,1.40,6.13,556.667,812.43,"3,557.27"
08010015,阿巴公花胶,,斤,,1.47,0.83,0.64,"3,181.400","2,654.53","2,046.87"
08020007,石柱参,,克,,539.00,340.00,199.00,3.400,"1,156.00",676.60
08030005,关东辽参,,斤,,3.63,0.73,2.90,"4,600.000","3,358.00","13,340.00"
08030007,关西辽参,,斤,,5.04,1.23,3.81,"1,666.670","2,050.00","6,350.02"
08030017,参皮,,斤,,1.50,1.50, ,150.000,225.00, 
08060001,雪蛤,,斤,,0.21,0.21, ,"2,038.360",428.06, 
08040002,咸蛋,,只,,5.00, ,5.00,1.300, ,6.50
,食品,,,,,,,,"15,991.70","38,280.49"
08050010,大红咸鱼,,斤,,2.00,2.00, ,52.000,104.00, 
09010002,竹丝鸡,,斤,,6.70,2.50,4.20,11.000,27.50,46.20
09010004,老鸡,,斤,,827.00, ,827.00,11.040, ,"9,142.00"
09010024,鸡油,,斤,,21.00, ,21.00,3.000, ,63.00
09010029,鸡脚,,斤,,5.80,15.00,-9.20,12.800,192.00,-117.76
09010033,凤中皇,,斤,,293.20,15.00,278.20,21.000,314.41,"5,831.19"
09010040,鸡壳,,斤,,654.30, ,654.30,8.000, ,"5,234.40"
09010048,剦鸡,,斤,,4.80, ,4.80,28.000, ,134.40
09010049,珍珠鸡,,只,,26.00, ,26.00,55.000, ,"1,430.00"
09020004,水鸭,,只,,77.00,16.00,61.00,15.000,240.00,915.00
09030002,黑宗鹅,,斤,,19.50, ,19.50,19.000, ,370.50
09030005,鹅肝,,斤,,26.00,5.00,21.00,140.000,700.00,"2,940.00"
09030007,进口鹅掌,,斤,,9.70,6.00,3.70,50.000,300.00,185.00
09030011,烧鹅,,斤,,8.00,4.00,4.00,18.500,74.50,74.50
09030013,法国鹅肝,,斤,,6.00,9.00,-3.00,230.000,"2,070.00",-690.00
09040006,有皮花肉,,斤,,5.00, ,5.00,15.000, ,75.00
09040009,无皮花肉,,斤,,10.00, ,10.00,12.000, ,120.00
09040010,猪一字梅,,斤,,27.10,10.00,17.10,13.200,132.21,226.09
09040022,猪横利,,斤,,2.70,1.50,1.20,6.000,9.00,7.20
09040023,猪肚,,斤,,5.40,4.60,0.80,23.000,105.80,18.40
09040036,猪排骨,,斤,,594.50,8.00,586.50,18.031,144.20,"10,571.80"
09040039,猪脊骨,,斤,,8.30,5.00,3.30,12.000,60.00,39.60
09040045,猪圆蹄,,斤,,2.50, ,2.50,10.500, ,26.25
09040049,猪手,,斤,,6.00, ,6.00,12.000, ,72.00
09040051,猪皮,,斤,,1.80, ,1.80,3.000, ,5.40
09040060,烧肉,,斤,,11.00,6.00,5.00,18.000,108.00,90.00
09040069,枚肉(瘦肉),,斤,,730.90,27.00,703.90,12.534,338.29,"8,819.46"
09040084,无皮方花肉,,斤,,73.00, ,73.00,16.000, ,"1,168.00"
09040090,有皮方花肉,,斤,,5.60, ,5.60,11.000, ,61.60
09040093,乳猪,,斤,,108.30,32.00,76.30,22.400,713.46,"1,701.14"
09040096,猪利,,斤,,2.00,1.00,1.00,14.000,14.00,14.00
09050022,黑牛柏叶,,斤,,4.70, ,4.70,20.000, ,94.00
09050025,牛肠,,斤,,20.00,20.00, ,12.000,240.00, 
09050026,牛横膈膜,,斤,,46.00,36.00,10.00,344.350,"12,396.60","3,443.50"
09050028,牛膀,,斤,,14.00,1.50,12.50,5.500,8.25,68.75
09050038,无骨牛坑腩,,斤,,3.00, ,3.00,26.000, ,78.00
09050039,黄牛肉,,斤,,4.00, ,4.00,31.944, ,127.78
09050040,牛肺,,只,,1.00,1.00, ,41.000,41.00, 
09050041,牛牛膀,,斤,,5.00,5.00, ,14.000,70.00, 
09060002,东山羊,,斤,,21.00, ,21.00,34.000, ,714.00
09060004,羊扒,,斤,,20.00, ,20.00,40.000, ,800.00
09060007,黑草羊（公）,,斤,,147.80,17.00,130.80,35.000,595.00,"4,578.00"
