物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
02010009,80-90克岩手大网鲍,,只,,7.50,7.50, ,"1,409.000","10,567.50", 
02010010,90-100克岩手大网鲍,,只,,1.00,1.00, ,"2,213.000","2,213.00", 
02010011,120-150克岩手大网鲍,,只,,12.00,12.00, ,"5,000.000","60,000.00", 
02020002,26-30头吉品鲍,,斤,,0.14,0.14, ,"4,250.000",595.00, 
02020009,21-25头吉品鲍,,斤,,3.00,1.11,1.89,"4,750.000","5,272.50","8,977.50"
02020010,16头-20头吉品鲍,,斤,,0.67,0.67, ,"6,000.000","4,020.00", 
02030005,10-13头南非网鲍,,斤,,1.00,1.00, ,"1,333.330","1,333.33", 
02030008,25头南非吉品鲍,,斤,,1.45,1.15,0.30,"1,872.710","2,153.62",561.81
合计,,,,,,,,,"86,154.95","9,539.31"
0403,冬虫草1500支,,斤,,0.096575,0.084247,0.012329,"80,000.000","6,739.73",986.30
合计,,,,,,,,,"6,739.73",986.30
0102,燕盏,,斤,,1.90,0.98,0.92,"2,878.420","2,820.85","2,648.15"
合计,,,,,,,,,"2,820.85","2,648.15"
03050002,11寸牙勾翅,,斤,,2.50,0.34,2.16,900.000,306.00,"1,944.00"
0308,23寸鬼春翅,,斤,,3.25,0.73,2.52,"1,666.661","1,216.66","4,199.99"
合计,,,,,,,,,"1,522.66","6,143.99"
,食品,,,,,,,,"97,238.19","19,317.75"
07010112,大鱼,,斤,,10.70,10.70, ,125.000,"1,337.50", 
合计,肉类,,,,,,,,"1,337.50", 
