物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050016,海螺,,斤,,9.00,3.00,6.00,48.000,144.00,288.00
09030005,鹅肝,,斤,,7.30,5.60,1.70,140.000,784.00,238.00
09120001,冻三文鱼,,斤,,4.00,5.20,-1.20,40.000,208.00,-48.00
09120095,三文鱼籽,,斤,,1.00,0.20,0.80,190.000,38.00,152.00
09120122,鸭利,,斤,,63.00,12.30,50.70,28.000,344.40,"1,419.60"
,肉类,,,,,,,,"1,518.40","2,049.60"
11010032,水果青瓜,,斤,,24.30,8.00,16.30,6.638,53.42,108.83
11030028,甜蜜豆,,斤,,13.00,1.00,12.00,9.500,9.50,114.00
11030052,毛豆,,斤,,1.00, ,1.00,5.000, ,5.00
11040004,指天椒,,斤,,0.50, ,0.50,8.000, ,4.00
11050002,莴笋头,,斤,,25.00,6.00,19.00,3.000,18.00,57.00
11060016,干水西生菜,,斤,,5.00, ,5.00,3.500, ,17.50
11060027,韭菜,,斤,,3.60, ,3.60,3.500, ,12.60
11060040,香芹,,斤,,15.00, ,15.00,3.200, ,48.00
11060055,薄荷叶,,斤,,11.80,0.50,11.30,10.000,5.00,113.00
11060060,莲藕,,斤,,17.00,2.00,15.00,4.300,8.60,64.50
11060063,紫心番薯,,斤,,14.20,4.00,10.20,3.500,14.00,35.70
11060065,红洋葱,,斤,,60.00,2.00,58.00,2.300,4.60,133.40
11060075,红萝卜,,斤,,41.00,4.00,37.00,2.000,8.00,74.00
11060076,白萝卜,,斤,,13.00,6.00,7.00,1.600,9.60,11.20
11060123,玉米条,,斤,,5.00, ,5.00,3.200, ,16.00
11060138,素鲍鱼,,只,,46.00,20.00,26.00,8.500,170.00,221.00
11060174,九层塔,,斤,,0.50, ,0.50,9.000, ,4.50
11060181,万年青,,斤,,26.00,8.50,17.50,28.000,238.00,490.00
11070049,生花生,,斤,,5.00,3.80,1.20,9.500,36.10,11.40
11070081,广西老淮山,,斤,,16.00, ,16.00,5.500, ,88.00
,蔬菜,,,,,,,,574.82,"1,629.63"
09120209,海蜇丝,,斤,,8.00, ,8.00,12.500, ,100.00
09120239,红珊蚌,,盒,,19.00,7.00,12.00,60.000,420.00,720.00
10010008,红谷米,,斤,,3.90,0.90,3.00,7.000,6.30,21.00
10010017,糯米(斤),,斤,,1.80,0.20,1.60,4.400,0.88,7.04
10030023,春卷皮,,包,,10.00, ,10.00,18.000, ,180.00
10030055,越南春卷皮/干,,包,,4.50,6.00,-1.50,18.000,108.00,-27.00
10040008,植之元大豆油,20L,桶,,10.00, ,10.00,148.000, ,"1,480.00"
11030046,进口厚腐皮,,斤,,6.00,2.00,4.00,26.500,53.00,106.00
12030050,塔牌花雕,500ML,支,,1.00,1.00, ,6.500,6.50, 
13020007,苹果醋,,支,,7.50,2.00,5.50,5.200,10.40,28.60
14030002,新奇士橙,,斤,,24.70,4.00,20.70,9.750,40.63,210.27
14060002,草莓,,合,,4.00,1.00,3.00,7.250,7.37,22.13
14070001,红提子,,斤,,1.00, ,1.00,15.000, ,15.00
14070004,进口红提,,斤,,5.10, ,5.10,13.200, ,67.30
14090010,番茄仔,,斤,,16.80,4.50,12.30,3.622,18.11,49.51
15010011,芥茉油,60毫升,支,,10.00,4.00,6.00,3.900,15.60,23.40
15010051,日本蚝油,,支,,1.00, ,1.00,120.000, ,120.00
15030002,冰糖,9.6千克,件,,0.50, ,0.50,65.000, ,32.50
15030016,双桥麦芽糖,,桶,,1.00,1.00, ,3.000,3.00, 
15040002,支庄地扪茄酱,340克,支,,5.00, ,5.00,6.000, ,30.00
15040010,卡夫奇妙酱,700ml,瓶,,2.00,0.70,1.30,21.000,14.70,27.30
15040032,营口大酱,,包,,10.00, ,10.00,4.500, ,45.00
15040039,排骨酱,,瓶,,5.00,4.50,0.50,22.000,99.00,11.00
15040089,地门玉米粒,420g,罐,,5.00, ,5.00,6.000, ,30.00
