物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010001,大苏眉,,斤,,42.30, ,42.30,408.333, ,"17,119.00"
07010005,大龙趸,,斤,,153.10,41.90,111.20,37.000,"1,550.30","4,114.40"
07010006,老虎斑,,斤,,57.10, ,57.10,58.750, ,"3,205.60"
07010008,大东星斑,,斤,,43.40,6.00,37.40,153.333,927.37,"5,780.63"
07010009,细东星斑,,斤,,66.90,1.30,65.60,190.000,247.45,"12,486.55"
07010013,老鼠斑,,斤,,13.50,1.00,12.50,222.857,220.00,"2,750.00"
07010019,苏鼠斑,,斤,,4.80, ,4.80,48.000, ,230.40
07010022,红斑,,斤,,7.40,1.40,6.00,155.000,217.00,930.00
07010051,黄丁,,斤,,53.30,6.30,47.00,94.250,598.72,"4,466.68"
07010086,金雕鱼,,斤,,6.30,3.00,3.30,32.667,95.71,105.29
07010090,黄皮老虎,,斤,,6.20, ,6.20,130.000, ,806.00
07010138,次老虎斑,,斤,,38.20,1.40,36.80,39.500,55.22,"1,451.58"
07010139,红玫瑰鱼,,斤,,0.30, ,0.30,230.000, ,69.00
07010142,蓝东星,,斤,,40.30,11.00,29.30,86.778,949.82,"2,529.98"
07020001,波斯龙虾,,斤,,126.20,19.60,106.60,71.500,"1,400.22","7,615.48"
07020003,花龙虾,,斤,,65.20,9.60,55.60,326.525,"3,106.34","17,990.89"
07020004,蓝龙虾,,斤,,3.50, ,3.50,130.000, ,455.00
07020011,竹节虾,,斤,,5.00, ,5.00,88.000, ,440.00
07020024,青龙虾仔,,斤,,49.00,2.60,46.40,173.571,455.82,"8,134.68"
07020026,直波斯龙虾,,斤,,10.10, ,10.10,60.000, ,606.00
07030002,大红蟹,,斤,,4.30, ,4.30,110.000, ,473.00
07040001,象拨蚌,,斤,,58.30,4.70,53.60,166.385,781.42,"8,911.48"
07060002,大连鲍(5只/斤),,斤,,71.80,19.70,52.10,134.833,"2,669.71","7,060.49"
07060013,南非鲜鲍（3只/斤）,,斤,,30.20, ,30.20,190.000, ,"5,738.00"
07060021,南非鲜鲍（5头）,,斤,,45.40,2.30,43.10,160.000,368.00,"6,896.00"
09120203,6头大虾,,盒,,22.00,13.00,9.00,171.000,"2,254.32","1,560.68"
09120225,特大九节虾,1KG 7只/盒,盒,,2.14, ,2.14,210.000, ,449.40
09120281,九节虾,,斤,,6.60, ,6.60,87.500, ,637.00
合计,海鲜,,,,,,,,"15,897.42","123,013.21"
