物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07020020,明虾,,斤,,161.30,5.00,156.30,43.032,214.77,"6,713.73"
07020023,大沙虾,,斤,,5.00, ,5.00,42.000, ,210.00
08040001,鸡蛋,,斤,,77.90, ,77.90,5.500, ,428.45
08040006,咸蛋黄,,只,,60.00, ,60.00,1.200, ,72.00
09040005,猪肥肉,,斤,,2.00, ,2.00,7.500, ,15.00
09040009,无皮花肉,,斤,,1.00,1.00, ,12.714,12.71, 
09040091,土猪肥肉,,斤,,5.80, ,5.80,7.500, ,43.50
09050003,牛柳,,斤,,2.00,2.00, ,36.000,72.00, 
09110002,腊肉,,斤,,2.00,2.00, ,37.500,75.00, 
09110003,腊肠,,斤,,2.00,2.00, ,37.500,75.00, 
09120013,黄花鱼,,斤,,2.00,1.00,1.00,23.000,23.00,23.00
09120133,麻虾仁31-40,,斤,,240.00,85.00,155.00,45.000,"3,825.00","6,975.00"
09120206,凤爪,,斤,,64.50,7.00,57.50,22.800,159.60,"1,311.00"
09120211,樱花虾,0.5KG/包,斤,,1.20,1.00,0.20,181.840,181.84,36.37
09120222,虾饺馅,,斤,,11.00,6.00,5.00,54.500,327.00,272.50
09120224,珍珠蚝,,包,,17.00,2.00,15.00,10.000,20.00,150.00
09120260,烧卖馅,,斤,,62.00,7.00,55.00,34.300,240.10,"1,886.50"
,肉类,,,,,,,,"5,226.02","18,137.05"
10010008,红谷米,,斤,,2.00,2.00, ,7.000,14.00, 
10010020,五彩米,,包,,26.00,16.00,10.00,30.800,492.80,308.00
10010036,东北糯米,,斤,,3.00, ,3.00,4.000, ,12.00
10030038,双箭澄面,,包,,4.00,2.50,1.50,215.000,537.50,322.50
,粮油,,,,,,,,"1,044.30",642.50
11010004,青瓜,,斤,,21.00,3.00,18.00,2.800,8.40,50.40
11010016,小金瓜,,斤,,18.50, ,18.50,4.000, ,74.00
11010024,本地木瓜,,斤,,52.00, ,52.00,2.700, ,140.40
11010038,7两太阳果,,只,,95.00, ,95.00,7.000, ,665.00
11010042,9两太阳果,,只,,9.00,14.00,-5.00,7.000,98.00,-35.00
11020006,鲜冬菇,,斤,,12.00,3.00,9.00,7.500,22.50,67.50
11020021,杏鲍菇,,斤,,75.00,5.00,70.00,6.500,32.50,455.00
11020028,百灵菇,,斤,,42.00,13.00,29.00,16.667,218.52,487.48
11060014,干水小塘菜,,斤,,10.00,2.00,8.00,2.800,5.60,22.40
11060015,干水奶白菜,,斤,,8.00,3.00,5.00,2.800,8.40,14.00
11060016,干水西生菜,,斤,,30.40,2.00,28.40,3.500,7.00,99.40
11060027,韭菜,,斤,,7.10,1.00,6.10,3.575,3.54,21.61
11060044,西兰花,,斤,,34.00,6.00,28.00,4.000,24.00,112.00
11060055,薄荷叶,,斤,,6.50,1.00,5.50,10.000,10.00,55.00
11060060,莲藕,,斤,,34.50,3.00,31.50,4.300,12.90,135.45
11060063,紫心番薯,,斤,,102.00,5.00,97.00,3.500,17.50,339.50
11060075,红萝卜,,斤,,3.00, ,3.00,2.000, ,6.00
11060076,白萝卜,,斤,,108.00,10.00,98.00,1.600,16.00,156.80
