物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
10010034,金象牌精选泰香米,2.5kg,袋,,22.00,2.00,20.00,47.167,92.72,927.18
10010035,金象牌精选泰香米,5KG,袋,,5.00,1.00,4.00,88.000,88.00,352.00
,粮油,,,,,,,,180.72,"1,279.18"
11060201,精选手工蒜肉,,斤,,62.00,32.00,30.00,8.000,256.00,240.00
15020013,黑盐,,瓶,,3.00,3.00, , , , 
15040001,樱花芥辣,43g,支,,20.00,8.00,12.00,9.000,72.00,108.00
15040064,泰国辣鸡酱,880g,瓶,,3.00,2.00,1.00,13.000,26.00,13.00
15050016,宁化府陈醋,330ml,支,,10.00,6.00,4.00,10.750,64.50,43.00
15060009,日本海鲜豉油,200ml,瓶,,12.00,3.00,9.00,20.000,60.00,180.00
15060016,泰国鱼露,725毫升,瓶,,4.00,2.00,2.00,8.000,16.00,16.00
15060048,海天罐装金标生抽,1.9l,罐,,12.00,2.00,10.00,16.700,33.40,167.00
15060090,辣椒浸蒜头,,斤,,25.00,2.00,23.00,12.000,24.00,276.00
,食品,,,,,,,,551.90,"1,043.00"
合计,,,,,,,,,732.62,"2,322.18"
