物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
09010001,三黄鸡,,斤,,182.70, ,182.70,10.000, ,"1,827.00"
09020002,光鸭,,斤,,280.10, ,280.10,9.000, ,"2,520.90"
09040009,无皮花肉,,斤,,296.30, ,296.30,12.000, ,"3,555.60"
17020003,福食冻猪手,,斤,,100.60,3.00,97.60,14.000,42.00,"1,366.40"
17030001,福食鲩鱼,,斤,,122.00, ,122.00,7.325, ,892.50
17030003,福食咸鱼,,斤,,15.00,1.00,14.00,18.000,18.00,252.00
17030005,福食鸭边,,斤,,37.20, ,37.20,4.500, ,167.40
17030016,福食猪手,,斤,,40.00,3.00,37.00,14.000,42.00,518.00
17040006,福食鸡腿,,斤,,189.90,5.00,184.90,9.000,45.00,"1,664.10"
17070006,福食腊肠,,斤,,15.00, ,15.00,16.500, ,247.50
17070007,福食腊肉,,斤,,15.00, ,15.00,32.500, ,487.50
,肉类,,,,,,,,147.00,"13,498.90"
10010016,厨上厨猫牙米,,包,,25.00,5.00,20.00,125.000,625.00,"2,500.00"
10020007,优质河粉,,斤,,65.00, ,65.00,1.700, ,110.50
10050074,米线,,斤,,50.00, ,50.00,2.100, ,105.00
17050009,福食虾子面,,斤,,72.00,1.00,71.00,4.000,4.00,284.00
,粮油,,,,,,,,629.00,"2,999.50"
10050081,芝麻汤圆,,包,,10.00, ,10.00,6.000, ,60.00
15010029,海天上等蚝油,,罐,,3.00, ,3.00,32.000, ,96.00
15040015,6k罐庄海天柱候酱,6.5kg,桶,,2.00, ,2.00,56.000, ,112.00
15040050,腐乳,335克,瓶,,25.00,9.00,16.00,5.600,50.40,89.60
15090006,绿豆,,斤,,18.50, ,18.50,6.500, ,120.25
15090107,红衣花生,,斤,,17.00, ,17.00,8.000, ,136.00
17010068,福食香脆片,,斤,,30.00, ,30.00,2.800, ,84.00
17040001,福食鸡蛋,,斤,,641.00, ,641.00,5.521, ,"3,532.10"
,食品,,,,,,,,50.40,"4,229.95"
17010001,福食生菜,,斤,,322.00, ,322.00,1.600, ,515.20
17010002,福食白萝卜,,斤,,135.00, ,135.00,1.500, ,202.50
17010005,福食油麦菜,,斤,,271.00, ,271.00,1.600, ,433.60
17010006,福食大白菜,,斤,,183.00, ,183.00,1.500, ,274.50
17010008,福食西洋菜,,斤,,245.00, ,245.00,1.600, ,392.00
17010009,福食本地菜心,,斤,,216.00, ,216.00,2.500, ,540.00
17010010,福食青尖椒,,斤,,162.00, ,162.00,3.000, ,486.00
17010013,福食椰菜,,斤,,76.00, ,76.00,1.500, ,114.00
17010015,福食青瓜,,斤,,115.00, ,115.00,2.600, ,299.00
17010016,福食鲜冬菇,,斤,,46.00, ,46.00,7.500, ,345.00
17010020,福食肉姜,,斤,,6.00, ,6.00,6.500, ,39.00
17010021,福食葱肉,,斤,,6.00, ,6.00,4.500, ,27.00
17010025,福食小白菜,,斤,,235.00, ,235.00,1.600, ,376.00
17010026,福食大芥菜,,斤,,50.00, ,50.00,2.000, ,100.00
17010033,福食苦麦菜,,斤,,85.00, ,85.00,2.000, ,170.00
17010048,福食大豆芽,,斤,,70.00, ,70.00,1.000, ,70.00
17010056,福食凉瓜,,斤,,115.00, ,115.00,4.500, ,517.50
17010057,福食鲜木耳,,斤,,21.00, ,21.00,2.500, ,52.50
17010059,福食春菜,,斤,,181.00, ,181.00,2.000, ,362.00
17010061,福食海带丝,,斤,,3.00, ,3.00,2.800, ,8.40
17010067,福食青圆椒,,斤,,75.00, ,75.00,2.800, ,210.00
17010069,福食粉芋头,,斤,,155.00, ,155.00,3.500, ,542.50
17010070,福食水东芥菜,,斤,,410.00, ,410.00,2.000, ,820.00
17010071,福食红洋葱,,斤,,55.00, ,55.00,2.000, ,110.00
17010075,福食菠菜,,斤,,324.00, ,324.00,2.500, ,810.00
17010078,福食上海青,,斤,,49.00, ,49.00,1.700, ,83.30
,蔬菜,,,,,,,, ,"7,900.00"
合计,,,,,,,,,826.40,"28,628.35"
