物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
08010002,一般花胶,,斤,,5.63,2.60,3.03,"2,133.330","5,546.66","6,463.99"
08010005,黄花胶,,斤,,7.17,1.70,5.47,565.000,956.34,"3,077.16"
08010015,阿巴公花胶,,斤,,1.20,1.20, ,"3,200.000","3,840.00", 
08020007,石柱参,,克,,300.00, ,300.00,3.400, ,"1,020.00"
08030005,关东辽参,,斤,,4.69,2.29,2.40,"4,600.000","10,534.00","11,040.00"
08030007,关西辽参,,斤,,5.27,1.68,3.59,"1,675.325","2,814.54","6,014.41"
08030018,关西参（湿）,,条,,10.00, ,10.00,31.700, ,317.00
08030017,参皮,,斤,,14.63,6.50,8.13,175.000,"1,137.50","1,422.75"
08060001,雪蛤,,斤,,0.21,0.21, ,"2,038.360",428.06, 
,食品,,,,,,,,"25,257.10","29,355.31"
07010056,大白花,,斤,,15.50,9.60,5.90,10.000,105.17,64.63
07010062,笋壳鱼,,斤,,89.20,9.30,79.90,56.182,522.77,"4,491.33"
07010069,白鳝,,斤,,29.30,1.20,28.10,53.000,63.20,"1,479.90"
07010086,金雕鱼,,斤,,17.00, ,17.00,30.667, ,523.40
07010087,侧鱼,,斤,,70.10,5.00,65.10,12.667,63.17,822.48
07010132,次老鼠斑,,斤,,4.90, ,4.90,77.500, ,382.00
07010154,三坑鱼,,斤,,37.50,0.50,37.00,15.500,7.77,574.73
07010155,长江鲈鱼,,斤,,45.80,15.00,30.80,50.000,750.00,"1,540.00"
07010156,梅子鱼,,斤,,3.00,2.00,1.00,130.000,260.00,130.00
07020005,河虾,,斤,,19.00,4.00,15.00,48.286,197.89,742.11
07020034,熟波斯龙虾,,斤,,67.70,12.80,54.90,55.000,704.00,"3,019.50"
07030003,面包蟹,,斤,,71.50,12.50,59.00,35.000,437.50,"2,065.00"
07030006,老虎蟹,,斤,,14.80,1.60,13.20,23.286,37.23,307.17
07030010,肉蟹,,斤,,10.60, ,10.60,63.000, ,667.80
07030011,羔蟹,,斤,,23.30,5.00,18.30,97.667,477.49,"1,747.61"
07030031,帝王蟹,,斤,,62.80,11.00,51.80,66.000,726.77,"3,422.43"
07030033,松叶蟹,,件,,4.00,1.00,3.00,420.000,420.00,"1,260.00"
07030035,红毛蟹,,只,,5.00, ,5.00,75.000, ,375.00
07050016,海螺,,斤,,181.00,8.00,173.00,42.000,335.91,"7,264.09"
07050019,北极贝,2斤,合,,2.00,2.00, ,180.000,360.00, 
07050042,白贝,,斤,,109.00,3.00,106.00,3.000,9.00,318.00
07050044,青口,,斤,,26.00,2.00,24.00,7.778,15.46,185.54
07060004,大连鲍(小),,斤,,21.50,1.00,20.50,57.300,54.56,"1,118.44"
07060011,大连鲍12头,,斤,,2.00,1.90,0.10,45.000,85.50,4.50
08050010,大红咸鱼,,斤,,2.00,2.00, ,52.000,104.00, 
09010002,竹丝鸡,,斤,,26.30,7.00,19.30,11.750,82.14,226.46
09010004,老鸡,,斤,,38.80, ,38.80,11.000, ,426.80
09010024,鸡油,,斤,,30.80, ,30.80,3.000, ,92.40
09010029,鸡脚,,斤,,14.20, ,14.20,12.800, ,181.76
09010033,凤中皇,,斤,,835.70,43.00,792.70,22.000,946.00,"17,439.40"
09010040,鸡壳,,斤,,760.10, ,760.10,8.000, ,"6,080.80"
09010044,脆皮鸡,,斤,,12.00, ,12.00,22.000, ,264.00
09020004,水鸭,,只,,64.00,11.00,53.00,15.000,165.00,795.00
09030005,鹅肝,,斤,,65.80,15.00,50.80,140.000,"2,100.00","7,112.00"
09030007,进口鹅掌,,斤,,8.00, ,8.00,41.000, ,328.00
09030012,匈牙利鹅肝,,斤,,37.00,25.00,12.00,118.000,"2,950.00","1,416.00"
09030013,法国鹅肝,,斤,,25.50,11.00,14.50,218.000,"2,281.53","3,007.47"
09040009,无皮花肉,,斤,,21.30, ,21.30,12.000, ,255.60
09040010,猪一字梅,,斤,,42.50,15.00,27.50,13.000,195.00,357.50
09040022,猪横利,,斤,,14.30,2.00,12.30,6.000,12.00,73.80
09040023,猪肚,,斤,,73.90,12.00,61.90,23.000,276.00,"1,423.70"
09040036,猪排骨,,斤,,670.20,30.00,640.20,18.000,540.00,"11,523.60"
09040045,猪圆蹄,,斤,,4.00, ,4.00,10.500, ,42.00
09040047,猪脚,,斤,,6.20, ,6.20,10.000, ,62.00
09040049,猪手,,斤,,6.30, ,6.30,12.000, ,75.60
09040051,猪皮,,斤,,4.00, ,4.00,3.000, ,12.00
09040052,猪大油,,斤,,10.00, ,10.00,5.000, ,50.00
09040060,烧肉,,斤,,11.00,5.00,6.00,18.000,90.00,108.00
09040062,猪铮,,斤,,29.50,3.00,26.50,10.000,30.00,265.00
09040064,肉排,,斤,,6.00, ,6.00,22.000, ,132.00
09040069,枚肉(瘦肉),,斤,,"1,344.00",33.00,"1,311.00",12.500,412.50,"16,387.50"
09040084,无皮方花肉,,斤,,128.30,5.00,123.30,16.000,80.00,"1,972.80"
09040093,乳猪,,斤,,202.90,27.00,175.90,21.500,580.50,"3,781.85"
09050002,牛林,,斤,,33.00,5.00,28.00,35.000,175.00,980.00
09050007,牛肚,,斤,,32.50,5.00,27.50,11.000,55.00,302.50
09050025,牛肠,,斤,,42.00,3.00,39.00,11.833,35.04,455.46
09050026,牛横膈膜,,斤,,24.00,21.00,3.00,344.350,"7,231.35","1,033.05"
09050028,牛膀,,斤,,12.00, ,12.00,5.500, ,66.00
09050040,牛肺,,只,,2.00,0.50,1.50,41.000,20.50,61.50
09050041,牛牛膀,,斤,,15.00,4.00,11.00,13.500,54.13,148.87
09050042,鹅筋,,包,,30.00,15.00,15.00,55.000,825.00,825.00
09050043,牛面肉,,斤,,8.40,6.00,2.40,30.000,180.00,72.00
09050044,牛筋丸,,包,,10.00,3.00,7.00,17.000,51.00,119.00
09090003,BB鸽,,只,,313.00,34.00,279.00,17.000,578.00,"4,743.00"
09110012,金华火腿,,斤,,105.00,80.00,25.00,29.200,"2,336.00",730.00
09110018,西班牙火腿,,斤,,1.40, ,1.40,370.000, ,518.00
09120001,冻三文鱼,,斤,,36.70,3.00,33.70,33.333,100.10,"1,124.40"
09120034,海胆,60G,板,,25.00,3.00,22.00,28.000,84.00,616.00
09120040,金钱肚,,斤,,61.90,10.00,51.90,22.000,220.00,"1,141.80"
09120041,肥牛肉,,斤,,6.00,1.00,5.00,69.000,69.00,345.00
09120055,烟肉,2KG,包,,4.00,2.00,2.00,63.000,126.00,126.00
09120060,冻猪利,,斤,,6.00, ,6.00,18.000, ,108.00
09120064,冻猪手,,斤,,12.00,12.00, ,14.000,168.00, 
09120084,羊排,,斤,,38.10, ,38.10,40.000, ,"1,524.00"
09120086,鳄鱼肉,,斤,,4.20, ,4.20,65.000, ,273.00
09120094,帆立贝,2斤/盒,斤,,84.00,80.00,4.00,136.000,"10,880.00",544.00
09120180,猪颈肉,,斤,,11.60,4.00,7.60,17.500,70.00,133.00
09120183,白仓鱼,,斤,,70.80,11.00,59.80,18.000,198.00,"1,076.40"
09120190,美国牛仔骨,,斤,,217.30,22.00,195.30,68.000,"1,496.00","13,280.40"
09120192,西冷牛肉,,斤,,74.80, ,74.80,352.000, ,"26,329.60"
09120202,南美海椰皇,,斤,,8.60,1.50,7.10,110.000,165.00,781.00
09120211,樱花虾,0.5KG/包,斤,,7.50,1.50,6.00,173.200,259.80,"1,039.20"
09120219,七骨羊扒,,斤,,27.10,12.00,15.10,40.500,482.04,606.56
09120221,干龙趸皮,,斤,,8.55,5.90,2.65,700.000,"4,130.00","1,855.00"
09120255,乌鱼籽,,斤,,5.00,3.00,2.00,"2,900.000","8,700.00","5,800.00"
09120256,A级大凤爪,,斤,,264.00,50.00,214.00,17.000,850.00,"3,638.00"
09120270,鲟龙鱼籽酱,50G,盒,,1.00,1.00, ,635.000,635.00, 
09120271,蟹钳,1KG,包,,18.00,15.00,3.00,240.000,"3,600.00",720.00
09120275,飞驒牛肉,,斤,,50.40,32.40,18.00,472.000,"15,292.80","8,496.00"
09120283,冻牛骨髓,,斤,,9.00,5.00,4.00,28.000,140.00,112.00
09120285,三明治火腿,,条,,0.50,0.50, ,40.000,20.00, 
09120286,蚌仔,,斤,,29.80,3.80,26.00,28.571,94.52,646.68
09120287,黑标牛小排,,斤,,257.20,35.00,222.20,135.000,"4,725.00","29,997.00"
