物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
02010009,80-90克岩手大网鲍,,只,,7.50,7.50, ,"1,409.000","10,567.50", 
02010011,120-150克岩手大网鲍,,只,,11.75,11.75, ,"5,000.000","58,750.00", 
02020009,21-25头吉品鲍,,斤,,0.84, ,0.84,"4,750.000", ,"3,990.00"
02020010,16头-20头吉品鲍,,斤,,1.67,0.40,1.27,"6,000.000","2,400.00","7,620.00"
02030005,10-13头南非网鲍,,斤,,1.00,1.00, ,"1,333.330","1,333.33", 
02030008,25头南非吉品鲍,,斤,,3.15,2.85,0.30,"1,854.955","5,272.97",555.05
合计,,,,,,,,,"78,323.80","12,165.05"
03020005,19寸牙拣翅,,斤,,0.35, ,0.35,683.330, ,239.16
03050002,11寸牙勾翅,,斤,,5.18,2.04,3.14,900.000,"1,836.00","2,826.00"
0308,23寸鬼春翅,,斤,,3.07,2.18,0.89,"1,666.660","3,633.32","1,483.33"
合计,,,,,,,,,"5,469.32","4,548.49"
0102,燕盏,,斤,,1.92,0.43,1.49,"2,880.000","1,238.40","4,291.20"
合计,,,,,,,,,"1,238.40","4,291.20"
0403,冬虫草1500支,,斤,,0.076027,0.063699,0.012329,"80,000.000","5,095.92",986.32
合计,,,,,,,,,"5,095.92",986.32
,食品,,,,,,,,"90,127.44","21,991.06"
07010112,大鱼,,斤,,20.30,10.00,10.30,125.000,"1,250.00","1,287.50"
合计,肉类,,,,,,,,"1,250.00","1,287.50"
