物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050016,海螺,,斤,,11.00,6.00,5.00,48.000,288.00,240.00
09030005,鹅肝,,斤,,5.00,5.00, ,140.000,700.00, 
09120001,冻三文鱼,,斤,,8.80,8.80, ,40.000,352.00, 
09120095,三文鱼籽,,斤,,0.10, ,0.10,185.000, ,18.50
09120122,鸭利,,斤,,96.00,20.00,76.00,28.000,560.00,"2,128.00"
,肉类,,,,,,,,"1,900.00","2,386.50"
11010004,青瓜,,斤,,21.00,5.00,16.00,2.800,14.00,44.80
11010032,水果青瓜,,斤,,11.40,5.60,5.80,6.500,36.40,37.70
11030028,甜蜜豆,,斤,,10.50, ,10.50,6.313, ,64.25
11050002,莴笋头,,斤,,33.00, ,33.00,3.000, ,99.00
11060014,干水小塘菜,,斤,,5.00, ,5.00,2.800, ,14.00
11060016,干水西生菜,,斤,,4.50,0.30,4.20,3.500,1.05,14.70
11060027,韭菜,,斤,,7.60,0.50,7.10,3.533,1.76,24.99
11060040,香芹,,斤,,11.00, ,11.00,3.200, ,35.20
11060055,薄荷叶,,斤,,18.20,0.50,17.70,10.000,5.00,177.00
11060060,莲藕,,斤,,12.00, ,12.00,4.300, ,51.60
11060063,紫心番薯,,斤,,4.00, ,4.00,3.500, ,14.00
11060065,红洋葱,,斤,,51.00, ,51.00,2.300, ,117.30
11060075,红萝卜,,斤,,17.00, ,17.00,2.000, ,34.00
11060076,白萝卜,,斤,,20.00, ,20.00,1.600, ,32.00
11060138,素鲍鱼,,只,,53.00,10.00,43.00,8.833,87.45,376.05
11060174,九层塔,,斤,,2.00, ,2.00,9.000, ,18.00
11060181,万年青,,斤,,27.00,5.20,21.80,28.000,145.60,610.40
11060299,冰草,,斤,,3.00, ,3.00,14.000, ,42.00
11070049,生花生,,斤,,3.80, ,3.80,9.500, ,36.10
,蔬菜,,,,,,,,291.26,"1,843.09"
09120209,海蜇丝,,斤,,42.00,5.50,36.50,12.500,68.75,456.25
09120239,红珊蚌,,盒,,27.00,6.00,21.00,60.833,365.56,"1,279.44"
10010008,红谷米,,斤,,1.80,1.80, ,7.000,12.60, 
10010017,糯米(斤),,斤,,4.80,3.00,1.80,4.200,12.45,7.47
10010036,东北糯米,,斤,,1.60,0.50,1.10,4.000,2.00,4.40
10030023,春卷皮,,包,,10.00, ,10.00,18.000, ,180.00
10030055,越南春卷皮/干,,包,,7.00,5.00,2.00,18.000,90.00,36.00
11030046,进口厚腐皮,,斤,,4.00,0.40,3.60,26.500,10.60,95.40
12030050,塔牌花雕,500ML,支,,0.50,1.00,-0.50,6.500,6.50,-3.25
13020007,苹果醋,,支,,9.00,3.50,5.50,5.200,18.20,28.60
14030002,新奇士橙,,斤,,0.60, ,0.60,10.000, ,6.00
14060002,草莓,,合,,8.00, ,8.00,6.500, ,51.00
14090010,番茄仔,,斤,,3.40,2.00,1.40,3.500,7.00,4.90
15010011,芥茉油,60毫升,支,,10.00,2.00,8.00,3.900,7.80,31.20
15030016,双桥麦芽糖,,桶,,0.50,0.50, ,3.000,1.50, 
15040010,卡夫奇妙酱,700ml,瓶,,4.00,1.50,2.50,22.000,33.00,55.00
15040039,排骨酱,,瓶,,4.50,3.50,1.00,22.000,77.00,22.00
15040041,蒜茸辣椒酱(李锦记）,226克,瓶,,2.00,1.00,1.00,22.000,22.00,22.00
15040148,丘比蓝莓酱,,瓶,,4.00,1.00,3.00,17.500,17.50,52.50
15050016,宁化府陈醋,330ml,支,,24.00,2.50,21.50,10.750,26.87,231.13
15050019,宝鼎上海白醋,,支,,1.20,0.50,0.70,3.600,1.80,2.52
15050024,海天白米醋,,支,,4.00,4.50,-0.50,4.000,18.00,-2.00
15060010,李锦记旧装蚝油,510克,瓶,,6.50, ,6.50,29.500, ,191.75
15060016,泰国鱼露,725毫升,瓶,,3.50,1.00,2.50,8.000,8.00,20.00
15060027,浓缩橙汁,840ml,瓶,,1.00,0.50,0.50,35.000,17.50,17.50
15060031,香槽卤,,瓶,,11.00,11.00, ,6.000,66.00, 
15060033,家乐浓缩鸡汁,1kg,瓶,,6.50,0.50,6.00,50.750,25.31,303.69
15060042,家乐辣鲜露,400毫升,支,,2.00,3.00,-1.00,15.000,45.00,-15.00
15060062,东古一品鲜酱油,500ML,支,,5.00,2.50,2.50,7.500,18.75,18.75
