物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010001,大苏眉,,斤,,18.30, ,18.30,475.000, ,"8,714.00"
07010002,苏眉,,斤,,3.30, ,3.30,280.000, ,924.00
07010005,大龙趸,,斤,,217.80,12.00,205.80,38.786,461.73,"7,918.67"
07010006,老虎斑,,斤,,122.80, ,122.80,55.933, ,"6,122.90"
07010008,大东星斑,,斤,,56.10,10.50,45.60,131.444,"1,328.35","5,768.85"
07010009,细东星斑,,斤,,88.10,3.50,84.60,193.667,679.56,"16,425.84"
07010013,老鼠斑,,斤,,13.10,2.00,11.10,221.429,443.05,"2,458.95"
07010017,金钱斑,,斤,,3.10, ,3.10,140.000, ,434.00
07010022,红斑,,斤,,19.20,1.60,17.60,150.000,240.00,"2,640.00"
07010032,红瓜子,,斤,,2.30,1.00,1.30,270.000,270.00,351.00
07010035,石头鱼,,斤,,10.40, ,10.40,105.000, ,"1,092.00"
07010042,花金古,,斤,,21.00,1.90,19.10,238.571,453.47,"4,558.53"
07010043,金古,,斤,,6.00, ,6.00,230.000, ,"1,380.00"
07010051,黄丁,,斤,,24.70,2.20,22.50,90.833,198.18,"2,026.82"
07010082,大老虎斑,,斤,,18.00, ,18.00,170.000, ,"3,060.00"
07010086,金雕鱼,,斤,,1.10,1.00,0.10,33.000,33.00,3.30
07010088,瓜子斑,,斤,,2.30, ,2.30,280.000, ,644.00
07010108,珍珠龙趸,,斤,,17.30,3.60,13.70,39.500,141.59,538.81
07010127,次苏眉,,斤,,3.40, ,3.40,112.500, ,373.50
07010132,次老鼠斑,,斤,,2.00, ,2.00,75.000, ,150.00
07010138,次老虎斑,,斤,,9.40,11.20,-1.80,40.000,448.00,-72.00
07010139,红玫瑰鱼,,斤,,43.80,4.50,39.30,222.273,"1,000.12","8,734.38"
07010142,蓝东星,,斤,,33.00,6.30,26.70,86.250,542.95,"2,301.05"
07010157,牙衣,,斤,,2.90, ,2.90,40.000, ,116.00
07020001,波斯龙虾,,斤,,154.20,23.30,130.90,81.800,"1,969.55","11,064.95"
07020003,花龙虾,,斤,,38.00,7.10,30.90,283.768,"2,101.73","9,146.95"
07020012,罗氏虾,,斤,,32.00,3.70,28.30,65.714,243.39,"1,861.61"
07020015,大虾皇,,斤,,6.00,3.90,2.10,115.000,448.50,241.50
07020022,南非龙虾,,斤,,24.10,3.50,20.60,91.000,316.96,"1,865.54"
07020024,青龙虾仔,,斤,,25.20,1.50,23.70,180.833,268.12,"4,236.38"
07020034,熟波斯龙虾,,斤,,3.40, ,3.40,55.000, ,187.00
07030034,靓松叶蟹,,斤,,10.20, ,10.20,55.000, ,561.00
07040001,象拨蚌,,斤,,38.60,5.70,32.90,177.778,977.42,"5,641.58"
07050007,圣子王,,斤,,13.30, ,13.30,70.000, ,931.00
07050013,响螺,,斤,,15.20, ,15.20,157.500, ,"2,366.00"
07050053,网贝,,斤,,11.00, ,11.00,37.000, ,407.00
07060002,大连鲍(5只/斤),,斤,,78.78,19.43,59.35,98.941,"1,900.98","5,806.64"
07060022,南非鲜鲍（4头）,,斤,,43.70,5.26,38.44,168.000,883.68,"6,457.92"
09120013,黄花鱼,,斤,,3.30, ,3.30,25.000, ,82.50
09120203,6头大虾,,盒,,7.50, ,7.50,182.500, ,"1,380.00"
09120225,特大九节虾,1KG 7只/盒,盒,,10.00,5.29,4.71,210.000,"1,110.90",989.10
合计,海鲜,,,,,,,,"16,461.23","129,891.27"
