ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401003,铁板低温和牛肉配味黄瓜,位,RMB,138.00,583.0,"80,454.00"
0401010,木鱼汁香煎法国鹅肝,位,RMB,168.00,13.0,"2,184.00"
0401011,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,28.0,"2,464.00"
0402001,黑竹盐极品牛肉,位,RMB,280.00,168.0,"47,040.00"
0402003,日本黑竹盐烧和牛膜,位,RMB,338.00,12.0,"4,056.00"
0402006,五谷南瓜盅,位,RMB,48.00,152.0,"7,296.00"
0402010,温泉蛋脆皮雪花牛肉,位,RMB,280.00,56.0,"15,680.00"
0402018,野米煮淮山,位,RMB,48.00,2.0,96.00
0402028,黑松露吞拿鱼腩,位,RMB,128.00,22.0,"2,816.00"
0402044,酒烧台湾野生乌鱼籽,位,RMB,68.00,2.0,136.00
0402050,黑菌慢煮野生笋壳配露笋汁,位,RMB,78.00,24.0,"1,872.00"
0402051,鲜茄汤烩海胆蟹钳,位,RMB,88.00,19.0,"1,672.00"
0402053,夏日鲜茄局鲜莲,位,RMB,68.00,26.0,"1,768.00"
0402055,香煎淮山炒带子,例,RMB,160.00,4.0,640.00
0402066,珍菌煎西班牙火腿片,位,RMB,98.00,16.0,"1,568.00"
0402071,金瓜烩龙趸皮,位,RMB,138.00,13.0,"1,794.00"
0402083,西班牙火腿片,位,RMB,88.00,9.0,792.00
0402090,鲜茄汤烩红毛蟹肉,位,RMB,88.00,7.0,616.00
