ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401001,火山石窝龙趸扒,位,RMB,98.00,190.0,"18,620.00"
0401002,法式香草煎龙虾扒,位,RMB,168.00,12.0,"2,016.00"
0401007,美国燕麦局大连鲍,位,RMB,88.00,10.0,880.00
0401008,脆烧星斑扒,位,RMB,138.00,113.0,"15,594.00"
0401014,低温白雪龙虾仔,位,RMB,128.00,15.0,"1,920.00"
0401017,咸柠檬灼鲜鲍,位,RMB,108.00,9.0,972.00
0401018,金柚手撕龙虾,位,RMB,138.00,222.0,"30,636.00"
0401019,火山石烧星斑头腩,位,RMB,128.00,3.0,384.00
0501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,8.0,"1,344.00"
1201033,法式龙虾扒（2月套餐）,位,RMB,107.13,29.0,"3,106.77"
0301003,百岁草炖珍珠鲍鱼,位,RMB,180.00,91.0,"16,380.00"
0601002,老鼠斑,斤,RMB,498.00,13.1,"6,523.80"
0601003,东星斑,斤,RMB,328.00,3.6,"1,180.80"
0601003,东星斑,斤,RMB,368.00,9.4,"3,459.20"
0601003,东星斑,斤,RMB,398.00,1.4,557.20
0601003,东星斑,斤,RMB,468.00,2.2,"1,029.60"
0601003,东星斑,斤,RMB,498.00,26.1,"12,997.80"
0601003,东星斑,斤,RMB,598.00,25.0,"14,950.00"
0601004,红玫瑰,斤,RMB,468.00,0.8,374.40
0601007,老虎斑,斤,RMB,98.00,56.4,"5,527.20"
0601007,老虎斑,斤,RMB,168.00,34.3,"5,762.40"
0601007,老虎斑,斤,RMB,188.00,9.0,"1,692.00"
0601022,蓝东星,斤,RMB,188.00,29.9,"5,621.20"
0601023,黄丁,斤,RMB,198.00,48.5,"9,603.00"
0601030,金雕,斤,RMB,88.00,1.2,105.60
0601033,红斑,斤,RMB,328.00,6.0,"1,968.00"
0601035,苏鼠斑,斤,RMB,128.00,5.2,665.60
0602001,花龙虾,斤,RMB,538.00,2.7,"1,452.60"
0602001,花龙虾,斤,RMB,598.00,10.3,"6,159.40"
0602003,龙虾仔,斤,RMB,398.00,44.85,"17,850.30"
0602004,波士顿龙虾,斤,RMB,138.00,86.3,"11,909.40"
0602004,波士顿龙虾,斤,RMB,168.00,8.1,"1,360.80"
0602004,波士顿龙虾,斤,RMB,228.00,26.5,"6,042.00"
0602008,大虾皇,斤,RMB,248.00,7.7,"1,909.60"
0602010,大红节虾,斤,RMB,198.00,12.1,"2,395.80"
0602018,蓝龙虾,斤,RMB,328.00,3.4,"1,115.20"
0603001,象拔蚌,斤,RMB,328.00,1.0,328.00
0603001,象拔蚌,斤,RMB,338.00,4.5,"1,521.00"
0603001,象拔蚌,斤,RMB,368.00,3.0,"1,104.00"
0603001,象拔蚌,斤,RMB,438.00,50.4,"22,075.20"
0603004,南非野生鲍,斤,RMB,398.00,77.0,"30,646.00"
0604005,大红蟹,斤,RMB,268.00,4.3,"1,152.40"
0401015,泡椒私房焖龙趸,例,RMB,168.00,7.0,"1,176.00"
0605002,开刀东星头腩,斤,RMB,298.00,19.6,"5,840.80"
0605003,开刀苏眉咀,斤,RMB,738.00,2.0,"1,476.00"
0605003,开刀苏眉咀,斤,RMB,798.00,7.0,"5,586.00"
0605004,开刀苏眉肉,斤,RMB,698.00,3.5,"2,443.00"
0605004,开刀苏眉肉,斤,RMB,768.00,15.9,"12,211.20"
0605005,开刀苏眉头腩,斤,RMB,698.00,4.5,"3,141.00"
0605005,开刀苏眉头腩,斤,RMB,768.00,13.8,"10,598.40"
0605006,开刀龙趸,斤,RMB,138.00,48.8,"6,734.40"
0605007,开刀黄皮老虎斑,斤,RMB,368.00,7.2,"2,649.60"
1201004,百岁草炖珍珠鲍鱼（11月套餐）,位,RMB,125.41,174.0,"21,820.49"
