ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0301001,玛卡绅士强身汤,位,RMB,268.00,90.0,"24,120.00"
0301004,石斛灵芝炖地龙,位,RMB,138.00,144.0,"19,872.00"
0301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,129.0,"29,412.00"
0301006,猴枣炖野山龟,位,RMB,198.00,11.0,"2,178.00"
0301007,海胆刺芹汤,位,RMB,68.00,57.0,"3,876.00"
0301022,羊肚菌炖花胶,位,RMB,268.00,111.0,"29,748.00"
0301024,羊肚菌炖原条辽参,位,RMB,298.00,28.0,"8,344.00"
0301029,羊肚菌炖鳘肚公,位,RMB,518.00,16.0,"8,288.00"
0301030,日本昆布炖野生刺参,位,RMB,128.00,123.0,"15,744.00"
0301038,陈皮莲子炖水鸭,例,RMB,188.00,58.0,"10,904.00"
0301038,陈皮莲子炖水鸭,例,RMB,251.00,3.0,753.00
0301039,昆布炖花胶,位,RMB,68.00,227.0,"15,436.00"
0301039,昆布炖花胶,位,RMB,88.00,4.0,352.00
0301049,青榄椰皇炖鹧鸪,位,RMB,128.00,178.0,"22,784.00"
0301050,椰皇杞子炖鲨鱼胶,位,RMB,58.00,37.0,"2,146.00"
0301051,鲜天麻炖水鸭,位,RMB,48.00,18.0,864.00
0301052,十年黄精熟地炖鹿鞭,位,RMB,158.00,11.0,"1,738.00"
0301053,当归白术红枣炖水鱼裙,位,RMB,168.00,37.0,"6,216.00"
0301054,石柱参炖肉汁,位,RMB,128.00,55.0,"7,040.00"
