ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0102001,风味汁大花螺,份,RMB,88.00,35.0,"3,080.00"
0102002,洋葱小木耳,份,RMB,28.00,146.0,"4,088.00"
0102003,意大利黑醋拌海蜇,份,RMB,88.00,4.0,352.00
0102004,蓝莓鹅肝三文鱼塔,份,RMB,88.00,46.0,"4,048.00"
0102006,虫草花素鲍卷,份,RMB,48.00,29.0,"1,392.00"
0102007,麻酱万年青,份,RMB,38.00,187.0,"7,106.00"
0102011,香醋花生配五香黑豆,份,RMB,28.00,54.0,"1,512.00"
0102012,骨胶原东海黄鱼冻,份,RMB,48.00,1.0,48.00
0102013,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,5.0,440.00
0102014,青瓜段,份,RMB,25.00,1.0,25.00
0102023,三文鱼腩,件,RMB,25.00,16.0,400.00
0102028,拍青瓜,份,RMB,28.00,23.0,644.00
0102029,炸花生,份,RMB,28.00,16.0,448.00
0102031,炸腰果,例,RMB,28.00,41.0,"1,148.00"
0102036,开胃泡椒鸭舌,份,RMB,58.00,94.0,"5,452.00"
0102038,青苹果煎西班牙乳猪,份,RMB,78.00,52.0,"4,056.00"
0102042,翠豆拌蚌仔,份,RMB,78.00,36.0,"2,808.00"
0102043,桂花糯米藕,份,RMB,38.00,34.0,"1,292.00"
0102044,蓝梅山药,份,RMB,48.00,30.0,"1,440.00"
0102049,烟薰素鹅卷,份,RMB,48.00,31.0,"1,488.00"
0102051,水晶鸭舌,份,RMB,58.00,20.0,"1,160.00"
0102059,万年青拼素鹅卷,份,RMB,38.00,7.0,266.00
0102061,海蜇丝拼醋泡花生,份,RMB,48.00,9.0,432.00
1201099,馆藏本草凉菜B（套餐）,位,RMB,68.14,203.0,"13,791.63"
1201166,珍品凉菜双拼B（套餐10月）,份,RMB,29.30,41.0,"1,201.30"
