ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
102001,风味汁大花螺,份,RMB,88.00,18.0,"1,584.00"
102002,洋葱小木耳,份,RMB,28.00,134.0,"3,752.00"
102003,意大利黑醋拌海蜇,份,RMB,88.00,28.0,"2,464.00"
102004,蓝莓鹅肝三文鱼塔,份,RMB,88.00,26.0,"2,288.00"
102006,虫草花素鲍卷,份,RMB,48.00,34.0,"1,632.00"
102007,麻酱万年青,份,RMB,38.00,151.0,"5,738.00"
102011,香醋花生配五香黑豆,份,RMB,28.00,35.0,980.00
102012,骨胶原东海黄鱼冻,份,RMB,48.00,3.0,144.00
102013,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,28.0,"2,464.00"
102019,口水捞起鲜鲍片,份,RMB,98.00,1.0,98.00
102020,有机百合茄鹅肝沙律,份,RMB,88.00,23.0,"2,024.00"
102021,低温香椿豆腐,份,RMB,48.00,11.0,528.00
102022,法式海鲜沙律,份,RMB,88.00,3.0,264.00
102023,三文鱼腩,件,RMB,25.00,14.0,350.00
102026,蓝莓鹅肝,份,RMB,198.00,2.0,396.00
102028,拍青瓜,份,RMB,28.00,45.0,"1,260.00"
102029,炸花生,份,RMB,28.00,30.0,840.00
102031,炸腰果,例,RMB,28.00,47.0,"1,316.00"
102036,开胃泡椒鸭舌,份,RMB,58.00,89.0,"5,162.00"
102038,青苹果煎西班牙乳猪,份,RMB,78.00,30.0,"2,340.00"
102042,翠豆拌蚌仔,份,RMB,78.00,50.0,"3,900.00"
102049,烟薰素鹅卷,份,RMB,48.00,29.0,"1,392.00"
102051,水晶鸭舌,份,RMB,58.00,17.0,986.00
1201039,珍品凉菜三拼（2月套餐）,份,RMB,52.99,5.0,264.96
1201099,馆藏本草凉菜B（套餐）,位,RMB,74.31,156.0,"11,543.76"
1201166,珍品凉菜双拼B（套餐10月）,份,RMB,25.89,32.0,828.49
