ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
801004,雪菜黄鱼稻庭汤面,位,RMB,38.00,33.0,"1,254.00"
801005,樱花虾葱油稻庭冷面,位,RMB,38.00,28.0,"1,064.00"
801018,樱花虾葱油稻庭冷面（半价）,位,RMB,19.00,76.0,"1,444.00"
802001,人参灌汤包,半打,RMB,48.00,77.0,"3,696.00"
802002,咖啡芋茸包,半打,RMB,36.00,2.0,72.00
802003,黄耳野菌饺,件,RMB,10.00,123.0,"1,230.00"
802004,青芥石蚝卷,件,RMB,10.00,33.0,330.00
802005,松茸莲藕酥,件,RMB,12.00,124.0,"1,488.00"
802007,焦糖蜂巢糕,半打,RMB,30.00,2.0,60.00
802012,松皮菜肉包,件,RMB,10.00,140.0,"1,400.00"
802013,洛神花果冻,件,RMB,10.00,18.0,180.00
802014,寿桃（大）,只,RMB,18.00,12.0,216.00
802015,寿桃（小）,只,RMB,8.00,8.0,64.00
802031,家乡艾糍,半打,RMB,48.00,15.0,720.00
802031,家乡艾糍,件,RMB,8.00,10.0,80.00
802036,栗子冻饼,位,RMB,16.00,2.0,32.00
802037,核桃芭菲,位,RMB,20.00,9.0,180.00
802038,朱古力心太软,位,RMB,20.00,18.0,360.00
802039,巧克力黑白配慕斯,位,RMB,18.00,2.0,36.00
802040,养生灵芝金瓜糕,位,RMB,20.00,2.0,40.00
802041,椰香桂花糕,位,RMB,16.00,19.0,304.00
802042,意大利提拉米苏,位,RMB,20.00,36.0,720.00
802043,欧式芝士蛋糕,位,RMB,26.00,8.0,208.00
802044,美式芝士饼,位,RMB,22.00,1.0,22.00
802045,蓝莓经典,位,RMB,18.00,13.0,234.00
802046,法式焦糖炖蛋,位,RMB,16.00,22.0,352.00
802047,传统姜撞奶,位,RMB,16.00,51.0,816.00
802058,精选黑森林生日蛋糕(员工价）,磅,RMB,48.00,2.0,96.00
802059,鲜水果忌廉生日蛋糕（员工价）,磅,RMB,48.00,7.0,336.00
802061,松茸莲藕酥（半价）,件,RMB,6.00,20.0,120.00
802062,生煎黑椒雪花牛肉包,半打,RMB,48.00,32.0,"1,536.00"
803001,西藏甘草雪莲子,位,RMB,20.00,16.0,320.00
803003,杨枝甘露,位,RMB,20.00,8.0,160.00
806005,芝士牛油野鸡卷（大）,份,RMB,22.00,17.0,374.00
806006,金瓜豆豉蒸排骨（特）,份,RMB,26.00,110.0,"2,860.00"
806010,黑竹盐脆虾包（特）,份,RMB,26.00,29.0,754.00
806011,黄瓜煎薄餐（小）,份,RMB,13.00,90.0,"1,170.00"
806013,法式蛋挞（中）,份,RMB,18.00,66.0,"1,188.00"
806014,金网青芥石蚝卷（中）,份,RMB,18.00,47.0,846.00
806015,松皮菜肉包（中）,份,RMB,18.00,52.0,936.00
806016,台南铁板煎萝卜糕（大）,份,RMB,22.00,82.0,"1,804.00"
806017,咖喱芝心角（中）,份,RMB,18.00,34.0,612.00
806019,黑松露蒸牛肉球（特）,份,RMB,26.00,63.0,"1,638.00"
806021,金网菜肉饺（大）,份,RMB,22.00,28.0,616.00
807003,蟹籽百灵菇烧卖（大）,份,RMB,22.00,63.0,"1,386.00"
807004,补气鲜参灌汤包（特）,份,RMB,26.00,267.0,"6,942.00"
807007,黑松露素粉果（特）（半价）,份,RMB,13.00,387.0,"5,031.00"
807008,松茸莲藕酥（顶）（半价）,份,RMB,15.00,356.0,"5,340.00"
807009,金兰花虾饺皇（特）（半价）,份,RMB,13.00,409.0,"5,317.00"
807010,脆皮野菌肠（大）（半价）,份,RMB,11.00,295.0,"3,245.00"
807012,香草酱皇蒸凤爪（大）（半价）,份,RMB,11.00,297.0,"3,267.00"
808005,原笼五仁杂粮饭（小）,份,RMB,13.00,77.0,"1,001.00"
809003,养生灵芝金瓜糕（小）,份,RMB,13.00,33.0,429.00
809004,蛋白杏仁茶（中）,份,RMB,18.00,75.0,"1,350.00"
809005,台湾绿茶蛋糕（中）,份,RMB,18.00,25.0,450.00
809006,奶酪酸奶布丁（大）,份,RMB,22.00,37.0,814.00
899001,蛋白杏仁茶,位,RMB,22.00,2.0,44.00
899001,稻庭面,包,RMB,180.00,1.0,180.00
899001,黑芝麻汤圆,位,RMB,28.00,4.0,112.00
899001,蓝莓经典蛋糕,个,RMB,108.00,1.0,108.00
899001,绿茶蛋糕,位,RMB,22.00,4.0,88.00
899001,绿茶蛋糕,位,RMB,26.00,6.0,156.00
899001,绿茶蛋糕,位,RMB,28.00,10.0,280.00
899001,玫瑰果冻,位,RMB,20.00,11.0,220.00
899001,玫瑰花果冻,位,RMB,20.00,2.0,40.00
899001,玫瑰花柠檬果冻,位,RMB,6.50,3.0,19.50
899001,生煎黑椒雪花牛肉包,件,RMB,8.00,4.0,32.00
1201070,歌剧蛋糕（2月套餐）,份,RMB,41.78,5.0,208.91
1201105,意大利提拉米苏（套餐）,位,RMB,20.63,133.0,"2,743.21"
1201109,法式蛋糕（3月套餐）,位,RMB,13.29,26.0,345.38
1201139,雪山菜肉包（套餐）,份,RMB,9.96,32.0,318.72
801007,龙虾汤稻庭面,位,RMB,38.00,666.0,"25,308.00"
806008,客家萝卜丝丸（大）,份,RMB,22.00,31.0,682.00
806009,烤烤双拼（顶）,份,RMB,30.00,18.0,540.00
808009,龙虾汤稻庭面（特）,份,RMB,26.00,88.0,"2,288.00"
1201097,龙虾汤稻庭面（套餐）,位,RMB,26.68,156.0,"4,143.89"
