ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
301017,羊肚菌炖娃娃鱼骨汤,位,RMB,148.00,16.0,"2,368.00"
301001,玛卡绅士强身汤,位,RMB,268.00,37.0,"9,916.00"
301004,石斛灵芝炖地龙,位,RMB,138.00,163.0,"22,494.00"
301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,80.0,"18,240.00"
301006,猴枣炖野山龟,位,RMB,198.00,32.0,"6,336.00"
301007,海胆刺芹汤,位,RMB,68.00,64.0,"4,352.00"
301022,羊肚菌炖花胶,位,RMB,268.00,97.0,"25,996.00"
301024,羊肚菌炖原条辽参,位,RMB,298.00,34.0,"10,132.00"
301029,羊肚菌炖鳘肚公,位,RMB,518.00,18.0,"9,324.00"
301030,日本昆布炖野生刺参,位,RMB,128.00,32.0,"4,096.00"
301036,五叶神沙虫干炖山斑,位,RMB,168.00,5.0,840.00
301037,金山黑金刚牛黄炖螺头（半价）,位,RMB,114.00,373.0,"42,522.00"
301038,陈皮莲子炖水鸭,例,RMB,188.00,24.0,"4,512.00"
301042,花旗参人参果炖刺龟鱼,例,RMB,228.00,8.0,"1,824.00"
301044,太子参玉竹炖花胶,位,RMB,180.00,22.0,"3,960.00"
