ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0911001,西藏雪菊,位,RMB,38.00,2.0,76.00
0911002,陈年普洱,位,RMB,28.00,155.0,"4,340.00"
0911005,清香铁观音,位,RMB,28.00,59.0,"1,652.00"
0901012,新西兰梅乐红,支,RMB,600.00,1.0,600.00
0901013,澳洲奔富407,支,RMB,980.00,8.0,"7,840.00"
0901016,梅乐卡伯纳红2012年,支,RMB,600.00,1.0,600.00
0901017,杰卡斯梅洛干红,支,RMB,480.00,2.0,960.00
0902003,大号轩尼诗XO,支,RMB,"2,380.00",1.0,"2,380.00"
0903001,1990年梅鹿液53度,支,RMB,980.00,1.0,980.00
0903004,高度茅台53度,支,RMB,"1,980.00",1.0,"1,980.00"
0908002,绍兴20年花雕,支,RMB,380.00,1.0,380.00
0909001,青岛,支,RMB,26.00,12.0,312.00
0909002,喜力,支,RMB,28.00,32.0,896.00
0910001,野生花旗参蜜枣茶,位,RMB,28.00,134.0,"3,752.00"
0910002,博士养生茶,位,RMB,28.00,689.0,"19,292.00"
0910003,红枣枸杞雪菊茶,位,RMB,28.00,184.0,"5,152.00"
0910004,西藏甘草雪茶,位,RMB,28.00,57.0,"1,596.00"
0910005,藏红花润肺茶,位,RMB,38.00,44.0,"1,672.00"
0910006,冰冻清润茶,位,RMB,18.00,28.0,504.00
0910009,日本芽茶,位,RMB,28.00,44.0,"1,232.00"
0910010,博士养生茶(赠送）,位,RMB,0.00,"1,952.0",0.00
0910011,红枣枸杞雪菊茶（午市散台）,位,RMB,18.00,170.0,"3,060.00"
0910012,西藏甘草雪茶（午市散台）,位,RMB,18.00,46.0,828.00
0910013,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,80.0,"1,440.00"
0910014,藏红花润肺茶（午市散台）,位,RMB,18.00,55.0,990.00
0910015,日本芽茶（午市散台）,位,RMB,18.00,55.0,990.00
0910016,博士养生茶(增加）,位,RMB,0.00,"1,013.0",0.00
0912001,纸巾,包,RMB,8.00,81.0,648.00
0912002,扑克,副,RMB,10.00,3.0,30.00
0912007,长打包盒,个,RMB,2.00,255.0,510.00
0912008,圆打包盒,个,RMB,2.00,50.0,100.00
0912010,环保袋,个,RMB,3.00,110.0,330.00
0913001,软黑芙蓉王,包,RMB,88.00,7.0,616.00
0913002,软云烟,包,RMB,138.00,4.0,552.00
0913003,软中华,包,RMB,128.00,14.0,"1,792.00"
0914001,鲜榨苹果汁,杯,RMB,20.00,5.0,100.00
0914001,鲜榨苹果汁,渣,RMB,98.00,2.0,196.00
0914002,鲜榨哈蜜瓜汁,杯,RMB,20.00,3.0,60.00
0914002,鲜榨哈蜜瓜汁,渣,RMB,98.00,2.0,196.00
0914004,鲜榨西瓜汁,杯,RMB,20.00,3.0,60.00
0914004,鲜榨西瓜汁,渣,RMB,98.00,11.0,"1,078.00"
0914006,鲜榨木瓜汁,杯,RMB,20.00,4.0,80.00
0914006,鲜榨木瓜汁,渣,RMB,98.00,1.0,98.00
0914010,水果（送）,位,RMB,0.00,"2,160.0",0.00
0914011,水果,位,RMB,28.00,2.0,56.00
0914012,餐前水果（送）,位,RMB,0.00,142.0,0.00
0914014,鲜榨火龙果汁,杯,RMB,20.00,2.0,40.00
0914015,鲜榨新奇士橙汁,杯,RMB,20.00,18.0,360.00
0914015,鲜榨新奇士橙汁,渣,RMB,118.00,20.0,"2,360.00"
0914016,杏仁汁,渣,RMB,138.00,10.0,"1,380.00"
0914019,柠檬,个,RMB,10.00,13.0,130.00
0914020,VIP水果（送）,位,RMB,0.00,767.0,0.00
0915002,苏打水,罐,RMB,13.00,69.0,897.00
0915004,可乐,罐,RMB,13.00,7.0,91.00
0915007,小芙丝水,支,RMB,30.00,24.0,720.00
0915008,意大利大普娜水（750ml）,支,RMB,38.00,69.0,"2,622.00"
0915009,意大利圣培露（柠檬汁）,瓶,RMB,25.00,11.0,275.00
0915010,意大利圣培露（橙汁）,瓶,RMB,25.00,3.0,75.00
0915011,意大利手磨咖啡,杯,RMB,38.00,1.0,38.00
0916001,双黄班兰莲蓉月,个,RMB,38.00,19.0,722.00
0916002,双黄白莲蓉,个,RMB,36.00,7.0,252.00
0916003,金腿五仁月,个,RMB,36.00,23.0,828.00
0916004,迷你蛋黄班兰莲蓉月,个,RMB,18.00,23.0,414.00
0916006,迷你金腿五仁月饼,个,RMB,18.00,19.0,342.00
0916007,迷你蛋黄豆沙月饼,个,RMB,18.00,1.0,18.00
0916008,迷你金沙奶皇月饼,个,RMB,16.00,23.0,368.00
1001001,普通茶（散）,位,RMB,10.00,"1,810.0","18,100.00"
1001002,普通茶（厅）,位,RMB,12.00,945.0,"11,340.00"
0918001,印象大红袍,盒,RMB,346.00,1.0,346.00
1002004,自带茶叶,位,RMB,15.00,108.0,"1,620.00"
