ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
1003001,空中金腿皇,盒,RMB,580.00,4.0,"2,320.00"
1003002,迷你金沙奶黄月,盒,RMB,188.00,109.0,"20,492.00"
1003003,至尊班兰莲蓉月,盒,RMB,268.00,146.0,"39,128.00"
1003004,金腿五仁,盒,RMB,238.00,45.0,"10,710.00"
1003005,精品御月,盒,RMB,168.00,78.0,"13,104.00"
1003006,迷你八喜月,盒,RMB,158.00,425.0,"67,150.00"
1003009,至尊班兰莲蓉月(券）,盒,RMB,268.00,109.0,"29,212.00"
1003010,金腿五仁(券）,盒,RMB,238.00,17.0,"4,046.00"
1003011,精品御月(券）,盒,RMB,168.00,99.0,"16,632.00"
1003012,迷你八喜月(券）,盒,RMB,158.00,257.0,"40,606.00"
