ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401001,火山石窝龙趸扒,位,RMB,98.00,119.0,"11,662.00"
0401002,法式香草煎龙虾扒,位,RMB,168.00,15.0,"2,520.00"
0401007,美国燕麦局大连鲍,位,RMB,88.00,29.0,"2,552.00"
0401008,脆烧星斑扒,位,RMB,138.00,86.0,"11,868.00"
0401014,低温白雪龙虾仔,位,RMB,128.00,6.0,768.00
0401017,咸柠檬灼鲜鲍,位,RMB,108.00,44.0,"4,752.00"
0401018,金柚手撕龙虾,位,RMB,138.00,159.0,"21,942.00"
0401019,火山石烧星斑头腩,位,RMB,128.00,6.0,768.00
0401028,咸柠檬灼鲜鲍（半价）,位,RMB,54.00,92.0,"4,968.00"
0401029,脆烧星斑扒（半价）,位,RMB,69.00,89.0,"6,141.00"
0501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,1.0,168.00
1201025,陈皮丝蒸龙趸球（6月套餐）,份,RMB,89.48,53.0,"4,742.44"
1201033,法式龙虾扒（2月套餐）,位,RMB,125.77,40.0,"5,030.72"
1201190,脆烧星斑扒（8月套餐）,位,RMB,78.22,68.0,"5,319.09"
0301003,百岁草炖珍珠鲍鱼,位,RMB,180.00,131.0,"23,580.00"
0606002,娃娃鱼（特惠价）,斤,RMB,338.00,10.5,"3,549.00"
0601002,老鼠斑,斤,RMB,538.00,21.0,"11,298.00"
0601003,东星斑,斤,RMB,328.00,5.6,"1,836.80"
0601003,东星斑,斤,RMB,368.00,14.0,"5,152.00"
0601003,东星斑,斤,RMB,468.00,65.1,"30,466.80"
0601004,红玫瑰,斤,RMB,398.00,8.6,"3,422.80"
0601009,大东星斑,斤,RMB,298.00,5.0,"1,490.00"
0601022,蓝东星,斤,RMB,128.00,3.9,499.20
0601022,蓝东星,斤,RMB,148.00,1.3,192.40
0601022,蓝东星,斤,RMB,188.00,40.0,"7,520.00"
0601023,黄丁,斤,RMB,168.00,6.4,"1,075.20"
0601028,石头鱼,斤,RMB,238.00,2.3,547.40
0602001,花龙虾,斤,RMB,568.00,10.1,"5,736.80"
0602003,龙虾仔,斤,RMB,368.00,21.6,"7,948.80"
0602004,波士顿龙虾,斤,RMB,128.00,4.2,537.60
0602004,波士顿龙虾,斤,RMB,168.00,10.5,"1,764.00"
0602006,斑马虾,斤,RMB,328.00,16.8,"5,510.40"
0602008,大虾皇,斤,RMB,248.00,17.7,"4,389.60"
0602017,花虾,斤,RMB,168.00,25.5,"4,284.00"
0603001,象拔蚌,斤,RMB,368.00,6.7,"2,465.60"
0603001,象拔蚌,斤,RMB,438.00,58.3,"25,535.40"
0603004,南非野生鲍,斤,RMB,500.00,47.2,"23,600.00"
0603006,圣子皇,斤,RMB,88.00,4.0,352.00
0603006,圣子皇,斤,RMB,138.00,17.4,"2,401.20"
0603014,美国响螺,斤,RMB,268.00,17.3,"4,636.40"
0604008,黄油蟹特惠价（3-3.9两）,只,RMB,228.00,11.0,"2,508.00"
0604009,黄油蟹特惠价（4-4.9两）,只,RMB,328.00,33.0,"10,824.00"
0604010,黄油蟹特惠价（5-5.9两）,只,RMB,428.00,9.0,"3,852.00"
1201177,上汤牛油波士顿龙虾(8月套餐),份,RMB,290.52,7.0,"2,033.64"
1201181,原条蓝东星二食(8月套餐),条,RMB,200.90,7.0,"1,406.30"
0401015,泡椒私房焖龙趸,例,RMB,168.00,14.0,"2,352.00"
0605001,开刀东星肉,斤,RMB,368.00,2.0,736.00
0605002,开刀东星头腩,斤,RMB,298.00,24.6,"7,330.80"
0605003,开刀苏眉咀,斤,RMB,680.00,1.4,952.00
0605004,开刀苏眉肉,斤,RMB,638.00,3.6,"2,296.80"
0605005,开刀苏眉头腩,斤,RMB,638.00,3.3,"2,105.40"
0605006,开刀龙趸,斤,RMB,138.00,63.2,"8,721.60"
0605007,开刀黄皮老虎斑,斤,RMB,368.00,17.8,"6,550.40"
0605016,开刀大苏鼠,斤,RMB,228.00,19.0,"4,332.00"
