ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0102001,风味汁大花螺,份,RMB,88.00,29.0,"2,552.00"
0102002,洋葱小木耳,份,RMB,28.00,138.0,"3,864.00"
0102003,意大利黑醋拌海蜇,份,RMB,88.00,15.0,"1,320.00"
0102004,蓝莓鹅肝三文鱼塔,份,RMB,88.00,39.0,"3,432.00"
0102006,虫草花素鲍卷,份,RMB,48.00,38.0,"1,824.00"
0102007,麻酱万年青,份,RMB,38.00,206.0,"7,828.00"
0102008,三文鱼,客,RMB,88.00,3.0,264.00
0102011,香醋花生配五香黑豆,份,RMB,28.00,56.0,"1,568.00"
0102012,骨胶原东海黄鱼冻,份,RMB,48.00,2.0,96.00
0102013,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,26.0,"2,288.00"
0102023,三文鱼腩,件,RMB,25.00,4.0,100.00
0102024,吞拿鱼腩,件,RMB,70.00,4.0,280.00
0102028,拍青瓜,份,RMB,28.00,31.0,868.00
0102029,炸花生,份,RMB,28.00,22.0,616.00
0102031,炸腰果,例,RMB,28.00,51.0,"1,428.00"
0102036,开胃泡椒鸭舌,份,RMB,58.00,105.0,"6,090.00"
0102038,青苹果煎西班牙乳猪,份,RMB,78.00,50.0,"3,900.00"
0102042,翠豆拌蚌仔,份,RMB,78.00,33.0,"2,574.00"
0102043,桂花糯米藕,份,RMB,38.00,46.0,"1,748.00"
0102044,蓝梅山药,份,RMB,48.00,35.0,"1,680.00"
0102049,烟薰素鹅卷,份,RMB,48.00,15.0,720.00
0102051,水晶鸭舌,份,RMB,58.00,32.0,"1,856.00"
0102057,果香三拼,份,RMB,38.00,6.0,228.00
0102059,万年青拼素鹅卷,份,RMB,38.00,9.0,342.00
0102060,洋葱木耳拼双豆,份,RMB,28.00,5.0,140.00
0102061,海蜇丝拼醋泡花生,份,RMB,48.00,7.0,336.00
1201099,馆藏本草凉菜B（套餐）,位,RMB,67.96,222.0,"15,090.17"
1201166,珍品凉菜双拼B（套餐10月）,份,RMB,29.30,40.0,"1,172.00"
