ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0911001,西藏雪菊,位,RMB,38.00,14.0,532.00
0911002,陈年普洱,位,RMB,28.00,155.0,"4,340.00"
0911005,清香铁观音,位,RMB,28.00,37.0,"1,036.00"
0901013,澳洲奔富407,支,RMB,980.00,3.0,"2,940.00"
0901016,梅乐卡伯纳红2012年,支,RMB,600.00,2.0,"1,200.00"
0901017,杰卡斯梅洛干红,支,RMB,480.00,9.0,"4,320.00"
0903001,1990年梅鹿液53度,支,RMB,980.00,5.0,"4,900.00"
0903004,高度茅台53度,支,RMB,"1,980.00",4.0,"7,920.00"
0908001,绍兴10年花雕,支,RMB,298.00,3.0,894.00
0908002,绍兴20年花雕,支,RMB,380.00,1.0,380.00
0909001,青岛,支,RMB,26.00,66.0,"1,716.00"
0909002,喜力,支,RMB,28.00,27.0,756.00
0910001,野生花旗参蜜枣茶,位,RMB,28.00,155.0,"4,340.00"
0910002,博士养生茶,位,RMB,28.00,601.0,"16,828.00"
0910003,红枣枸杞雪菊茶,位,RMB,28.00,252.0,"7,056.00"
0910004,西藏甘草雪茶,位,RMB,28.00,173.0,"4,844.00"
0910005,藏红花润肺茶,位,RMB,38.00,56.0,"2,128.00"
0910006,冰冻清润茶,位,RMB,18.00,30.0,540.00
0910008,博士养生茶（800ML）,瓶,RMB,60.00,1.0,60.00
0910009,日本芽茶,位,RMB,28.00,15.0,420.00
0910010,博士养生茶(赠送）,位,RMB,0.00,"1,867.0",0.00
0910011,红枣枸杞雪菊茶（午市散台）,位,RMB,18.00,211.0,"3,798.00"
0910012,西藏甘草雪茶（午市散台）,位,RMB,18.00,76.0,"1,368.00"
0910013,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,146.0,"2,628.00"
0910014,藏红花润肺茶（午市散台）,位,RMB,18.00,91.0,"1,638.00"
0910015,日本芽茶（午市散台）,位,RMB,18.00,49.0,882.00
0910016,博士养生茶(增加）,位,RMB,0.00,"1,028.0",0.00
0912001,纸巾,包,RMB,8.00,84.0,672.00
0912002,扑克,副,RMB,10.00,1.0,10.00
0912005,保温瓶,个,RMB,50.00,2.0,100.00
0912007,长打包盒,个,RMB,2.00,230.0,460.00
0912008,圆打包盒,个,RMB,2.00,44.0,88.00
0912010,环保袋,个,RMB,3.00,118.0,354.00
0913001,软黑芙蓉王,包,RMB,88.00,7.0,616.00
0913003,软中华,包,RMB,128.00,28.0,"3,584.00"
0914001,鲜榨苹果汁,杯,RMB,20.00,1.0,20.00
0914002,鲜榨哈蜜瓜汁,杯,RMB,20.00,2.0,40.00
0914004,鲜榨西瓜汁,杯,RMB,20.00,8.0,160.00
0914004,鲜榨西瓜汁,渣,RMB,98.00,2.0,196.00
0914006,鲜榨木瓜汁,杯,RMB,20.00,1.0,20.00
0914006,鲜榨木瓜汁,渣,RMB,98.00,4.0,392.00
0914010,水果（送）,位,RMB,0.00,"1,109.0",0.00
0914012,餐前水果（送）,位,RMB,0.00,14.0,0.00
0914015,鲜榨新奇士橙汁,杯,RMB,20.00,17.0,340.00
0914015,鲜榨新奇士橙汁,渣,RMB,118.00,14.0,"1,652.00"
0914016,杏仁汁,杯,RMB,35.00,6.0,210.00
0914016,杏仁汁,渣,RMB,138.00,53.0,"7,314.00"
0914019,柠檬,个,RMB,10.00,2.0,20.00
0914020,VIP水果（送）,位,RMB,0.00,"1,844.0",0.00
0915002,苏打水,罐,RMB,13.00,42.0,546.00
0915004,可乐,罐,RMB,13.00,18.0,234.00
0915005,大芙丝水,支,RMB,68.00,2.0,136.00
0915007,小芙丝水,支,RMB,30.00,15.0,450.00
0915008,意大利大普娜水（750ml）,支,RMB,38.00,38.0,"1,444.00"
0915009,意大利圣培露（柠檬汁）,瓶,RMB,25.00,5.0,125.00
0915010,意大利圣培露（橙汁）,瓶,RMB,25.00,6.0,150.00
0917002,古希华2006年限量版,支,RMB,980.00,1.0,980.00
1001001,普通茶（散）,位,RMB,10.00,937.0,"9,370.00"
1001002,普通茶（厅）,位,RMB,12.00,860.0,"10,320.00"
1002003,什项A,份,RMB,10.00,1.0,10.00
1002003,什项A,份,RMB,58.00,1.0,58.00
1002003,什项A,份,RMB,200.00,1.0,200.00
1002003,什项A,份,RMB,370.00,1.0,370.00
1002004,自带茶叶,位,RMB,15.00,134.0,"2,010.00"
1002004,自带茶叶,位,RMB,18.00,3.0,54.00
