ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801004,雪菜黄鱼稻庭汤面,位,RMB,38.00,45.0,"1,710.00"
0801005,樱花虾葱油稻庭冷面,位,RMB,38.00,29.0,"1,102.00"
0801021,青柠檬稻庭冷面,位,RMB,38.00,8.0,304.00
0802001,人参灌汤包,半打,RMB,48.00,130.0,"6,240.00"
0802003,黄耳野菌饺,件,RMB,10.00,300.0,"3,000.00"
0802004,青芥石蚝卷,件,RMB,10.00,67.0,670.00
0802005,松茸莲藕酥,件,RMB,12.00,372.0,"4,464.00"
0802007,焦糖蜂巢糕,半打,RMB,30.00,7.0,210.00
0802012,松皮菜肉包,件,RMB,10.00,121.0,"1,210.00"
0802013,洛神花果冻,件,RMB,10.00,19.0,190.00
0802014,寿桃（大）,只,RMB,18.00,11.0,198.00
0802038,朱古力心太软,位,RMB,18.00,22.0,396.00
0802040,养生灵芝金瓜糕,位,RMB,20.00,2.0,40.00
0802042,意大利提拉米苏,位,RMB,20.00,50.0,"1,000.00"
0802043,欧式芝士蛋糕,位,RMB,26.00,2.0,52.00
0802044,美式芝士饼,位,RMB,22.00,18.0,396.00
0802046,法式焦糖炖蛋,位,RMB,16.00,27.0,432.00
0802047,传统姜撞奶,位,RMB,16.00,46.0,736.00
0802058,精选黑森林生日蛋糕(员工价）,磅,RMB,48.00,1.0,48.00
0802059,鲜水果忌廉生日蛋糕（员工价）,磅,RMB,48.00,9.0,432.00
0802066,焦糖布甸蛋糕,位,RMB,20.00,36.0,720.00
0802067,蒸点四式拼,份,RMB,48.00,23.0,"1,104.00"
0802068,美点三品拼,份,RMB,28.00,7.0,196.00
0802069,山药茯苓包,件,RMB,10.00,404.0,"4,040.00"
0803001,西藏甘草雪莲子,位,RMB,20.00,28.0,560.00
0803003,杨枝甘露,位,RMB,20.00,23.0,460.00
0803008,黑芝麻汤丸,位,RMB,16.00,42.0,672.00
0803016,百合莲子炖秋梨,位,RMB,38.00,6.0,228.00
0806005,焦糖蜂巢糕（中）,份,RMB,18.00,83.0,"1,494.00"
0806006,金瓜豆豉蒸排骨（特）,份,RMB,26.00,124.0,"3,224.00"
0806008,客家萝卜丝饺（中）,份,RMB,18.00,93.0,"1,674.00"
0806009,岭南猪脚姜（顶）,份,RMB,30.00,46.0,"1,380.00"
0806010,黑竹盐脆虾包（特）,份,RMB,26.00,55.0,"1,430.00"
0806011,黄瓜煎薄餐（小）,份,RMB,13.00,106.0,"1,378.00"
0806013,法式蛋挞（中）,份,RMB,18.00,65.0,"1,170.00"
0806014,金网青芥石蚝卷（中）,份,RMB,18.00,59.0,"1,062.00"
0806015,松皮菜肉包（中）,份,RMB,18.00,58.0,"1,044.00"
0806016,台南铁板煎萝卜糕（大）,份,RMB,22.00,122.0,"2,684.00"
0806017,咖喱芝心角（中）,份,RMB,18.00,23.0,414.00
0806019,黑松露蒸牛肉球（特）,份,RMB,26.00,63.0,"1,638.00"
0806020,香草酱皇蒸凤爪（大）,份,RMB,22.00,119.0,"2,618.00"
0806021,健康麻薯包（中）,份,RMB,18.00,58.0,"1,044.00"
0807001,黑松露素粉果（特）,份,RMB,26.00,110.0,"2,860.00"
0807002,松茸莲藕酥（顶）,份,RMB,30.00,145.0,"4,350.00"
0807003,蟹籽百灵菇烧卖（大）,份,RMB,22.00,71.0,"1,562.00"
0807004,补气鲜参灌汤包（特）,份,RMB,26.00,279.0,"7,254.00"
0807005,金兰花虾饺皇（特）,份,RMB,26.00,111.0,"2,886.00"
0808004,脆皮野菌肠（大）,份,RMB,22.00,51.0,"1,122.00"
0808005,原笼五仁杂粮饭（小）,份,RMB,13.00,40.0,520.00
0808013,名酱红米肠（小）,份,RMB,13.00,59.0,767.00
0809003,养生灵芝金瓜糕（小）,份,RMB,13.00,14.0,182.00
0809004,蛋白杏仁茶（中）,份,RMB,18.00,39.0,702.00
0809005,台湾绿茶蛋糕（中）,份,RMB,18.00,42.0,756.00
0809006,奶酪酸奶布丁（大）,份,RMB,22.00,22.0,484.00
0809007,洛神花果冻（中）,份,RMB,18.00,8.0,144.00
0899001,蜂巢糕,件,RMB,8.00,2.0,16.00
0899001,黑松露素粉果,件,RMB,10.00,12.0,120.00
0899001,人参灌汤包,件,RMB,8.00,25.0,200.00
0899001,朱古力盆栽,位,RMB,20.00,5.0,100.00
1201007,焦糖布甸蛋糕(11月套餐),位,RMB,10.38,188.0,"1,951.24"
1201012,焦糖布甸蛋糕。(11月套餐),份,RMB,38.32,40.0,"1,532.80"
0501091,忌廉瑶柱局秋茄,例,RMB,76.00,1.0,76.00
0801007,龙虾汤稻庭面,位,RMB,38.00,763.0,"28,994.00"
0808009,龙虾汤稻庭面（特）,份,RMB,26.00,73.0,"1,898.00"
1201097,龙虾汤稻庭面（套餐）,位,RMB,24.40,222.0,"5,416.86"
