ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801022,泰国香米饭,位,RMB,6.00,502.0,"3,012.00"
0912003,日本芥辣,支,RMB,20.00,8.0,160.00
0912004,樱花豉油,支,RMB,48.00,7.0,336.00
0801003,五彩杂粮饭,位,RMB,15.00,119.0,"1,785.00"
0101002,蒜子辣酱油,碟,RMB,10.00,12.0,120.00
0101002,蒜子辣酱油,瓶,RMB,40.00,2.0,80.00
0101002,蒜子辣酱油,碗,RMB,15.00,10.0,150.00
0101007,日本樱花虾酱,碟,RMB,20.00,6.0,120.00
0101008,泰椒豉油,碗,RMB,10.00,9.0,90.00
0101011,瑶柱好味酱,碟,RMB,20.00,3.0,60.00
0101012,徐博馆香葱酱,碟,RMB,10.00,1.0,10.00
0101015,四宝小食（大厅）,份,RMB,30.00,17.0,510.00
0101019,VIP房四宝小食,份,RMB,40.00,354.0,"14,160.00"
0101019,VIP房四宝小食,份,RMB,48.00,1.0,48.00
0199001,55头关东刺参,斤,RMB,"9,000.00",0.5,"4,500.00"
0199001,安康鱼肝炒饭,例,RMB,58.00,1.0,58.00
0199001,白粥,例,RMB,20.00,1.0,20.00
0199001,白粥,例,RMB,40.00,2.0,80.00
0199001,白粥,例,RMB,48.00,1.0,48.00
0199001,白灼露笋,例,RMB,88.00,1.0,88.00
0199001,百合炒藕片,例,RMB,88.00,1.0,88.00
0199001,鲍汁扣鹿筋,位,RMB,128.00,2.0,256.00
0199001,鲍汁扣鲨鱼裙,位,RMB,138.00,7.0,966.00
0199001,鲍汁扣山瑞裙,位,RMB,138.00,5.0,690.00
0199001,鲍汁扣水鱼裙,位,RMB,168.00,8.0,"1,344.00"
0199001,菜心粒炒饭,例,RMB,58.00,5.0,290.00
0199001,菜心粒滚粥,中,RMB,96.00,1.0,96.00
0199001,菜心粒粥,例,RMB,48.00,1.0,48.00
0199001,菜心粒粥,中,RMB,116.00,2.0,232.00
0199001,葱烧汁捞粗面,中,RMB,96.00,1.0,96.00
0199001,粗面,例,RMB,48.00,1.0,48.00
0199001,醋拌洋葱丝,份,RMB,28.00,1.0,28.00
0199001,蛋炒饭,例,RMB,58.00,1.0,58.00
0199001,杜仲苁蓉炖珍珠鸡,例,RMB,188.00,1.0,188.00
0199001,杜仲苁蓉炖珍珠鸡,例,RMB,228.00,1.0,228.00
0199001,杜仲苁蓉炖珍珠鸡,中,RMB,456.00,1.0,456.00
0199001,鹅肝粒炒饭,例,RMB,78.00,1.0,78.00
0199001,猴枣川贝水,位,RMB,180.00,1.0,180.00
0199001,淮山木耳炒土猪肉,例,RMB,68.00,1.0,68.00
0199001,鸡汤珍菌煲,例,RMB,78.00,1.0,78.00
0199001,姬松茸菌炒带子,例,RMB,198.00,1.0,198.00
0199001,姜葱捞粗面,例,RMB,58.00,2.0,116.00
0199001,姜葱捞粗面,中,RMB,116.00,1.0,116.00
0199001,姜粒葱炒饭,例,RMB,58.00,1.0,58.00
0199001,莲藕土猪肉煲,例,RMB,78.00,1.0,78.00
0199001,凉菜叁拼,位,RMB,28.00,14.0,392.00
0199001,鹿筋扣墨西哥鲍鱼,位,RMB,168.00,5.0,840.00
0199001,鹿筋扣墨西哥吉品鲍,位,RMB,168.00,13.0,"2,184.00"
0199001,萝卜羊腩,例,RMB,168.00,1.0,168.00
0199001,玛卡炖西蒙羊腿,位,RMB,128.00,5.0,640.00
0199001,木耳西芹炒土猪肉,例,RMB,78.00,1.0,78.00
0199001,农家土猪肉,位,RMB,38.00,11.0,418.00
0199001,浓鸡汤胜瓜,中,RMB,116.00,1.0,116.00
0199001,清炒露笋,例,RMB,78.00,1.0,78.00
0199001,清炖羊肚菌,位,RMB,128.00,2.0,256.00
0199001,清水菜远稻庭面,位,RMB,38.00,1.0,38.00
0199001,清水稻庭面,位,RMB,38.00,4.0,152.00
0199001,清汤菜远稻庭面,位,RMB,38.00,1.0,38.00
0199001,清汤稻庭面,位,RMB,38.00,8.0,304.00
0199001,泉水炖羊肚菌,位,RMB,128.00,2.0,256.00
0199001,泉水清炖羊肚菌,位,RMB,128.00,1.0,128.00
0199001,上汤竹笙春菜苗,例,RMB,88.00,1.0,88.00
