ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0202001,六味岩燕盏,位,RMB,380.00,11.0,"4,180.00"
0202005,津梨炖岩燕盏,位,RMB,180.00,25.0,"4,500.00"
0202005,津梨炖岩燕盏,位,RMB,228.00,1.0,228.00
1201207,椰皇炖官燕（组合）,位,RMB,47.00,4.0,188.00
0205001,法国金兰花烩鲍翅皇,位,RMB,480.00,11.0,"5,280.00"
0205002,鲍汁荷香海虎翅,位,RMB,680.00,16.0,"10,880.00"
0302001,三支虫草巴戟炖花胶,位,RMB,580.00,14.0,"8,120.00"
0201315,日本岩手吉品鲍15头（6折特惠价）,位,RMB,768.00,20.0,"15,360.00"
0201316,日本岩手吉品鲍25头（6折特惠价）,位,RMB,408.00,1.0,408.00
0201317,日本岩手吉品鲍20头（6折特惠价）,位,RMB,528.00,19.0,"10,032.00"
0201318,日本制南非20头吉品鲍（6折特惠价）,位,RMB,288.00,9.0,"2,592.00"
1201206,日本3头岩手大网鲍扒烟薰姬松茸菌配汤（组合）,位,RMB,"1,833.00",4.0,"7,332.00"
