ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0301017,羊肚菌炖娃娃鱼骨汤,位,RMB,148.00,16.0,"2,368.00"
0301001,玛卡绅士强身汤,位,RMB,268.00,125.0,"33,500.00"
0301004,石斛灵芝炖地龙,位,RMB,138.00,149.0,"20,562.00"
0301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,42.0,"9,576.00"
0301006,猴枣炖野山龟,位,RMB,198.00,24.0,"4,752.00"
0301007,海胆刺芹汤,位,RMB,68.00,124.0,"8,432.00"
0301022,羊肚菌炖花胶,位,RMB,268.00,83.0,"22,244.00"
0301024,羊肚菌炖原条辽参,位,RMB,298.00,16.0,"4,768.00"
0301029,羊肚菌炖鳘肚公,位,RMB,518.00,5.0,"2,590.00"
0301030,日本昆布炖野生刺参,位,RMB,128.00,69.0,"8,832.00"
0301038,陈皮莲子炖水鸭,例,RMB,188.00,67.0,"12,596.00"
0301038,陈皮莲子炖水鸭,例,RMB,228.00,3.0,684.00
0301039,昆布炖花胶,位,RMB,68.00,257.0,"17,476.00"
0301039,昆布炖花胶,位,RMB,88.00,7.0,616.00
0301041,鲜肉苁蓉炖飞天鸟,位,RMB,138.00,16.0,"2,208.00"
0301045,羊肚菌炖鳘肚公汤（特惠价）,位,RMB,268.00,31.0,"8,308.00"
0301049,青榄椰皇炖鹧鸪,位,RMB,128.00,202.0,"25,856.00"
0301050,椰皇杞子炖鲨鱼胶,位,RMB,58.00,47.0,"2,726.00"
0301051,鲜天麻炖水鸭,位,RMB,48.00,35.0,"1,680.00"
0301052,十年黄精熟地炖鹿鞭,位,RMB,158.00,24.0,"3,792.00"
0301053,当归白术红枣炖水鱼裙,位,RMB,168.00,23.0,"3,864.00"
