ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
102001,风味汁大花螺,份,RMB,88.00,19.0,"1,672.00"
102002,洋葱小木耳,份,RMB,28.00,92.0,"2,576.00"
102003,意大利黑醋拌海蜇,份,RMB,88.00,21.0,"1,848.00"
102004,蓝莓鹅肝三文鱼塔,份,RMB,88.00,28.0,"2,464.00"
102006,虫草花素鲍卷,份,RMB,48.00,32.0,"1,536.00"
102007,麻酱万年青,份,RMB,38.00,125.0,"4,750.00"
102009,巴马臣芝士拌童子菜苗,份,RMB,28.00,2.0,56.00
102011,香醋花生配五香黑豆,份,RMB,28.00,38.0,"1,064.00"
102012,骨胶原东海黄鱼冻,份,RMB,48.00,1.0,48.00
102013,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,19.0,"1,672.00"
102024,吞拿鱼腩,件,RMB,70.00,6.0,420.00
102028,拍青瓜,份,RMB,28.00,17.0,476.00
102029,炸花生,份,RMB,28.00,17.0,476.00
102036,开胃泡椒鸭舌,份,RMB,58.00,52.0,"3,016.00"
102038,青苹果煎西班牙乳猪,份,RMB,78.00,41.0,"3,198.00"
102042,翠豆拌蚌仔,份,RMB,78.00,28.0,"2,184.00"
102043,桂花糯米藕,份,RMB,38.00,62.0,"2,356.00"
102044,蓝梅山药泥,份,RMB,48.00,1.0,48.00
102045,外婆醉鱼,份,RMB,68.00,2.0,136.00
102049,烟薰素鹅卷,份,RMB,48.00,16.0,768.00
102051,水晶鸭舌,份,RMB,58.00,14.0,812.00
1201039,珍品凉菜三拼（2月套餐）,份,RMB,52.99,14.0,741.86
1201099,馆藏本草凉菜B（套餐）,位,RMB,73.89,202.0,"14,897.59"
1201166,珍品凉菜双拼B（套餐10月）,份,RMB,25.89,50.0,"1,294.50"
