ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
401001,火山石窝龙趸扒,位,RMB,98.00,132.0,"12,936.00"
401002,法式香草煎龙虾扒,位,RMB,168.00,17.0,"2,856.00"
401007,美国燕麦局大连鲍,位,RMB,88.00,11.0,968.00
401008,脆烧星斑扒,位,RMB,138.00,217.0,"29,946.00"
401014,低温白雪龙虾仔,位,RMB,128.00,12.0,"1,536.00"
401017,咸柠檬灼鲜鲍,位,RMB,108.00,31.0,"3,348.00"
401018,金柚手撕龙虾,位,RMB,168.00,140.0,"23,520.00"
401019,火山石烧星斑头腩,位,RMB,128.00,50.0,"6,400.00"
501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,2.0,336.00
1201005,岩米煮脆皮东星（1月套餐）,位,RMB,148.97,8.0,"1,191.77"
1201033,法式龙虾扒（2月套餐）,位,RMB,119.59,24.0,"2,870.01"
1201040,泡椒石板野生龙趸（2月套餐）,例,RMB,158.98,14.0,"2,225.72"
1201170,泡椒石板龙趸（套餐）,份,RMB,147.40,19.0,"2,800.60"
301002,红景天沙虫干炖星斑腩,例,RMB,180.00,13.0,"2,340.00"
301003,百岁草炖珍珠鲍鱼,位,RMB,180.00,93.0,"16,740.00"
601002,老鼠班,斤,RMB,498.00,1.1,547.80
601003,东星斑,斤,RMB,538.00,26.9,"14,472.20"
601003,东星斑,斤,RMB,598.00,3.3,"1,973.40"
601003,东星斑,斤,RMB,638.00,14.0,"8,932.00"
601007,老虎斑,斤,RMB,168.00,25.4,"4,267.20"
601022,蓝东星,斤,RMB,188.00,3.0,564.00
602003,龙虾仔,斤,RMB,438.00,9.6,"4,204.80"
602006,斑马虾,斤,RMB,368.00,7.0,"2,576.00"
602008,大虾皇,斤,RMB,350.00,1.0,350.00
602010,大红节虾,斤,RMB,350.00,2.6,910.00
603001,象拔蚌,斤,RMB,438.00,56.5,"24,747.00"
603001,象拔蚌,斤,RMB,538.00,14.1,"7,585.80"
603004,南非野生鲍,斤,RMB,500.00,10.2,"5,100.00"
603008,7头大连鲍,斤,RMB,168.00,8.5,"1,428.00"
603009,元贝,斤,RMB,88.00,26.6,"2,340.80"
603009,元贝,斤,RMB,130.00,9.8,"1,274.00"
1201023,老虎斑(12套餐),条,RMB,130.00,39.0,"5,070.00"
401015,泡椒私房焖龙趸,例,RMB,168.00,20.0,"3,360.00"
605001,开刀东星肉,斤,RMB,468.00,1.5,702.00
605002,开刀东星头腩,斤,RMB,328.00,2.0,656.00
605002,开刀东星头腩,斤,RMB,438.00,4.8,"2,102.40"
605003,开刀苏眉咀,斤,RMB,880.00,3.5,"3,080.00"
605004,开刀苏眉肉,斤,RMB,800.00,10.6,"8,480.00"
605005,开刀苏眉头腩,斤,RMB,800.00,10.4,"8,320.00"
605006,开刀龙趸,斤,RMB,198.00,23.7,"4,692.60"
1201004,木鱼汁煎安康鱼肝（1月套餐）,位,RMB,79.05,8.0,632.37
1201168,沙虫干红景天炖星斑（套餐）,份,RMB,118.51,19.0,"2,251.69"
