ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
401003,铁板低温和牛肉配味黄瓜,位,RMB,98.00,445.0,"43,610.00"
401010,木鱼汁香煎法国鹅肝,位,RMB,168.00,32.0,"5,376.00"
401011,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,23.0,"2,024.00"
402001,黑竹盐极品牛肉,位,RMB,280.00,179.0,"50,120.00"
402002,本草汤灼极品牛肉,位,RMB,198.00,7.0,"1,386.00"
402002,本草汤灼极品牛肉,位,RMB,280.00,11.0,"3,080.00"
402003,日本黑竹盐烧和牛膜,位,RMB,338.00,13.0,"4,394.00"
402005,野米煮龙趸皮,位,RMB,168.00,39.0,"6,552.00"
402006,五谷南瓜盅,位,RMB,48.00,228.0,"10,944.00"
402010,温泉蛋脆皮雪花牛肉,位,RMB,280.00,130.0,"36,400.00"
402012,孜然羊膝,位,RMB,78.00,44.0,"3,432.00"
402013,鲜鹿蹄筋焖鲨鱼裙,位,RMB,128.00,37.0,"4,736.00"
402016,日本木鱼汤浸鲨鱼裙,位,RMB,68.00,3.0,204.00
402028,黑松露吞拿鱼腩,位,RMB,128.00,9.0,"1,152.00"
402033,木鱼汁香煎安康鱼肝,位,RMB,180.00,6.0,"1,080.00"
402044,酒烧台湾野生乌鱼籽,位,RMB,68.00,3.0,204.00
402047,鱼籽酱焖野生刺参,位,RMB,128.00,6.0,768.00
402050,黑菌慢煮野生笋壳配露笋汁,位,RMB,78.00,69.0,"5,382.00"
402051,鲜茄汤烩海胆蟹钳,位,RMB,88.00,12.0,"1,056.00"
402053,夏日鲜茄局鲜莲,位,RMB,68.00,9.0,612.00
402055,香煎淮山炒带子,例,RMB,160.00,14.0,"2,240.00"
402057,什菌汁煎帆立贝,位,RMB,78.00,34.0,"2,652.00"
402058,低温三文鱼紫菜煎,位,RMB,68.00,65.0,"4,420.00"
402059,木鱼汤鲜赤贝烧冬笋,位,RMB,78.00,1.0,78.00
402060,紫淮山汁煮澳洲鲍片,位,RMB,198.00,3.0,594.00
402061,鲜鱼汤浸西施鱼腐,位,RMB,68.00,10.0,680.00
402064,海盐烧局澳洲生蚝,位,RMB,68.00,35.0,"2,380.00"
402065,西汁红枣煎低温羊排,位,RMB,98.00,7.0,686.00
402067,日本翡翠黄金冻鲍（推广价）,只,RMB,88.00,25.0,"2,200.00"
402083,西班牙火腿片,位,RMB,88.00,2.0,176.00
