ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
801002,日本鱼沼米饭,位,RMB,10.00,427.0,"4,270.00"
912003,日本芥辣,支,RMB,20.00,6.0,120.00
912004,樱花豉油,支,RMB,48.00,4.0,192.00
101001,青椒圈豉油,碟,RMB,5.00,1.0,5.00
101001,青椒圈豉油,碗,RMB,8.00,1.0,8.00
101002,蒜子辣酱油,碟,RMB,10.00,28.0,280.00
101002,蒜子辣酱油,瓶,RMB,40.00,12.0,480.00
101002,蒜子辣酱油,碗,RMB,15.00,5.0,75.00
101007,日本樱花虾酱,碟,RMB,20.00,3.0,60.00
101007,日本樱花虾酱,瓶,RMB,90.00,6.0,540.00
101008,泰椒豉油,碗,RMB,10.00,1.0,10.00
101011,瑶柱好味酱,碟,RMB,20.00,1.0,20.00
101011,瑶柱好味酱,瓶,RMB,80.00,6.0,480.00
101012,徐博馆香葱酱,瓶,RMB,30.00,6.0,180.00
101015,四宝小食（大厅）,份,RMB,30.00,5.0,150.00
101019,VIP房四宝小食,份,RMB,40.00,308.0,"12,320.00"
199001,白粥,例,RMB,30.00,1.0,30.00
199001,白灼露笋,例,RMB,88.00,1.0,88.00
199001,白灼芦笋,例,RMB,88.00,1.0,88.00
199001,白灼土猪肉,大,RMB,294.00,1.0,294.00
199001,煲淋土猪肉奶白菜仔,例,RMB,88.00,1.0,88.00
199001,菜心粒蛋白炒饭,例,RMB,58.00,1.0,58.00
199001,虫草花蒸鸡,只,RMB,198.00,2.0,396.00
199001,葱烧粗面,例,RMB,48.00,1.0,48.00
199001,脆皮鸡,只,RMB,198.00,4.0,792.00
199001,东北米白粥,例,RMB,30.00,1.0,30.00
199001,冬菇扒生菜,例,RMB,88.00,1.0,88.00
199001,冻鹅肝,位,RMB,88.00,10.0,880.00
199001,豆豉炒凉瓜,例,RMB,68.00,1.0,68.00
199001,豆豉蒜头樱花虾炒自带芥菜粒,份,RMB,48.00,1.0,48.00
199001,鹅肝粒炒饭,例,RMB,68.00,1.0,68.00
199001,番茄炒鸡蛋,中,RMB,136.00,1.0,136.00
199001,番茄鸡蛋汤,位,RMB,38.00,1.0,38.00
199001,干炒牛河,大,RMB,204.00,1.0,204.00
199001,干烧珍菌,例,RMB,88.00,1.0,88.00
199001,高脚菜心炒土猪肉,例,RMB,78.00,1.0,78.00
199001,黑蒜,只,RMB,28.00,2.0,56.00
199001,红烧羊肚菌,位,RMB,128.00,2.0,256.00
199001,红枣,例,RMB,38.00,1.0,38.00
199001,虎皮尖椒,例,RMB,68.00,2.0,136.00
199001,花生焖猪手,大,RMB,294.00,1.0,294.00
199001,凉拌番茄,份,RMB,38.00,4.0,152.00
199001,凉菜拼盘,位,RMB,28.00,4.0,112.00
199001,凉瓜炒蛋,例,RMB,68.00,1.0,68.00
199001,露笋炒土猪肉,例,RMB,88.00,1.0,88.00
199001,鹿茸炖瘦肉,位,RMB,180.00,1.0,180.00
199001,鹿茸肉汁汤,位,RMB,180.00,1.0,180.00
199001,路边鸽,只,RMB,68.00,5.0,340.00
199001,焖斑腩饭,份,RMB,48.00,1.0,48.00
199001,木耳炒淮山,位,RMB,28.00,1.0,28.00
199001,牛肉粒炒饭,例,RMB,68.00,1.0,68.00
199001,拍蒜炒高脚菜心远,例,RMB,88.00,1.0,88.00
199001,拍蒜炒红菜苔,位,RMB,28.00,9.0,252.00
199001,拍蒜炒生菜梗,位,RMB,28.00,4.0,112.00
199001,拍蒜炒紫菜苔,例,RMB,68.00,3.0,204.00
199001,青榄炖鳄鱼,位,RMB,128.00,1.0,128.00
199001,清汤菜远稻庭面,位,RMB,38.00,1.0,38.00
199001,珊瑚菌炒土猪肉,例,RMB,88.00,1.0,88.00
199001,珊瑚菌荷兰豆炒土猪肉,中,RMB,176.00,2.0,352.00
199001,珊瑚菌兰豆炒土猪肉,中,RMB,176.00,1.0,176.00
199001,上汤生菜,例,RMB,68.00,1.0,68.00
199001,上汤生菜梗,例,RMB,68.00,1.0,68.00
199001,烧鹅,半只,RMB,180.00,1.0,180.00
199001,烧鹅,只,RMB,360.00,1.0,360.00
199001,石斛炖肉汁,位,RMB,180.00,3.0,540.00
199001,石斛灵芝炖瘦肉,位,RMB,138.00,1.0,138.00
199001,泰椒豉油,碗,RMB,10.00,2.0,20.00
199001,五谷野米煮淮山,位,RMB,48.00,13.0,624.00
199001,西芹百合炒淮山,大,RMB,264.00,1.0,264.00
199001,西芹百合炒淮山,例,RMB,88.00,1.0,88.00
199001,西芹百合淮山,例,RMB,78.00,1.0,78.00
199001,西芹百合淮山,例,RMB,88.00,1.0,88.00
199001,西芹百合淮山,位,RMB,38.00,1.0,38.00
199001,西芹百合淮山,中,RMB,176.00,2.0,352.00
199001,西芹炒土猪肉,中,RMB,176.00,1.0,176.00
199001,咸鱼鸡粒炒饭,例,RMB,58.00,1.0,58.00
199001,香煎斑球,位,RMB,68.00,1.0,68.00
199001,香煎飞弹牛肉,位,RMB,468.00,6.0,"2,808.00"
199001,羊肚菌炖瘦肉,位,RMB,128.00,6.0,768.00
199001,野米煮淮山,位,RMB,48.00,36.0,"1,728.00"
199001,野米煮淮山,中,RMB,180.00,1.0,180.00
199001,野竹笙烩豆腐,位,RMB,38.00,1.0,38.00
199001,依云水糯米粥,位,RMB,38.00,2.0,76.00
199001,樱花虾炒生菜梗,例,RMB,68.00,2.0,136.00
199001,樱花虾炒生菜梗,例,RMB,78.00,1.0,78.00
199001,樱花虾炒生菜梗,位,RMB,38.00,32.0,"1,216.00"
199001,樱花虾炒生菜梗,中,RMB,136.00,2.0,272.00
199001,珍菌煎西班牙火腿,位,RMB,128.00,22.0,"2,816.00"
199001,珍菌煎西班牙火腿片,位,RMB,128.00,13.0,"1,664.00"
199001,芝士粒,碟,RMB,38.00,1.0,38.00
199001,自带金枪鱼刺身加工费,份,RMB,200.00,1.0,200.00
199002,京葱爆海参,中,RMB,596.00,2.0,"1,192.00"
199002,堂灼窝底,个,RMB,40.00,1.0,40.00
203001,柚子汁北海道刺参,位,RMB,298.00,49.0,"14,602.00"
203002,京葱烧日本北海道60头刺参,位,RMB,298.00,176.0,"52,448.00"
203003,金瓜五谷烩关西刺参,位,RMB,128.00,39.0,"4,992.00"
203003,金瓜五谷烩关西刺参,位,RMB,168.00,5.0,840.00
203003,金瓜五谷烩关西刺参,位,RMB,198.00,5.0,990.00
204001,金兰花汁扣三头印度鳘肚公,位,RMB,980.00,4.0,"3,920.00"
204002,鲍汁烩花胶公,位,RMB,380.00,24.0,"9,120.00"
204003,金兰花汁烩龙趸皮,位,RMB,388.00,27.0,"10,476.00"
204007,五谷烩花胶粒,位,RMB,128.00,11.0,"1,408.00"
501001,松子仁黄豆炒拆骨猪手,例,RMB,68.00,13.0,884.00
501002,青苹果黑蒜澳洲牛肉粒,例,RMB,128.00,21.0,"2,688.00"
501007,人参果焖走地鸡,例,RMB,88.00,9.0,792.00
501009,酸汤浸肥牛,例,RMB,88.00,8.0,704.00
501010,灵芝蒸乳鸽,例,RMB,88.00,5.0,440.00
501011,紫姜砂窝牛仔骨,例,RMB,128.00,56.0,"7,168.00"
501012,砂窝者鱼卜田鸡,例,RMB,78.00,28.0,"2,184.00"
501013,冬笋炒樱花猪肉,例,RMB,88.00,8.0,704.00
501014,五谷烩大连鲍,例,RMB,88.00,15.0,"1,320.00"
501015,栗子焖排骨沙鱼胶,例,RMB,88.00,20.0,"1,760.00"
501016,紫薯福果泡多宝鱼球,例,RMB,88.00,9.0,792.00
501017,虎皮尖椒炒土猪肉,例,RMB,68.00,27.0,"1,836.00"
501018,紫苏豆角炒茄条,例,RMB,68.00,14.0,952.00
501019,美国岩米煮雪鱼丸,例,RMB,238.00,1.0,238.00
501020,珍菌炒鹅肝粒,例,RMB,98.00,31.0,"3,038.00"
501020,珍菌炒鹅肝粒,中,RMB,196.00,2.0,392.00
501021,蚝市扣猪脷,例,RMB,158.00,16.0,"2,528.00"
501022,野竹笙扒红烧豆腐,例,RMB,68.00,7.0,476.00
501023,农家炒土猪肉,例,RMB,68.00,96.0,"6,528.00"
501024,石板酸菜自制豆腐,例,RMB,68.00,96.0,"6,528.00"
501036,蟹黄蟹肉兰度,例,RMB,138.00,12.0,"1,656.00"
501036,蟹黄蟹肉兰度,位,RMB,60.00,10.0,600.00
501040,珊瑚菌炒雪花牛肉,例,RMB,230.00,1.0,230.00
501041,喜之次鱼,斤,RMB,680.00,64.8,"44,064.00"
501059,鲜胡椒石窝茄子,例,RMB,58.00,74.0,"4,292.00"
501063,香芋茨实南瓜煲,例,RMB,68.00,34.0,"2,312.00"
501065,双葱黑椒爆黑豚肉,例,RMB,88.00,12.0,"1,056.00"
501069,荷塘炒角螺片,例,RMB,168.00,9.0,"1,512.00"
501073,韩式石窝肥牛,例,RMB,98.00,3.0,294.00
501079,鲜人参沙白浸桑果鸡,例,RMB,138.00,69.0,"9,522.00"
501081,砂窝生局野生笋壳鱼件,例,RMB,148.00,35.0,"5,180.00"
501139,羔蟹清焖鲨鱼胶煲,例,RMB,288.00,5.0,"1,440.00"
701004,芥兰,例,RMB,58.00,1.0,58.00
701004,芥兰,位,RMB,28.00,7.0,196.00
701005,西兰花,例,RMB,58.00,1.0,58.00
701006,奶白菜,例,RMB,68.00,6.0,408.00
701006,奶白菜,位,RMB,28.00,7.0,196.00
701008,春菜苗,例,RMB,58.00,3.0,174.00
701012,菜心,例,RMB,58.00,13.0,754.00
701012,菜心,位,RMB,28.00,11.0,308.00
701019,高脚菜心,例,RMB,68.00,138.0,"9,384.00"
701019,高脚菜心,例,RMB,78.00,1.0,78.00
701019,高脚菜心,位,RMB,28.00,414.0,"11,592.00"
701019,高脚菜心,位,RMB,38.00,7.0,266.00
701020,豆苗,例,RMB,68.00,52.0,"3,536.00"
701020,豆苗,例,RMB,78.00,1.0,78.00
701020,豆苗,位,RMB,28.00,105.0,"2,940.00"
701023,大芥菜,例,RMB,68.00,18.0,"1,224.00"
701023,大芥菜,位,RMB,28.00,190.0,"5,320.00"
701031,奶白菜仔,例,RMB,68.00,2.0,136.00
701031,奶白菜仔,位,RMB,28.00,23.0,644.00
701033,川红花浸菜苗,例,RMB,58.00,12.0,696.00
701033,川红花浸菜苗,位,RMB,28.00,37.0,"1,036.00"
701034,灵芝孢子浸时蔬,例,RMB,68.00,12.0,816.00
701034,灵芝孢子浸时蔬,位,RMB,28.00,8.0,224.00
701035,皇帝菜,例,RMB,68.00,8.0,544.00
701035,皇帝菜,位,RMB,28.00,74.0,"2,072.00"
701036,红菜苔,例,RMB,68.00,12.0,816.00
701036,红菜苔,位,RMB,28.00,13.0,364.00
701037,生菜,例,RMB,68.00,2.0,136.00
801001,日本鱼沼米生滚粥,例,RMB,98.00,4.0,392.00
801001,日本鱼沼米生滚粥,位,RMB,30.00,52.0,"1,560.00"
801006,白粥,碗,RMB,8.00,4.0,32.00
801006,白粥,碗,RMB,18.00,1.0,18.00
801008,鱼沼米海鲜泡饭,位,RMB,28.00,120.0,"3,360.00"
801009,栗子茸腊味炒饭,位,RMB,38.00,74.0,"2,812.00"
801015,樱花虾安康鱼肝炒饭,位,RMB,38.00,1.0,38.00
801019,瑶柱蛋白炒饭,例,RMB,58.00,13.0,754.00
806001,海苔琵琶豆腐丸（大）,份,RMB,22.00,70.0,"1,540.00"
806002,阿胶红枣鸡脚（特）,份,RMB,26.00,39.0,"1,014.00"
806003,咖喱春卷鲜虾丸（顶）,份,RMB,30.00,19.0,570.00
806003,咖喱春卷鲜虾丸（顶）,份,RMB,31.00,1.0,31.00
806004,牛蒡焖金钱肚（大）,份,RMB,22.00,62.0,"1,364.00"
806007,山药黑椒牛仔骨（顶）,份,RMB,30.00,54.0,"1,620.00"
806012,酥脆鲜虾卷（顶）,份,RMB,30.00,12.0,360.00
806022,野竹笙浸鲜蔬苗（中）,份,RMB,18.00,132.0,"2,376.00"
807006,疍家鱼生粥（大）,份,RMB,22.00,50.0,"1,100.00"
808001,昆布炖花胶,位,RMB,68.00,120.0,"8,160.00"
808002,桑螵蛸淮杞炖走地鸡,位,RMB,48.00,30.0,"1,440.00"
808003,葱烧汁捞粗面（大）,份,RMB,22.00,68.0,"1,496.00"
808006,依云水鱼沼米粥（大）,份,RMB,22.00,10.0,220.00
808007,瑶柱银杏粥（特）,份,RMB,26.00,28.0,728.00
808010,金酱者猪肠粉（大）,份,RMB,22.00,44.0,968.00
808011,鹅肝粒炒饭（顶）,份,RMB,30.00,34.0,"1,020.00"
1201001,日本翡翠黄金冻鲍（1月套餐）,位,RMB,131.74,75.0,"9,880.75"
1201002,鹿茸炖肉汁（1月套餐）,位,RMB,68.91,75.0,"5,168.39"
1201003,烧珍菌和牛隔膜（1月套餐）,位,RMB,202.69,75.0,"15,201.26"
1201006,鸡汤浸时蔬（1月套餐）,位,RMB,20.27,75.0,"1,520.11"
1201022,黑椒双葱爆黑豚肉（12套餐）,例,RMB,68.00,51.0,"3,468.00"
1201031,石窝紫姜牛仔骨(12套餐),份,RMB,66.73,58.0,"3,870.33"
1201050,鲜肉枞蓉炖飞天鸟(12套餐),位,RMB,116.28,367.0,"42,674.29"
1201101,鱼籽肉酱烩刺参（套餐）,位,RMB,100.47,367.0,"36,870.84"
