ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
804001,锦鲤年糕,盒,RMB,168.00,60.0,"10,080.00"
804002,年糕礼盒,盒,RMB,338.00,50.0,"16,900.00"
804003,燕窝年糕,盒,RMB,128.00,12.0,"1,536.00"
804004,瑶柱萝卜糕,盒,RMB,88.00,22.0,"1,936.00"
804005,桂林马蹄糕,盒,RMB,88.00,7.0,616.00
804006,五香芋头糕,盒,RMB,88.00,13.0,"1,144.00"
804007,红豆杞子桂花糕,盒,RMB,68.00,1.0,68.00
804008,抹茶红豆糕,盒,RMB,68.00,2.0,136.00
804010,燕窝年糕（券）,盒,RMB,128.00,5.0,640.00
804011,瑶柱萝卜糕（券）,盒,RMB,88.00,7.0,616.00
804013,五香芋头糕（券）,盒,RMB,88.00,2.0,176.00
804014,红豆杞子桂花糕（券）,盒,RMB,68.00,2.0,136.00
