ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
401001,火山石窝龙趸扒,位,RMB,98.00,324.0,"31,752.00"
401002,法式香草煎龙虾扒,位,RMB,168.00,1.0,168.00
401007,美国燕麦局大连鲍,位,RMB,88.00,28.0,"2,464.00"
401007,美国燕麦局大连鲍,位,RMB,128.00,4.0,512.00
401008,脆烧星斑扒,位,RMB,138.00,183.0,"25,254.00"
401014,低温白雪龙虾仔,位,RMB,128.00,1.0,128.00
401017,咸柠檬灼鲜鲍,位,RMB,108.00,37.0,"3,996.00"
401018,金柚手撕龙虾,位,RMB,138.00,222.0,"30,636.00"
401019,火山石烧星斑头腩,位,RMB,128.00,69.0,"8,832.00"
501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,5.0,840.00
1201005,岩米煮脆皮东星（1月套餐）,位,RMB,148.97,75.0,"11,172.89"
1201170,泡椒石板龙趸（套餐）,份,RMB,147.40,58.0,"8,549.19"
606001,娃娃鱼,斤,RMB,"1,080.00",4.0,"4,320.00"
601003,东星斑,斤,RMB,598.00,32.1,"19,195.80"
601004,红玫瑰,斤,RMB,480.00,8.3,"3,984.00"
601007,老虎斑,斤,RMB,168.00,27.5,"4,620.00"
601008,笋壳鱼,斤,RMB,118.00,3.5,413.00
601009,大东星斑,斤,RMB,368.00,6.5,"2,392.00"
602001,花龙虾,斤,RMB,598.00,21.2,"12,677.60"
602003,龙虾仔,斤,RMB,438.00,20.4,"8,935.20"
602007,竹节虾,斤,RMB,240.00,2.0,480.00
602008,大虾皇,斤,RMB,350.00,10.8,"3,780.00"
602009,沙虾,斤,RMB,98.00,2.0,196.00
603001,象拔蚌,斤,RMB,438.00,5.1,"2,233.80"
603001,象拔蚌,斤,RMB,480.00,8.5,"4,080.00"
603001,象拔蚌,斤,RMB,538.00,50.1,"26,953.80"
603004,南非野生鲍,斤,RMB,500.00,87.5,"43,750.00"
1201023,老虎斑(12套餐),条,RMB,130.00,51.0,"6,630.00"
401015,泡椒私房焖龙趸,例,RMB,168.00,16.0,"2,688.00"
605006,开刀龙趸,斤,RMB,198.00,19.5,"3,861.00"
1201004,木鱼汁煎安康鱼肝（1月套餐）,位,RMB,79.05,75.0,"5,928.43"
1201168,沙虫干红景天炖星斑（套餐）,份,RMB,118.51,58.0,"6,873.59"
