ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
301002,红景天沙虫干炖星斑腩,例,RMB,180.00,4.0,720.00
301003,百岁草炖珍珠鲍鱼,位,RMB,180.00,188.0,"33,840.00"
301017,羊肚菌炖娃娃鱼骨汤,位,RMB,180.00,15.0,"2,700.00"
301001,玛卡绅士强身汤,位,RMB,268.00,30.0,"8,040.00"
301004,石斛灵芝炖地龙,位,RMB,138.00,165.0,"22,770.00"
301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,157.0,"35,796.00"
301006,猴枣炖野山龟,位,RMB,198.00,56.0,"11,088.00"
301007,海胆刺芹汤,位,RMB,68.00,97.0,"6,596.00"
301009,青榄海底椰炖鹧鸪,例,RMB,280.00,4.0,"1,120.00"
301022,羊肚菌炖花胶,位,RMB,268.00,171.0,"45,828.00"
301024,羊肚菌炖原条辽参,位,RMB,298.00,33.0,"9,834.00"
301029,羊肚菌炖鳘肚公,位,RMB,518.00,49.0,"25,382.00"
301030,日本昆布炖野生刺参,位,RMB,128.00,31.0,"3,968.00"
301041,鲜肉苁蓉炖飞天鸟,位,RMB,198.00,18.0,"3,564.00"
301042,花旗参人参果炖刺龟鱼,例,RMB,228.00,14.0,"3,192.00"
301043,青榄海螺海底椰,位,RMB,180.00,19.0,"3,420.00"
301044,太子参玉竹炖花胶,位,RMB,180.00,93.0,"16,740.00"
