ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0102001,风味汁大花螺,份,RMB,88.00,15.0,"1,320.00"
0102002,洋葱小木耳,份,RMB,28.00,156.0,"4,368.00"
0102003,意大利黑醋拌海蜇,份,RMB,88.00,36.0,"3,168.00"
0102004,蓝莓鹅肝三文鱼塔,份,RMB,88.00,18.0,"1,584.00"
0102006,虫草花素鲍卷,份,RMB,48.00,33.0,"1,584.00"
0102007,麻酱万年青,份,RMB,38.00,153.0,"5,814.00"
0102011,香醋花生配五香黑豆,份,RMB,28.00,67.0,"1,876.00"
0102012,骨胶原东海黄鱼冻,份,RMB,48.00,6.0,288.00
0102013,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,39.0,"3,432.00"
0102016,桂花蜜拌五彩鲜花,份,RMB,48.00,30.0,"1,440.00"
0102017,蟹肉金柚拌夜香花,份,RMB,88.00,3.0,264.00
0102023,三文鱼腩,件,RMB,25.00,28.0,700.00
0102024,吞拿鱼腩,件,RMB,70.00,5.0,350.00
0102028,拍青瓜,份,RMB,28.00,58.0,"1,624.00"
0102029,炸花生,份,RMB,28.00,17.0,476.00
0102031,炸腰果,例,RMB,28.00,26.0,728.00
0102036,开胃泡椒鸭舌,份,RMB,58.00,82.0,"4,756.00"
0102038,青苹果煎西班牙乳猪,份,RMB,78.00,47.0,"3,666.00"
0102042,翠豆拌蚌仔,份,RMB,78.00,40.0,"3,120.00"
0102049,烟薰素鹅卷,份,RMB,48.00,27.0,"1,296.00"
0102051,水晶鸭舌,份,RMB,58.00,14.0,812.00
0102055,潮汕鲜笋沙律,份,RMB,38.00,23.0,874.00
1201099,馆藏本草凉菜B（套餐）,位,RMB,76.89,188.0,"14,473.25"
1201166,珍品凉菜双拼B（套餐10月）,份,RMB,27.05,90.0,"2,434.52"
