ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401003,铁板低温和牛肉配味黄瓜,位,RMB,118.00,451.0,"53,218.00"
0401003,铁板低温和牛肉配味黄瓜,位,RMB,138.00,56.0,"7,728.00"
0401010,木鱼汁香煎法国鹅肝,位,RMB,168.00,20.0,"3,360.00"
0401011,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,14.0,"1,232.00"
0402001,黑竹盐极品牛肉,位,RMB,280.00,138.0,"38,640.00"
0402003,日本黑竹盐烧和牛膜,位,RMB,338.00,36.0,"12,168.00"
0402006,五谷南瓜盅,位,RMB,48.00,187.0,"8,976.00"
0402010,温泉蛋脆皮雪花牛肉,位,RMB,280.00,42.0,"11,760.00"
0402018,野米煮淮山,位,RMB,48.00,2.0,96.00
0402028,黑松露吞拿鱼腩,位,RMB,128.00,23.0,"2,944.00"
0402044,酒烧台湾野生乌鱼籽,位,RMB,68.00,4.0,272.00
0402047,鱼籽酱焖野生刺参,位,RMB,128.00,13.0,"1,664.00"
0402050,黑菌慢煮野生笋壳配露笋汁,位,RMB,78.00,33.0,"2,574.00"
0402051,鲜茄汤烩海胆蟹钳,位,RMB,88.00,38.0,"3,344.00"
0402053,夏日鲜茄局鲜莲,位,RMB,68.00,34.0,"2,312.00"
0402055,香煎淮山炒带子,例,RMB,160.00,9.0,"1,440.00"
0402071,金瓜五谷烩龙趸皮,位,RMB,138.00,56.0,"7,728.00"
0402071,金瓜五谷烩龙趸皮,位,RMB,168.00,8.0,"1,344.00"
0402075,日本黑竹盐烧和牛膜（半价）,位,RMB,169.00,64.0,"10,816.00"
0402083,西班牙火腿片,位,RMB,88.00,4.0,352.00
0402085,夜香花银杏自磨豆腐,位,RMB,28.00,19.0,532.00
0402086,夜香花浸日本元贝北海道蟹钳,位,RMB,88.00,17.0,"1,496.00"
