ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
1003001,空中金腿皇,盒,RMB,580.00,2.0,"1,160.00"
1003003,至尊班兰莲蓉月,盒,RMB,268.00,22.0,"5,896.00"
1003004,金腿五仁,盒,RMB,238.00,35.0,"8,330.00"
1003005,精品御月,盒,RMB,168.00,1.0,168.00
1003006,迷你八喜月,盒,RMB,158.00,18.0,"2,844.00"
1003007,空中金腿皇(券）,盒,RMB,580.00,5.0,"2,900.00"
1003008,迷你金沙奶黄月(券）,盒,RMB,188.00,17.0,"3,196.00"
1003009,至尊班兰莲蓉月(券）,盒,RMB,268.00,48.0,"12,864.00"
1003010,金腿五仁(券）,盒,RMB,238.00,23.0,"5,474.00"
1003011,精品御月(券）,盒,RMB,168.00,13.0,"2,184.00"
1003012,迷你八喜月(券）,盒,RMB,158.00,59.0,"9,322.00"
