ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0206013,干烧鸡纵菌,例,RMB,180.00,49.0,"8,820.00"
0401001,火山石窝龙趸扒,位,RMB,98.00,139.0,"13,622.00"
0401002,法式香草煎龙虾扒,位,RMB,168.00,37.0,"6,216.00"
0401007,美国燕麦局大连鲍,位,RMB,88.00,33.0,"2,904.00"
0401008,脆烧星斑扒,位,RMB,138.00,111.0,"15,318.00"
0401014,低温白雪龙虾仔,位,RMB,128.00,9.0,"1,152.00"
0401017,咸柠檬灼鲜鲍,位,RMB,108.00,51.0,"5,508.00"
0401018,金柚手撕龙虾,位,RMB,138.00,187.0,"25,806.00"
0401019,火山石烧星斑头腩,位,RMB,128.00,30.0,"3,840.00"
0401028,咸柠檬灼鲜鲍（半价）,位,RMB,54.00,89.0,"4,806.00"
0401029,脆烧星斑扒（半价）,位,RMB,69.00,167.0,"11,523.00"
0501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,2.0,336.00
1201025,陈皮丝蒸龙趸球（6月套餐）,份,RMB,89.48,90.0,"8,053.22"
1201033,法式龙虾扒（2月套餐）,位,RMB,125.77,20.0,"2,515.36"
0301003,百岁草炖珍珠鲍鱼,位,RMB,180.00,148.0,"26,640.00"
0606001,娃娃鱼,斤,RMB,780.00,4.0,"3,120.00"
0606001,娃娃鱼,斤,RMB,980.00,1.0,980.00
0606002,娃娃鱼（特惠价）,斤,RMB,338.00,16.1,"5,441.80"
0601001,苏眉,斤,RMB,"1,480.00",2.0,"2,960.00"
0601002,老鼠斑,斤,RMB,698.00,4.8,"3,350.40"
0601003,东星斑,斤,RMB,298.00,1.4,417.20
0601003,东星斑,斤,RMB,698.00,3.7,"2,582.60"
0601016,东星斑（半价）,斤,RMB,349.00,4.8,"1,675.20"
0601016,东星斑（半价）,斤,RMB,398.00,8.5,"3,383.00"
0601017,老鼠斑（半价）,斤,RMB,349.00,12.5,"4,362.50"
0601017,老鼠斑（半价）,斤,RMB,368.00,1.3,478.40
0601017,老鼠斑（半价）,斤,RMB,398.00,11.8,"4,696.40"
0601018,苏眉（半价）,斤,RMB,880.00,2.0,"1,760.00"
0601019,蓝东星斑（半价）,斤,RMB,149.00,65.0,"9,685.00"
0601019,蓝东星斑（半价）,斤,RMB,298.00,1.5,447.00
0601022,蓝东星,斤,RMB,218.00,5.0,"1,090.00"
0601022,蓝东星,斤,RMB,227.97,10.8,"2,462.03"
0601022,蓝东星,斤,RMB,298.00,21.2,"6,317.60"
0602003,龙虾仔,斤,RMB,598.00,4.2,"2,511.60"
0602006,斑马虾,斤,RMB,498.00,3.7,"1,842.60"
0602008,大虾皇,斤,RMB,450.00,2.1,945.00
0602011,花龙虾（特惠价）,斤,RMB,497.93,19.8,"9,858.93"
0602011,花龙虾（特惠价）,斤,RMB,498.00,10.8,"5,378.40"
0602012,龙虾仔（半价）,斤,RMB,299.00,19.5,"5,830.50"
0602012,龙虾仔（半价）,斤,RMB,328.00,6.0,"1,968.00"
0602013,波士顿龙虾（半价）,斤,RMB,134.00,40.6,"5,440.40"
0602015,大虾皇（半价）,斤,RMB,225.00,29.3,"6,592.50"
0602016,斑马虾(半价）,斤,RMB,249.00,5.1,"1,269.90"
0602016,斑马虾(半价）,斤,RMB,268.00,2.4,643.20
0602016,斑马虾(半价）,斤,RMB,298.00,9.5,"2,831.00"
0603001,象拔蚌,斤,RMB,498.00,5.6,"2,788.80"
0603001,象拔蚌,斤,RMB,598.00,9.8,"5,860.40"
0603004,南非野生鲍,斤,RMB,600.00,4.8,"2,880.00"
0603006,圣子皇,斤,RMB,98.00,4.9,480.20
0603006,圣子皇,斤,RMB,138.00,11.5,"1,587.00"
0603010,南非野生鲍（半价）,斤,RMB,300.00,31.5,"9,450.00"
0603010,南非野生鲍（半价）,斤,RMB,398.00,15.8,"6,288.40"
0603012,象拔蚌（半价）,斤,RMB,299.00,35.3,"10,554.70"
0603012,象拔蚌（半价）,斤,RMB,368.00,28.2,"10,377.60"
0604008,黄油蟹特惠价（3-3.9两）,只,RMB,228.00,60.0,"13,680.00"
0604009,黄油蟹特惠价（4-4.9两）,只,RMB,328.00,40.0,"13,120.00"
0604010,黄油蟹特惠价（5-5.9两）,只,RMB,428.00,15.0,"6,420.00"
0401015,泡椒私房焖龙趸,例,RMB,168.00,17.0,"2,856.00"
0605002,开刀东星头腩,斤,RMB,538.00,2.5,"1,345.00"
0605006,开刀龙趸,斤,RMB,198.00,18.0,"3,564.00"
0605010,开刀东星头腩（半价）,斤,RMB,269.00,20.4,"5,487.60"
0605010,开刀东星头腩（半价）,斤,RMB,298.00,1.0,298.00
0605011,开刀苏眉肉（半价）,斤,RMB,540.00,6.5,"3,510.00"
0605011,开刀苏眉肉（半价）,斤,RMB,598.00,1.5,897.00
0605012,开刀苏眉头腩（半价）,斤,RMB,540.00,5.0,"2,700.00"
0605012,开刀苏眉头腩（半价）,斤,RMB,598.00,1.8,"1,076.40"
0605013,开刀苏眉咀（半价）,斤,RMB,590.00,3.8,"2,242.00"
0605014,开刀龙趸(半价）,斤,RMB,99.00,59.7,"5,910.30"
0605014,开刀龙趸(半价）,斤,RMB,138.00,1.0,138.00
0605014,开刀龙趸(半价）,斤,RMB,168.00,2.5,420.00
