ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0301017,羊肚菌炖娃娃鱼骨汤,位,RMB,148.00,42.0,"6,216.00"
0301001,玛卡绅士强身汤,位,RMB,268.00,27.0,"7,236.00"
0301004,石斛灵芝炖地龙,位,RMB,138.00,122.0,"16,836.00"
0301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,270.0,"61,560.00"
0301006,猴枣炖野山龟,位,RMB,198.00,10.0,"1,980.00"
0301007,海胆刺芹汤,位,RMB,68.00,63.0,"4,284.00"
0301022,羊肚菌炖花胶,位,RMB,268.00,110.0,"29,480.00"
0301024,羊肚菌炖原条辽参,位,RMB,298.00,26.0,"7,748.00"
0301029,羊肚菌炖鳘肚公,位,RMB,518.00,23.0,"11,914.00"
0301030,日本昆布炖野生刺参,位,RMB,128.00,54.0,"6,912.00"
0301032,凉瓜青茉莉花炖活辽参,位,RMB,128.00,184.0,"23,552.00"
0301032,凉瓜青茉莉花炖活辽参,位,RMB,158.00,3.0,474.00
0301037,金山黑金刚牛黄炖螺头（半价）,位,RMB,114.00,115.0,"13,110.00"
0301038,陈皮莲子炖水鸭,例,RMB,188.00,32.0,"6,016.00"
0301039,昆布炖花胶,位,RMB,68.00,208.0,"14,144.00"
0301039,昆布炖花胶,位,RMB,138.00,6.0,828.00
0301040,菊花桑叶炖海皇,例,RMB,228.00,4.0,912.00
0301044,太子参玉竹炖花胶,位,RMB,180.00,22.0,"3,960.00"
0301046,鲜竹笙竹笙蛋汤,位,RMB,88.00,73.0,"6,424.00"
0301047,酥皮竹笙菌清汤,位,RMB,88.00,13.0,"1,144.00"
