ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0102001,风味汁大花螺,份,RMB,88.00,16.0,"1,408.00"
0102002,洋葱小木耳,份,RMB,28.00,147.0,"4,116.00"
0102003,意大利黑醋拌海蜇,份,RMB,88.00,35.0,"3,080.00"
0102004,蓝莓鹅肝三文鱼塔,份,RMB,88.00,35.0,"3,080.00"
0102006,虫草花素鲍卷,份,RMB,48.00,29.0,"1,392.00"
0102007,麻酱万年青,份,RMB,38.00,169.0,"6,422.00"
0102011,香醋花生配五香黑豆,份,RMB,28.00,62.0,"1,736.00"
0102012,骨胶原东海黄鱼冻,份,RMB,48.00,3.0,144.00
0102013,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,45.0,"3,960.00"
0102016,桂花蜜拌五彩鲜花,份,RMB,48.00,41.0,"1,968.00"
0102017,蟹肉金柚拌夜香花,份,RMB,88.00,7.0,616.00
0102020,有机百合茄鹅肝沙律,份,RMB,88.00,1.0,88.00
0102022,法式海鲜沙律,份,RMB,88.00,1.0,88.00
0102023,三文鱼腩,件,RMB,25.00,51.0,"1,275.00"
0102028,拍青瓜,份,RMB,28.00,33.0,924.00
0102029,炸花生,份,RMB,28.00,13.0,364.00
0102031,炸腰果,例,RMB,28.00,29.0,812.00
0102036,开胃泡椒鸭舌,份,RMB,58.00,74.0,"4,292.00"
0102038,青苹果煎西班牙乳猪,份,RMB,78.00,45.0,"3,510.00"
0102042,翠豆拌蚌仔,份,RMB,78.00,34.0,"2,652.00"
0102049,烟薰素鹅卷,份,RMB,48.00,38.0,"1,824.00"
0102051,水晶鸭舌,份,RMB,58.00,14.0,812.00
1201099,馆藏本草凉菜B（套餐）,位,RMB,77.65,216.0,"16,787.20"
1201166,珍品凉菜双拼B（套餐10月）,份,RMB,27.05,57.0,"1,541.86"
