ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801004,雪菜黄鱼稻庭汤面,位,RMB,38.00,31.0,"1,178.00"
0801005,樱花虾葱油稻庭冷面,位,RMB,38.00,63.0,"2,394.00"
0801018,樱花虾葱油稻庭冷面（半价）,位,RMB,19.00,39.0,741.00
0802001,人参灌汤包,半打,RMB,48.00,110.0,"5,280.00"
0802003,黄耳野菌饺,件,RMB,10.00,185.0,"1,850.00"
0802004,青芥石蚝卷,件,RMB,10.00,65.0,650.00
0802005,松茸莲藕酥,件,RMB,12.00,215.0,"2,580.00"
0802007,焦糖蜂巢糕,半打,RMB,30.00,11.0,330.00
0802012,松皮菜肉包,件,RMB,10.00,103.0,"1,030.00"
0802013,洛神花果冻,件,RMB,10.00,25.0,250.00
0802015,寿桃（小）,只,RMB,8.00,22.0,176.00
0802036,栗子冻饼,位,RMB,16.00,3.0,48.00
0802037,核桃芭菲,位,RMB,20.00,18.0,360.00
0802038,朱古力心太软,位,RMB,20.00,14.0,280.00
0802039,巧克力黑白配慕斯,位,RMB,18.00,4.0,72.00
0802040,养生灵芝金瓜糕,位,RMB,20.00,2.0,40.00
0802041,椰香桂花糕,位,RMB,16.00,4.0,64.00
0802042,意大利提拉米苏,位,RMB,20.00,38.0,760.00
0802043,欧式芝士蛋糕,位,RMB,26.00,10.0,260.00
0802044,美式芝士饼,位,RMB,22.00,2.0,44.00
0802045,蓝莓经典,位,RMB,18.00,10.0,180.00
0802046,法式焦糖炖蛋,位,RMB,16.00,27.0,432.00
0802047,传统姜撞奶,位,RMB,16.00,41.0,656.00
0802048,鲜水果忌廉生日蛋糕,磅,RMB,68.00,7.0,476.00
0802052,黑芝麻雪芭,位,RMB,28.00,6.0,168.00
0802058,精选黑森林生日蛋糕(员工价）,磅,RMB,48.00,2.0,96.00
0802059,鲜水果忌廉生日蛋糕（员工价）,磅,RMB,48.00,5.0,240.00
0802061,松茸莲藕酥（半价）,件,RMB,6.00,53.0,318.00
0802062,生煎黑椒雪花牛肉包,半打,RMB,48.00,7.0,336.00
0802064,玫瑰花柠檬果冻,位,RMB,18.00,61.0,"1,098.00"
0802065,茉莉花酥皮泡芙,半打,RMB,48.00,2.0,96.00
0803001,西藏甘草雪莲子,位,RMB,20.00,12.0,240.00
0803003,杨枝甘露,位,RMB,20.00,7.0,140.00
0806005,焦糖蜂巢糕（中）,份,RMB,18.00,73.0,"1,314.00"
0806006,金瓜豆豉蒸排骨（特）,份,RMB,26.00,127.0,"3,302.00"
0806008,客家萝卜丝饺（中）,份,RMB,18.00,86.0,"1,548.00"
0806009,岭南猪脚姜（顶）,份,RMB,30.00,40.0,"1,200.00"
0806010,黑竹盐脆虾包（特）,份,RMB,26.00,42.0,"1,092.00"
0806011,黄瓜煎薄餐（小）,份,RMB,13.00,137.0,"1,781.00"
0806013,法式蛋挞（中）(半价),份,RMB,9.00,351.0,"3,159.00"
0806014,金网青芥石蚝卷（中）,份,RMB,18.00,54.0,972.00
0806015,松皮菜肉包（中）,份,RMB,18.00,64.0,"1,152.00"
0806016,台南铁板煎萝卜糕（大）,份,RMB,22.00,112.0,"2,464.00"
0806017,咖喱芝心角（中）,份,RMB,18.00,41.0,738.00
0806019,黑松露蒸牛肉球（特）,份,RMB,26.00,71.0,"1,846.00"
0806020,香草酱皇蒸凤爪（大）(半价),份,RMB,11.00,398.0,"4,378.00"
0806021,健康麻薯包（中）,份,RMB,18.00,51.0,918.00
0807001,黑松露素粉果（特）(半价),份,RMB,13.00,505.0,"6,565.00"
0807002,松茸莲藕酥（顶）,份,RMB,30.00,121.0,"3,630.00"
0807003,蟹籽百灵菇烧卖（大）,份,RMB,22.00,90.0,"1,980.00"
0807004,补气鲜参灌汤包（特）,份,RMB,26.00,324.0,"8,424.00"
0807005,金兰花虾饺皇（特）,份,RMB,26.00,136.0,"3,536.00"
0808004,脆皮野菌肠（大）(半价),份,RMB,11.00,369.0,"4,059.00"
0808005,原笼五仁杂粮饭（小）,份,RMB,13.00,57.0,741.00
0808013,名酱红米肠（小）,份,RMB,13.00,66.0,858.00
0809003,养生灵芝金瓜糕（小）,份,RMB,13.00,35.0,455.00
0809004,蛋白杏仁茶（中）,份,RMB,18.00,54.0,972.00
0809005,台湾绿茶蛋糕（中）(半价),份,RMB,9.00,294.0,"2,646.00"
0809006,奶酪酸奶布丁（大）,份,RMB,22.00,43.0,946.00
0809007,洛神花果冻（中）,份,RMB,18.00,18.0,324.00
0899001,蛋挞,件,RMB,8.00,12.0,96.00
1201105,意大利提拉米苏（套餐）,位,RMB,21.51,170.0,"3,656.18"
1201139,雪山菜肉包（套餐）,份,RMB,10.41,57.0,593.36
0801007,龙虾汤稻庭面,位,RMB,38.00,680.0,"25,840.00"
0808009,龙虾汤稻庭面（特）,份,RMB,26.00,92.0,"2,392.00"
1201097,龙虾汤稻庭面（套餐）,位,RMB,27.87,216.0,"6,026.22"
