ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401001,火山石窝龙趸扒,位,RMB,98.00,157.0,"15,386.00"
0401002,法式香草煎龙虾扒,位,RMB,168.00,13.0,"2,184.00"
0401007,美国燕麦局大连鲍,位,RMB,88.00,45.0,"3,960.00"
0401008,脆烧星斑扒,位,RMB,138.00,105.0,"14,490.00"
0401014,低温白雪龙虾仔,位,RMB,128.00,19.0,"2,432.00"
0401017,咸柠檬灼鲜鲍,位,RMB,108.00,42.0,"4,536.00"
0401018,金柚手撕龙虾,位,RMB,138.00,111.0,"15,318.00"
0401018,金柚手撕龙虾,位,RMB,168.00,15.0,"2,520.00"
0401019,火山石烧星斑头腩,位,RMB,128.00,9.0,"1,152.00"
0401028,咸柠檬灼鲜鲍（半价）,位,RMB,54.00,92.0,"4,968.00"
0401029,脆烧星斑扒（半价）,位,RMB,69.00,118.0,"8,142.00"
0501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,5.0,840.00
1201025,陈皮丝蒸龙趸球（6月套餐）,份,RMB,89.48,57.0,"5,100.37"
1201033,法式龙虾扒（2月套餐）,位,RMB,125.77,46.0,"5,785.32"
0301003,百岁草炖珍珠鲍鱼,位,RMB,180.00,113.0,"20,340.00"
0606001,娃娃鱼,斤,RMB,980.00,4.3,"4,214.00"
0601002,老鼠斑,斤,RMB,698.00,8.4,"5,863.20"
0601003,东星斑,斤,RMB,698.00,14.0,"9,772.00"
0601016,东星斑（半价）,斤,RMB,349.00,17.0,"5,933.00"
0601016,东星斑（半价）,斤,RMB,398.00,1.7,676.60
0601017,老鼠斑（半价）,斤,RMB,349.00,9.1,"3,175.90"
0601017,老鼠斑（半价）,斤,RMB,398.00,9.3,"3,701.40"
0601019,蓝东星斑（半价）,斤,RMB,149.00,68.1,"10,146.90"
0601022,蓝东星,斤,RMB,298.00,14.0,"4,172.00"
0601026,三刀鱼（特惠价）,斤,RMB,128.00,2.7,345.60
0602003,龙虾仔,斤,RMB,598.00,5.4,"3,229.20"
0602004,波士顿龙虾,斤,RMB,128.00,3.8,486.40
0602006,斑马虾,斤,RMB,498.00,11.5,"5,727.00"
0602008,大虾皇,斤,RMB,450.00,2.0,900.00
0602011,花龙虾（半价）,斤,RMB,438.00,5.5,"2,409.00"
0602011,花龙虾（特惠价）,斤,RMB,498.00,24.8,"12,350.40"
0602011,花龙虾（特惠价）,斤,RMB,598.00,4.4,"2,631.20"
0602012,龙虾仔（半价）,斤,RMB,299.00,18.3,"5,471.70"
0602012,龙虾仔（半价）,斤,RMB,328.00,1.2,393.60
0602012,龙虾仔（半价）,斤,RMB,368.00,4.6,"1,692.80"
0602013,波士顿龙虾（半价）,斤,RMB,134.00,6.4,857.60
0602013,波士顿龙虾（半价）,斤,RMB,149.00,17.9,"2,667.10"
0602015,大虾皇（半价）,斤,RMB,225.00,8.1,"1,822.50"
0602016,斑马虾(半价）,斤,RMB,249.00,3.2,796.80
0602016,斑马虾(半价）,斤,RMB,298.00,9.2,"2,741.60"
0602016,斑马虾(半价）,斤,RMB,299.00,1.8,538.20
0603001,象拔蚌,斤,RMB,498.00,5.4,"2,689.20"
0603001,象拔蚌,斤,RMB,598.00,20.4,"12,199.20"
0603004,南非野生鲍,斤,RMB,600.00,21.2,"12,720.00"
0603010,南非野生鲍（半价）,斤,RMB,300.00,14.0,"4,200.00"
0603010,南非野生鲍（半价）,斤,RMB,398.00,13.3,"5,293.40"
0603012,象拔蚌（半价）,斤,RMB,299.00,39.3,"11,750.70"
0603012,象拔蚌（半价）,斤,RMB,328.00,5.6,"1,836.80"
0603012,象拔蚌（半价）,斤,RMB,368.00,42.3,"15,566.40"
0604007,奄仔蟹（特惠价）,斤,RMB,238.00,3.6,856.80
0401015,泡椒私房焖龙趸,例,RMB,168.00,10.0,"1,680.00"
0605002,开刀东星头腩,斤,RMB,398.00,1.5,597.00
0605002,开刀东星头腩,斤,RMB,538.00,7.7,"4,142.60"
0605004,开刀苏眉肉,斤,RMB,"1,080.00",0.8,864.00
0605006,开刀龙趸,斤,RMB,198.00,16.7,"3,306.60"
0605010,开刀东星头腩（半价）,斤,RMB,269.00,19.5,"5,245.50"
0605010,开刀东星头腩（半价）,斤,RMB,298.00,1.0,298.00
0605011,开刀苏眉肉（半价）,斤,RMB,540.00,6.7,"3,618.00"
0605011,开刀苏眉肉（半价）,斤,RMB,598.00,11.6,"6,936.80"
0605012,开刀苏眉头腩（半价）,斤,RMB,540.00,3.9,"2,106.00"
0605012,开刀苏眉头腩（半价）,斤,RMB,598.00,9.8,"5,860.40"
0605012,开刀苏眉头腩（半价）,斤,RMB,638.00,1.5,957.00
0605012,开刀苏眉头腩（半价）,斤,RMB,698.00,2.5,"1,745.00"
0605013,开刀苏眉咀（半价）,斤,RMB,590.00,3.5,"2,065.00"
0605013,开刀苏眉咀（半价）,斤,RMB,638.00,3.2,"2,041.60"
0605013,开刀苏眉咀（半价）,斤,RMB,698.00,1.0,698.00
0605014,开刀龙趸(半价）,斤,RMB,99.00,62.2,"6,157.80"
