ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0301017,羊肚菌炖娃娃鱼骨汤,位,RMB,148.00,13.0,"1,924.00"
0301001,玛卡绅士强身汤,位,RMB,268.00,32.0,"8,576.00"
0301004,石斛灵芝炖地龙,位,RMB,138.00,135.0,"18,630.00"
0301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,231.0,"52,668.00"
0301006,猴枣炖野山龟,位,RMB,198.00,6.0,"1,188.00"
0301007,海胆刺芹汤,位,RMB,68.00,81.0,"5,508.00"
0301022,羊肚菌炖花胶,位,RMB,268.00,113.0,"30,284.00"
0301022,羊肚菌炖花胶,位,RMB,298.00,2.0,596.00
0301024,羊肚菌炖原条辽参,位,RMB,298.00,11.0,"3,278.00"
0301029,羊肚菌炖鳘肚公,位,RMB,518.00,19.0,"9,842.00"
0301030,日本昆布炖野生刺参,位,RMB,128.00,70.0,"8,960.00"
0301032,凉瓜青茉莉花炖活辽参,位,RMB,128.00,105.0,"13,440.00"
0301037,金山黑金刚牛黄炖螺头（半价）,位,RMB,114.00,103.0,"11,742.00"
0301038,陈皮莲子炖水鸭,例,RMB,188.00,23.0,"4,324.00"
0301038,陈皮莲子炖水鸭,例,RMB,200.00,1.0,200.00
0301038,陈皮莲子炖水鸭,例,RMB,228.00,2.0,456.00
0301039,昆布炖花胶,位,RMB,68.00,178.0,"12,104.00"
0301039,昆布炖花胶,位,RMB,88.00,8.0,704.00
0301039,昆布炖花胶,位,RMB,128.00,4.0,512.00
0301040,菊花桑叶炖海皇,例,RMB,228.00,11.0,"2,508.00"
0301044,太子参玉竹炖花胶,位,RMB,180.00,7.0,"1,260.00"
0301045,羊肚菌炖鳘肚公汤（特惠价）,位,RMB,268.00,16.0,"4,288.00"
0301046,鲜竹笙竹笙蛋汤,位,RMB,88.00,20.0,"1,760.00"
