ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
911001,西藏雪菊,位,RMB,38.00,16.0,608.00
911002,陈年普洱,位,RMB,28.00,142.0,"3,976.00"
911005,清香铁观音,位,RMB,28.00,41.0,"1,148.00"
901012,新西兰梅乐红,支,RMB,600.00,1.0,600.00
901013,澳洲奔富407,支,RMB,980.00,6.0,"5,880.00"
902003,大号轩尼诗XO,支,RMB,"2,380.00",1.0,"2,380.00"
903004,高度茅台53度,支,RMB,"1,980.00",1.0,"1,980.00"
903004,高度茅台53度,支,RMB,"2,380.00",1.0,"2,380.00"
904001,新西兰苏维翁白葡萄酒,支,RMB,480.00,2.0,960.00
907001,小日本盛,支,RMB,280.00,1.0,280.00
909001,青岛,支,RMB,25.00,17.0,425.00
909001,青岛,支,RMB,26.00,1.0,26.00
909002,喜力,支,RMB,28.00,76.0,"2,128.00"
910001,野生花旗参蜜枣茶,位,RMB,28.00,170.0,"4,760.00"
910002,博士养生茶,位,RMB,28.00,675.0,"18,900.00"
910003,红枣枸杞雪菊茶,位,RMB,28.00,212.0,"5,936.00"
910004,西藏甘草雪茶,位,RMB,28.00,86.0,"2,408.00"
910005,藏红花润肺茶,位,RMB,38.00,58.0,"2,204.00"
910006,冰冻清润茶,位,RMB,18.00,21.0,378.00
910009,日本芽茶,位,RMB,28.00,27.0,756.00
910010,博士养生茶(赠送）,位,RMB,0.00,"2,172.0",0.00
910011,红枣枸杞雪菊茶（午市散台）,位,RMB,18.00,122.0,"2,196.00"
910012,西藏甘草雪茶（午市散台）,位,RMB,18.00,49.0,882.00
910013,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,79.0,"1,422.00"
910014,藏红花润肺茶（午市散台）,位,RMB,18.00,54.0,972.00
910015,日本芽茶（午市散台）,位,RMB,18.00,34.0,612.00
910016,博士养生茶(增加）,位,RMB,0.00,733.0,0.00
912001,纸巾,包,RMB,8.00,71.0,568.00
912002,扑克,副,RMB,10.00,9.0,90.00
912005,保温瓶,个,RMB,50.00,3.0,150.00
913001,软黑芙蓉王,包,RMB,88.00,5.0,440.00
913003,软中华,包,RMB,128.00,19.0,"2,432.00"
914001,鲜榨苹果汁,杯,RMB,20.00,2.0,40.00
914001,鲜榨苹果汁,杯,RMB,30.00,2.0,60.00
914001,鲜榨苹果汁,渣,RMB,98.00,2.0,196.00
914004,鲜榨西瓜汁,杯,RMB,20.00,1.0,20.00
914004,鲜榨西瓜汁,渣,RMB,98.00,4.0,392.00
914005,鲜榨红提子汁,杯,RMB,35.00,1.0,35.00
914005,鲜榨红提子汁,渣,RMB,118.00,2.0,236.00
914006,鲜榨木瓜汁,渣,RMB,98.00,5.0,490.00
914010,水果（送）,位,RMB,0.00,"2,587.0",0.00
914011,水果,位,RMB,28.00,2.0,56.00
914012,餐前水果（水果）,位,RMB,0.00,145.0,0.00
914012,餐前水果（送）,位,RMB,0.00,65.0,0.00
914014,鲜榨火龙果汁,杯,RMB,20.00,2.0,40.00
914014,鲜榨火龙果汁,渣,RMB,128.00,3.0,384.00
914015,鲜榨橙汁,杯,RMB,35.00,6.0,210.00
914015,鲜榨橙汁,渣,RMB,118.00,2.0,236.00
914015,鲜榨新奇士橙汁,渣,RMB,118.00,12.0,"1,416.00"
914016,杏仁汁,杯,RMB,35.00,2.0,70.00
914016,杏仁汁,渣,RMB,138.00,20.0,"2,760.00"
914019,柠檬,个,RMB,10.00,19.0,190.00
915002,苏打水,罐,RMB,13.00,24.0,312.00
915002,苏打水,罐,RMB,15.00,11.0,165.00
915004,可乐,罐,RMB,13.00,4.0,52.00
915007,小芙丝水,支,RMB,30.00,51.0,"1,530.00"
915008,意大利大普娜水（750ml）,支,RMB,38.00,43.0,"1,634.00"
915009,意大利圣培露（柠檬汁）,瓶,RMB,25.00,19.0,475.00
915010,意大利圣培露（橙汁）,瓶,RMB,25.00,16.0,400.00
915011,意大利手磨咖啡,杯,RMB,38.00,1.0,38.00
999001,柠檬水,位,RMB,10.00,1.0,10.00
918001,印象大红袍,盒,RMB,346.00,3.0,"1,038.00"
918002,茗扬大红袍,盒,RMB,330.00,1.0,330.00
1001001,普通茶（散）,位,RMB,10.00,"1,144.0","11,436.60"
1001002,普通茶（厅）,位,RMB,12.00,737.0,"8,844.00"
1002004,自带茶叶,位,RMB,15.00,142.0,"2,130.00"
