ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
801004,雪菜黄鱼稻庭汤面,位,RMB,38.00,12.0,456.00
801005,樱花虾葱油稻庭冷面,位,RMB,38.00,34.0,"1,292.00"
801018,樱花虾葱油稻庭冷面（半价）,位,RMB,19.00,70.0,"1,330.00"
802001,人参灌汤包,半打,RMB,48.00,68.0,"3,264.00"
802002,咖啡芋茸包,半打,RMB,36.00,9.0,324.00
802003,黄耳野菌饺,件,RMB,10.00,180.0,"1,800.00"
802004,青芥石蚝卷,件,RMB,10.00,104.0,"1,040.00"
802005,松茸莲藕酥,件,RMB,12.00,129.0,"1,548.00"
802007,焦糖蜂巢糕,半打,RMB,30.00,32.0,960.00
802007,焦糖蜂巢糕,半打,RMB,48.00,1.0,48.00
802011,松子叉烧雪山包,件,RMB,10.00,1.0,10.00
802012,松皮菜肉包,件,RMB,10.00,298.0,"2,980.00"
802013,洛神花果冻,件,RMB,10.00,27.0,270.00
802014,寿桃（大）,只,RMB,18.00,8.0,144.00
802031,家乡艾糍,半打,RMB,48.00,19.0,912.00
802031,家乡艾糍,件,RMB,8.00,140.0,"1,120.00"
802036,栗子冻饼,位,RMB,16.00,17.0,272.00
802037,核桃芭菲,位,RMB,20.00,1.0,20.00
802038,朱古力心太软,位,RMB,20.00,49.0,980.00
802039,巧克力黑白配慕斯,位,RMB,18.00,5.0,90.00
802040,养生灵芝金瓜糕,位,RMB,20.00,12.0,240.00
802041,椰香桂花糕,位,RMB,16.00,39.0,624.00
802042,意大利提拉米苏,位,RMB,20.00,49.0,980.00
802043,欧式芝士蛋糕,位,RMB,26.00,13.0,338.00
802044,美式芝士饼,位,RMB,22.00,9.0,198.00
802045,蓝莓经典,位,RMB,18.00,10.0,180.00
802046,法式焦糖炖蛋,位,RMB,16.00,47.0,752.00
802047,传统姜撞奶,位,RMB,16.00,27.0,432.00
802048,鲜水果忌廉生日蛋糕,磅,RMB,68.00,7.0,476.00
802058,精选黑森林生日蛋糕(员工价）,磅,RMB,48.00,1.0,48.00
802059,鲜水果忌廉生日蛋糕（员工价）,磅,RMB,48.00,7.0,336.00
802061,松茸莲藕酥（半价）,件,RMB,6.00,52.0,312.00
803001,西藏甘草雪莲子,位,RMB,20.00,5.0,100.00
803003,杨枝甘露,位,RMB,20.00,7.0,140.00
806005,芝士牛油野鸡卷（大）,份,RMB,22.00,19.0,418.00
806006,金瓜豆豉蒸排骨（特）,份,RMB,26.00,140.0,"3,640.00"
806010,黑竹盐脆虾包（特）,份,RMB,26.00,47.0,"1,222.00"
806011,黄瓜煎薄餐（小）,份,RMB,13.00,81.0,"1,053.00"
806013,法式蛋挞（中）,份,RMB,18.00,79.0,"1,422.00"
806014,金网青芥石蚝卷（中）,份,RMB,18.00,36.0,648.00
806015,松皮菜肉包（中）,份,RMB,18.00,47.0,846.00
806016,台南铁板煎萝卜糕（大）,份,RMB,22.00,75.0,"1,650.00"
806017,咖喱芝心角（中）,份,RMB,18.00,26.0,468.00
806019,黑松露蒸牛肉球（特）,份,RMB,26.00,66.0,"1,716.00"
806021,金网菜肉饺（大）,份,RMB,22.00,26.0,572.00
807003,蟹籽百灵菇烧卖（大）,份,RMB,22.00,65.0,"1,430.00"
807004,补气鲜参灌汤包（特）,份,RMB,26.00,261.0,"6,786.00"
807007,黑松露素粉果（特）（半价）,份,RMB,13.00,400.0,"5,200.00"
807008,松茸莲藕酥（顶）（半价）,份,RMB,15.00,341.0,"5,115.00"
807009,金兰花虾饺皇（特）（半价）,份,RMB,13.00,396.0,"5,148.00"
807010,脆皮野菌肠（大）（半价）,份,RMB,11.00,324.0,"3,564.00"
807012,香草酱皇蒸凤爪（大）（半价）,份,RMB,11.00,351.0,"3,861.00"
808005,原笼五仁杂粮饭（小）,份,RMB,13.00,68.0,884.00
809003,养生灵芝金瓜糕（小）,份,RMB,13.00,32.0,416.00
809004,蛋白杏仁茶（中）,份,RMB,18.00,79.0,"1,422.00"
809005,台湾绿茶蛋糕（中）,份,RMB,18.00,18.0,324.00
809006,奶酪酸奶布丁（大）,份,RMB,22.00,19.0,418.00
899001,蛋白杏仁茶,位,RMB,18.00,6.0,108.00
899001,金网菜肉饺,件,RMB,10.00,12.0,120.00
899001,莲子百合红豆沙,位,RMB,18.00,4.0,72.00
899001,莲子百合红豆沙,位,RMB,28.00,11.0,308.00
899001,绿茶蛋糕,件,RMB,8.00,6.0,48.00
899001,台湾绿茶蛋糕,位,RMB,22.00,5.0,110.00
899001,杏仁茶,位,RMB,28.00,2.0,56.00
1201070,歌剧蛋糕（2月套餐）,份,RMB,41.78,7.0,292.46
1201105,意大利提拉米苏（套餐）,位,RMB,20.63,145.0,"2,990.70"
1201109,法式蛋糕（3月套餐）,位,RMB,13.07,26.0,337.84
1201139,雪山菜肉包（套餐）,份,RMB,9.96,46.0,458.16
805001,瑶柱蒸粽皇,只,RMB,60.00,2.0,120.00
801007,龙虾汤稻庭面,位,RMB,38.00,668.0,"25,384.00"
801011,黑松露捞稻庭冷面,碗,RMB,58.00,6.0,348.00
806008,客家萝卜丝丸（大）,份,RMB,22.00,38.0,836.00
806009,烤烤双拼（顶）,份,RMB,30.00,22.0,660.00
808009,龙虾汤稻庭面（特）,份,RMB,26.00,128.0,"3,328.00"
1201097,龙虾汤稻庭面（套餐）,位,RMB,26.66,190.0,"5,083.15"
