ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
202001,六味岩燕盏,位,RMB,380.00,20.0,"7,600.00"
202002,玉米汁烩岩燕盏,位,RMB,288.00,2.0,576.00
202005,津梨炖岩燕盏,位,RMB,180.00,19.0,"3,420.00"
202007,绿茶燕窝炒蛋白,位,RMB,98.00,3.0,294.00
205001,法国金兰花烩鲍翅皇,位,RMB,480.00,9.0,"4,320.00"
205002,鲍汁荷香海虎翅,位,RMB,680.00,10.0,"6,800.00"
302001,三支虫草巴戟炖花胶,位,RMB,580.00,11.0,"6,380.00"
302001,三支虫草巴戟炖花胶,位,RMB,680.00,2.0,"1,360.00"
302003,1800庄虫草,条,RMB,88.00,4.0,352.00
302005,1800庄三支冬虫草炖肉汁,位,RMB,380.00,2.0,760.00
302006,1500庄三支冬虫草炖肉汁,位,RMB,480.00,3.0,"1,440.00"
201002,日本15头岩手吉品鲍,位,RMB,"1,280.00",4.0,"5,120.00"
201003,日本20头岩手吉品鲍,位,RMB,880.00,6.0,"5,280.00"
201305,日本制南非20头吉品鲍,位,RMB,480.00,7.0,"3,360.00"
201307,栗子花胶焖鲍鱼鸡煲,例,RMB,468.00,3.0,"1,404.00"
201311,八头南非鲍,只,RMB,550.00,6.0,"3,300.00"
1201042,鲜蚝汁南非干鲍片扒花胶（2月套餐）,例,RMB,482.06,7.0,"3,374.42"
