ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
301017,羊肚菌炖娃娃鱼骨汤,位,RMB,148.00,19.0,"2,812.00"
301001,玛卡绅士强身汤,位,RMB,268.00,42.0,"11,256.00"
301004,石斛灵芝炖地龙,位,RMB,138.00,143.0,"19,734.00"
301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,132.0,"30,096.00"
301006,猴枣炖野山龟,位,RMB,198.00,17.0,"3,366.00"
301007,海胆刺芹汤,位,RMB,68.00,62.0,"4,216.00"
301022,羊肚菌炖花胶,位,RMB,268.00,105.0,"28,140.00"
301024,羊肚菌炖原条辽参,位,RMB,298.00,7.0,"2,086.00"
301029,羊肚菌炖鳘肚公,位,RMB,518.00,30.0,"15,540.00"
301030,日本昆布炖野生刺参,位,RMB,128.00,14.0,"1,792.00"
301035,麝香蝎子炖山龟,位,RMB,238.00,1.0,238.00
301036,五叶神沙虫干炖山斑,位,RMB,168.00,8.0,"1,344.00"
301037,金山黑金刚牛黄炖螺头（半价）,位,RMB,114.00,498.0,"56,772.00"
301038,陈皮莲肉炖水鸭,例,RMB,188.00,1.0,188.00
301038,陈皮莲子炖水鸭,例,RMB,188.00,4.0,752.00
301041,鲜肉苁蓉炖飞天鸟,位,RMB,138.00,13.0,"1,794.00"
301042,花旗参人参果炖刺龟鱼,例,RMB,228.00,10.0,"2,280.00"
301043,青榄海螺海底椰,位,RMB,180.00,1.0,180.00
301044,太子参玉竹炖花胶,位,RMB,180.00,21.0,"3,780.00"
301044,太子参玉竹炖花胶,位,RMB,190.00,1.0,190.00
