ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0102001,风味汁大花螺,份,RMB,88.00,18.0,"1,584.00"
0102002,洋葱小木耳,份,RMB,28.00,175.0,"4,900.00"
0102003,意大利黑醋拌海蜇,份,RMB,88.00,22.0,"1,936.00"
0102004,蓝莓鹅肝三文鱼塔,份,RMB,88.00,39.0,"3,432.00"
0102006,虫草花素鲍卷,份,RMB,48.00,56.0,"2,688.00"
0102007,麻酱万年青,份,RMB,38.00,196.0,"7,448.00"
0102011,香醋花生配五香黑豆,份,RMB,28.00,49.0,"1,372.00"
0102012,骨胶原东海黄鱼冻,份,RMB,48.00,2.0,96.00
0102013,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,32.0,"2,816.00"
0102020,有机百合茄鹅肝沙律,份,RMB,88.00,10.0,880.00
0102022,法式海鲜沙律,份,RMB,88.00,7.0,616.00
0102023,三文鱼腩,件,RMB,25.00,14.0,350.00
0102024,吞拿鱼腩,件,RMB,70.00,6.0,420.00
0102026,蓝莓鹅肝,份,RMB,198.00,1.0,198.00
0102028,拍青瓜,份,RMB,28.00,27.0,756.00
0102029,炸花生,份,RMB,28.00,12.0,336.00
0102031,炸腰果,例,RMB,28.00,52.0,"1,456.00"
0102036,开胃泡椒鸭舌,份,RMB,58.00,89.0,"5,162.00"
0102038,青苹果煎西班牙乳猪,份,RMB,78.00,45.0,"3,510.00"
0102042,翠豆拌蚌仔,份,RMB,78.00,48.0,"3,744.00"
0102049,烟薰素鹅卷,份,RMB,48.00,45.0,"2,160.00"
0102051,水晶鸭舌,份,RMB,58.00,29.0,"1,682.00"
1201039,珍品凉菜三拼（2月套餐）,份,RMB,52.99,6.0,317.94
1201099,馆藏本草凉菜B（套餐）,位,RMB,74.31,184.0,"13,603.11"
1201166,珍品凉菜双拼B（套餐10月）,份,RMB,25.89,31.0,802.59
