ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801004,雪菜黄鱼稻庭汤面,位,RMB,38.00,55.0,"2,090.00"
0801005,樱花虾葱油稻庭冷面,位,RMB,38.00,55.0,"2,090.00"
0801018,樱花虾葱油稻庭冷面（半价）,位,RMB,19.00,79.0,"1,501.00"
0802001,人参灌汤包,半打,RMB,48.00,96.0,"4,608.00"
0802003,黄耳野菌饺,件,RMB,10.00,171.0,"1,710.00"
0802004,青芥石蚝卷,件,RMB,10.00,74.0,740.00
0802005,松茸莲藕酥,件,RMB,12.00,125.0,"1,500.00"
0802007,焦糖蜂巢糕,半打,RMB,30.00,6.0,180.00
0802012,松皮菜肉包,件,RMB,10.00,162.0,"1,620.00"
0802013,洛神花果冻,件,RMB,10.00,19.0,190.00
0802015,寿桃（小）,只,RMB,8.00,12.0,96.00
0802031,家乡艾糍,半打,RMB,48.00,15.0,720.00
0802031,家乡艾糍,件,RMB,8.00,5.0,40.00
0802036,栗子冻饼,位,RMB,16.00,2.0,32.00
0802038,朱古力心太软,位,RMB,20.00,16.0,320.00
0802039,巧克力黑白配慕斯,位,RMB,18.00,2.0,36.00
0802040,养生灵芝金瓜糕,位,RMB,20.00,1.0,20.00
0802041,椰香桂花糕,位,RMB,16.00,17.0,272.00
0802042,意大利提拉米苏,位,RMB,20.00,67.0,"1,340.00"
0802043,欧式芝士蛋糕,位,RMB,26.00,8.0,208.00
0802044,美式芝士饼,位,RMB,22.00,9.0,198.00
0802045,蓝莓经典,位,RMB,18.00,7.0,126.00
0802046,法式焦糖炖蛋,位,RMB,16.00,41.0,656.00
0802047,传统姜撞奶,位,RMB,16.00,40.0,640.00
0802048,鲜水果忌廉生日蛋糕,磅,RMB,68.00,3.0,204.00
0802049,精选黑森林生日蛋糕,磅,RMB,80.00,3.0,240.00
0802052,黑芝麻雪芭,位,RMB,28.00,26.0,728.00
0802058,精选黑森林生日蛋糕(员工价）,磅,RMB,48.00,3.0,144.00
0802059,鲜水果忌廉生日蛋糕（员工价）,磅,RMB,48.00,20.0,960.00
0802061,松茸莲藕酥（半价）,件,RMB,6.00,65.0,390.00
0802062,生煎黑椒雪花牛肉包,半打,RMB,48.00,22.0,"1,056.00"
0802063,歌剧蛋糕,位,RMB,18.00,12.0,216.00
0803001,西藏甘草雪莲子,位,RMB,20.00,15.0,300.00
0803003,杨枝甘露,位,RMB,20.00,2.0,40.00
0806005,焦糖蜂巢糕（中）,份,RMB,18.00,18.0,324.00
0806005,芝士牛油野鸡卷（大）,份,RMB,22.00,31.0,682.00
0806006,金瓜豆豉蒸排骨（特）,份,RMB,26.00,154.0,"4,004.00"
0806008,客家萝卜丝饺（中）,份,RMB,18.00,18.0,324.00
0806009,岭南猪脚姜（顶）,份,RMB,30.00,5.0,150.00
0806010,黑竹盐脆虾包（特）,份,RMB,26.00,50.0,"1,300.00"
0806011,黄瓜煎薄餐（小）,份,RMB,13.00,117.0,"1,521.00"
0806013,法式蛋挞（中）(半价),份,RMB,9.00,379.0,"3,411.00"
0806014,金网青芥石蚝卷（中）,份,RMB,18.00,42.0,756.00
0806015,松皮菜肉包（中）,份,RMB,18.00,68.0,"1,224.00"
0806016,台南铁板煎萝卜糕（大）,份,RMB,22.00,106.0,"2,332.00"
0806017,咖喱芝心角（中）,份,RMB,18.00,30.0,540.00
0806019,黑松露蒸牛肉球（特）,份,RMB,26.00,73.0,"1,898.00"
0806020,香草酱皇蒸凤爪（大）(半价),份,RMB,11.00,396.0,"4,356.00"
0806020,香草酱皇蒸凤爪（大）.(半价),份,RMB,11.00,9.0,99.00
0806021,健康麻薯包（中）,份,RMB,18.00,18.0,324.00
0806021,金网菜肉饺（大）,份,RMB,22.00,27.0,594.00
0807001,黑松露素粉果（特）(半价),份,RMB,13.00,514.0,"6,682.00"
0807001,黑松露素粉果（特）.(半价),份,RMB,13.00,10.0,130.00
0807002,松茸莲藕酥（顶）,份,RMB,30.00,137.0,"4,110.00"
0807003,蟹籽百灵菇烧卖（大）,份,RMB,22.00,95.0,"2,090.00"
0807004,补气鲜参灌汤包（特）,份,RMB,26.00,303.0,"7,878.00"
0807005,金兰花虾饺皇（特）,份,RMB,26.00,141.0,"3,666.00"
0808004,脆皮野菌肠（大）(半价),份,RMB,11.00,322.0,"3,542.00"
