ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401003,铁板低温和牛肉配味黄瓜,位,RMB,118.00,513.0,"60,534.00"
0401010,木鱼汁香煎法国鹅肝,位,RMB,168.00,30.0,"5,040.00"
0401011,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,16.0,"1,408.00"
0402001,黑竹盐极品牛肉,位,RMB,280.00,190.0,"53,200.00"
0402002,本草汤灼极品牛肉,位,RMB,198.00,4.0,792.00
0402002,本草汤灼极品牛肉,位,RMB,280.00,7.0,"1,960.00"
0402003,日本黑竹盐烧和牛膜,位,RMB,338.00,1.0,338.00
0402005,野米煮龙趸皮,位,RMB,168.00,9.0,"1,512.00"
0402006,五谷南瓜盅,位,RMB,48.00,175.0,"8,400.00"
0402010,温泉蛋脆皮雪花牛肉,位,RMB,280.00,44.0,"12,320.00"
0402017,红烧羊肚菌,位,RMB,128.00,5.0,640.00
0402018,野米煮淮山,位,RMB,48.00,24.0,"1,152.00"
0402028,黑松露吞拿鱼腩,位,RMB,128.00,8.0,"1,024.00"
0402034,冻鹅肝,位,RMB,88.00,4.0,352.00
0402044,酒烧台湾野生乌鱼籽,位,RMB,68.00,29.0,"1,972.00"
0402050,黑菌慢煮野生笋壳配露笋汁,位,RMB,78.00,46.0,"3,588.00"
0402051,鲜茄汤烩海胆蟹钳,位,RMB,88.00,43.0,"3,784.00"
0402053,夏日鲜茄局鲜莲,位,RMB,68.00,3.0,204.00
0402055,香煎淮山炒带子,例,RMB,160.00,6.0,960.00
0402057,什菌汁煮日本帆立贝,位,RMB,78.00,36.0,"2,808.00"
0402067,日本翡翠黄金冻鲍,只,RMB,128.00,10.0,"1,280.00"
0402069,五谷飞弹牛肉盏,位,RMB,128.00,2.0,256.00
0402070,脆皮鲜虾荠菜卷,位,RMB,58.00,1.0,58.00
0402072,香煎飞弹和牛,位,RMB,480.00,4.0,"1,920.00"
0402075,日本黑竹盐烧和牛膜（半价）,位,RMB,169.00,89.0,"15,041.00"
