ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401001,火山石窝龙趸扒,位,RMB,98.00,193.0,"18,914.00"
0401002,法式香草煎龙虾扒,位,RMB,168.00,11.0,"1,848.00"
0401007,美国燕麦局大连鲍,位,RMB,88.00,34.0,"2,992.00"
0401008,脆烧星斑扒,位,RMB,138.00,98.0,"13,524.00"
0401014,低温白雪龙虾仔,位,RMB,128.00,1.0,128.00
0401017,咸柠檬灼鲜鲍,位,RMB,108.00,61.0,"6,588.00"
0401018,金柚手撕龙虾,位,RMB,138.00,152.0,"20,976.00"
0401019,火山石烧星斑头腩,位,RMB,128.00,29.0,"3,712.00"
0401028,咸柠檬灼鲜鲍（半价）,位,RMB,54.00,56.0,"3,024.00"
0401029,脆烧星斑扒（半价）,位,RMB,69.00,86.0,"5,934.00"
0501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,7.0,"1,176.00"
1201033,法式龙虾扒（2月套餐）,位,RMB,119.58,25.0,"2,989.59"
1201040,泡椒石板野生龙趸（2月套餐）,例,RMB,158.98,6.0,953.88
1201113,二十年陈皮蒸龙趸球（3月套餐）,位,RMB,38.83,8.0,310.60
0301003,百岁草炖珍珠鲍鱼,位,RMB,180.00,102.0,"18,360.00"
0606001,娃娃鱼,斤,RMB,680.00,0.8,544.00
0606001,娃娃鱼,斤,RMB,980.00,4.5,"4,410.00"
0601002,老鼠斑,斤,RMB,698.00,4.6,"3,210.80"
0601003,东星斑,斤,RMB,698.00,9.2,"6,421.60"
0601016,东星斑（半价）,斤,RMB,349.00,21.6,"7,538.40"
0601016,东星斑（半价）,斤,RMB,398.00,10.4,"4,139.20"
0601016,东星斑（半价）,斤,RMB,438.00,2.0,876.00
0601017,老鼠斑（半价）,斤,RMB,349.00,13.6,"4,746.40"
0601017,老鼠斑（半价）,斤,RMB,398.00,11.5,"4,577.00"
0601019,蓝东星斑（半价）,斤,RMB,149.00,113.2,"16,866.80"
0601020,老虎斑（半价）,斤,RMB,119.00,7.1,844.90
0601022,蓝东星,斤,RMB,150.00,1.0,150.00
0601022,蓝东星,斤,RMB,298.00,28.6,"8,522.80"
0602001,花龙虾,斤,RMB,876.00,3.8,"3,328.80"
0602003,龙虾仔,斤,RMB,598.00,5.2,"3,109.60"
0602006,斑马虾,斤,RMB,350.00,1.8,630.00
0602006,斑马虾,斤,RMB,498.00,18.7,"9,312.60"
0602008,大虾皇,斤,RMB,360.00,1.2,432.00
0602008,大虾皇,斤,RMB,450.00,3.0,"1,350.00"
0602011,花龙虾（半价）,斤,RMB,438.00,35.4,"15,505.20"
0602012,龙虾仔（半价）,斤,RMB,299.00,10.8,"3,229.20"
0602012,龙虾仔（半价）,斤,RMB,368.00,2.4,883.20
0602013,波士顿龙虾（半价）,斤,RMB,149.00,14.1,"2,100.90"
0602015,大虾皇（半价）,斤,RMB,225.00,10.1,"2,272.50"
0602016,斑马虾(半价）,斤,RMB,249.00,16.5,"4,108.50"
0602016,斑马虾(半价）,斤,RMB,298.00,36.2,"10,787.60"
0602016,斑马虾(半价）,斤,RMB,299.00,2.4,717.60
0603001,象拔蚌,斤,RMB,468.00,6.1,"2,854.80"
0603001,象拔蚌,斤,RMB,538.00,6.0,"3,228.00"
0603001,象拔蚌,斤,RMB,598.00,8.8,"5,262.40"
0603004,南非野生鲍,斤,RMB,600.00,15.9,"9,540.00"
0603010,南非野生鲍（半价）,斤,RMB,300.00,0.8,240.00
0603010,南非野生鲍（半价）,斤,RMB,398.00,12.9,"5,134.20"
0603012,象拔蚌（半价）,斤,RMB,299.00,55.7,"16,654.30"
0603012,象拔蚌（半价）,斤,RMB,368.00,15.7,"5,777.60"
0401015,泡椒私房焖龙趸,例,RMB,168.00,17.0,"2,856.00"
0605002,开刀东星头腩,斤,RMB,538.00,2.4,"1,291.20"
0605004,开刀苏眉肉,斤,RMB,"1,080.00",2.0,"2,160.00"
0605006,开刀龙趸,斤,RMB,198.00,18.0,"3,564.00"
0605010,开刀东星头腩（半价）,斤,RMB,269.00,11.0,"2,959.00"
0605010,开刀东星头腩（半价）,斤,RMB,298.00,3.7,"1,102.60"
0605011,开刀苏眉肉（半价）,斤,RMB,540.00,2.5,"1,350.00"
0605011,开刀苏眉肉（半价）,斤,RMB,598.00,9.2,"5,501.60"
0605012,开刀苏眉头腩（半价）,斤,RMB,540.00,1.0,540.00
0605012,开刀苏眉头腩（半价）,斤,RMB,598.00,4.0,"2,392.00"
0605013,开刀苏眉咀（半价）,斤,RMB,590.00,3.5,"2,065.00"
0605014,开刀龙趸(半价）,斤,RMB,99.00,57.6,"5,702.40"
