ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0102001,风味汁大花螺,份,RMB,88.00,27.0,"2,376.00"
0102002,洋葱小木耳,份,RMB,28.00,175.0,"4,900.00"
0102003,意大利黑醋拌海蜇,份,RMB,88.00,13.0,"1,144.00"
0102004,蓝莓鹅肝三文鱼塔,份,RMB,88.00,53.0,"4,664.00"
0102006,虫草花素鲍卷,份,RMB,48.00,39.0,"1,872.00"
0102007,麻酱万年青,份,RMB,38.00,210.0,"7,980.00"
0102011,香醋花生配五香黑豆,份,RMB,28.00,50.0,"1,400.00"
0102012,骨胶原东海黄鱼冻,份,RMB,48.00,13.0,624.00
0102013,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,32.0,"2,816.00"
0102023,三文鱼腩,件,RMB,25.00,12.0,300.00
0102028,拍青瓜,份,RMB,28.00,34.0,952.00
0102029,炸花生,份,RMB,28.00,12.0,336.00
0102031,炸腰果,例,RMB,28.00,52.0,"1,456.00"
0102036,开胃泡椒鸭舌,份,RMB,58.00,101.0,"5,858.00"
0102038,青苹果煎西班牙乳猪,份,RMB,78.00,70.0,"5,460.00"
0102042,翠豆拌蚌仔,份,RMB,78.00,43.0,"3,354.00"
0102049,烟薰素鹅卷,份,RMB,48.00,30.0,"1,440.00"
0102051,水晶鸭舌,份,RMB,58.00,33.0,"1,914.00"
0102057,果香三拼,份,RMB,38.00,60.0,"2,280.00"
0102058,红富士温拌翡翠鲍片,份,RMB,98.00,1.0,98.00
0102059,万年青拼素鹅卷,份,RMB,38.00,4.0,152.00
0102060,洋葱木耳拼双豆,份,RMB,28.00,6.0,168.00
0102061,海蜇丝拼醋泡花生,份,RMB,48.00,3.0,144.00
1201099,馆藏本草凉菜B（套餐）,位,RMB,67.95,211.0,"14,324.63"
1201166,珍品凉菜双拼B（套餐10月）,份,RMB,29.30,47.0,"1,377.10"
