ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0911002,陈年普洱,位,RMB,28.00,175.0,"4,900.00"
0911005,清香铁观音,位,RMB,28.00,60.0,"1,680.00"
0901006,拉菲副牌2004年,支,RMB,"3,800.00",2.0,"7,600.00"
0901013,澳洲奔富407,支,RMB,980.00,8.0,"7,840.00"
0901014,澳洲奔富707,支,RMB,"3,200.00",1.0,"3,200.00"
0901015,杰卡斯珍藏西拉,支,RMB,360.00,1.0,360.00
0901016,梅乐卡伯纳红2012年,支,RMB,600.00,1.0,600.00
0901017,杰卡斯梅洛干红,支,RMB,480.00,6.0,"2,880.00"
0902009,马爹利尚选.700ML,支,RMB,"4,390.00",1.0,"4,390.00"
0902017,马爹利蓝带.350ML,支,RMB,"1,200.00",1.0,"1,200.00"
0903001,1990年梅鹿液53度,支,RMB,980.00,10.0,"9,800.00"
0903004,高度茅台53度,支,RMB,"1,980.00",1.0,"1,980.00"
0908001,绍兴10年花雕,支,RMB,298.00,2.0,596.00
0909001,青岛,支,RMB,26.00,43.0,"1,118.00"
0910001,野生花旗参蜜枣茶,位,RMB,28.00,184.0,"5,152.00"
0910002,博士养生茶,位,RMB,28.00,579.0,"16,212.00"
0910003,红枣枸杞雪菊茶,位,RMB,28.00,322.0,"9,016.00"
0910004,西藏甘草雪茶,位,RMB,28.00,87.0,"2,436.00"
0910005,藏红花润肺茶,位,RMB,38.00,87.0,"3,306.00"
0910006,冰冻清润茶,位,RMB,18.00,42.0,756.00
0910009,日本芽茶,位,RMB,28.00,29.0,812.00
0910010,博士养生茶(赠送）,位,RMB,0.00,"1,744.0",0.00
0910011,红枣枸杞雪菊茶（午市散台）,位,RMB,18.00,205.0,"3,690.00"
0910012,西藏甘草雪茶（午市散台）,位,RMB,18.00,79.0,"1,422.00"
0910013,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,149.0,"2,682.00"
0910014,藏红花润肺茶（午市散台）,位,RMB,18.00,90.0,"1,620.00"
0910015,日本芽茶（午市散台）,位,RMB,18.00,49.0,882.00
0910016,博士养生茶(增加）,位,RMB,0.00,958.0,0.00
0912001,纸巾,包,RMB,8.00,92.0,736.00
0912002,扑克,副,RMB,10.00,1.0,10.00
0912005,保温瓶,个,RMB,50.00,4.0,200.00
0912007,长打包盒,个,RMB,2.00,200.0,400.00
0912008,圆打包盒,个,RMB,2.00,25.0,50.00
0912010,环保袋,个,RMB,3.00,115.0,345.00
0913001,软黑芙蓉王,包,RMB,88.00,8.0,704.00
0913002,软云烟,包,RMB,138.00,3.0,414.00
0913003,软中华,包,RMB,128.00,110.0,"14,080.00"
0914001,鲜榨苹果汁,杯,RMB,20.00,6.0,120.00
0914001,鲜榨苹果汁,渣,RMB,98.00,7.0,686.00
0914002,鲜榨哈蜜瓜汁,杯,RMB,20.00,5.0,100.00
0914004,鲜榨西瓜汁,杯,RMB,20.00,2.0,40.00
0914004,鲜榨西瓜汁,渣,RMB,98.00,1.0,98.00
0914006,鲜榨木瓜汁,杯,RMB,20.00,4.0,80.00
0914006,鲜榨木瓜汁,渣,RMB,98.00,5.0,490.00
0914010,水果（送）,位,RMB,0.00,"1,115.0",0.00
0914011,水果,位,RMB,28.00,3.0,84.00
0914012,餐前水果（送）,位,RMB,0.00,23.0,0.00
0914015,鲜榨新奇士橙汁,杯,RMB,20.00,20.0,400.00
0914015,鲜榨新奇士橙汁,渣,RMB,118.00,21.0,"2,478.00"
0914016,杏仁汁,杯,RMB,35.00,2.0,70.00
0914016,杏仁汁,渣,RMB,138.00,17.0,"2,346.00"
0914016,杏仁汁,渣,RMB,158.00,1.0,158.00
0914019,柠檬,个,RMB,10.00,19.0,190.00
0914019,柠檬,个,RMB,13.00,1.0,13.00
0914020,VIP水果（送）,位,RMB,0.00,"1,998.0",0.00
0915002,苏打水,罐,RMB,13.00,47.0,611.00
0915004,可乐,罐,RMB,13.00,8.0,104.00
0915005,大芙丝水,支,RMB,68.00,35.0,"2,380.00"
0915007,小芙丝水,支,RMB,30.00,12.0,360.00
0915008,意大利大普娜水（750ml）,支,RMB,38.00,39.0,"1,482.00"
0915009,意大利圣培露（柠檬汁）,瓶,RMB,25.00,8.0,200.00
0915010,意大利圣培露（橙汁）,瓶,RMB,25.00,5.0,125.00
0915011,意大利手磨咖啡,杯,RMB,38.00,4.0,152.00
0917001,大卫杜夫,支,RMB,280.00,1.0,280.00
0999001,大菜单余额,份,RMB,81.20,5.0,406.00
0999001,大菜单余额,份,RMB,116.00,2.0,232.00
0999001,大菜单余额,份,RMB,118.20,5.0,591.00
0999001,大菜单余额,份,RMB,144.20,4.0,576.80
1001001,普通茶（散）,位,RMB,10.00,980.0,"9,800.00"
1001002,普通茶（厅）,位,RMB,12.00,"1,039.0","12,468.00"
0918001,印象大红袍,盒,RMB,346.00,2.0,692.00
0918001,印象大红袍,盒,RMB,398.00,4.0,"1,592.00"
1002003,什项A,份,RMB,15.00,2.0,30.00
1002003,什项A,份,RMB,50.00,2.0,100.00
1002004,自带茶叶,位,RMB,15.00,154.0,"2,310.00"
1002004,自带茶叶,位,RMB,18.00,3.0,54.00
1099001,大菜单服务费,份,RMB,339.00,4.0,"1,356.00"
1099001,大菜单服务费,份,RMB,341.00,5.0,"1,705.00"
1099001,大菜单服务费,份,RMB,392.00,5.0,"1,960.00"
1099001,大菜单服务费,份,RMB,624.00,2.0,"1,248.00"
