ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801004,雪菜黄鱼稻庭汤面,位,RMB,38.00,88.0,"3,344.00"
0801005,樱花虾葱油稻庭冷面,位,RMB,38.00,48.0,"1,824.00"
0801021,青柠檬稻庭冷面,位,RMB,38.00,8.0,304.00
0802001,人参灌汤包,半打,RMB,48.00,182.0,"8,736.00"
0802003,黄耳野菌饺,件,RMB,10.00,301.0,"3,010.00"
0802004,青芥石蚝卷,件,RMB,10.00,54.0,540.00
0802005,松茸莲藕酥,件,RMB,12.00,418.0,"5,016.00"
0802007,焦糖蜂巢糕,半打,RMB,30.00,5.0,150.00
0802012,松皮菜肉包,件,RMB,10.00,250.0,"2,500.00"
0802013,洛神花果冻,件,RMB,10.00,121.0,"1,210.00"
0802015,寿桃（小）,只,RMB,8.00,24.0,192.00
0802017,蟹粉小笼包,只,RMB,30.00,70.0,"2,100.00"
0802038,朱古力心太软,位,RMB,18.00,21.0,378.00
0802040,养生灵芝金瓜糕,位,RMB,20.00,5.0,100.00
0802042,意大利提拉米苏,位,RMB,20.00,49.0,980.00
0802043,欧式芝士蛋糕,位,RMB,26.00,2.0,52.00
0802044,美式芝士饼,位,RMB,22.00,8.0,176.00
0802046,法式焦糖炖蛋,位,RMB,16.00,30.0,480.00
0802047,传统姜撞奶,位,RMB,16.00,38.0,608.00
0802048,鲜水果忌廉生日蛋糕,磅,RMB,68.00,2.0,136.00
0802059,鲜水果忌廉生日蛋糕（员工价）,磅,RMB,48.00,3.0,144.00
0802066,焦糖布甸蛋糕,位,RMB,20.00,7.0,140.00
0802067,蒸点四式拼,份,RMB,48.00,7.0,336.00
0802068,美点三品拼,份,RMB,28.00,5.0,140.00
0803001,西藏甘草雪莲子,位,RMB,20.00,25.0,500.00
0803003,杨枝甘露,位,RMB,20.00,21.0,420.00
0803016,百合莲子炖秋梨,位,RMB,38.00,27.0,"1,026.00"
0803017,羔烧银杏局椰皇,位,RMB,68.00,22.0,"1,496.00"
0806005,焦糖蜂巢糕（中）,份,RMB,18.00,95.0,"1,710.00"
0806006,金瓜豆豉蒸排骨（特）,份,RMB,26.00,165.0,"4,290.00"
0806008,客家萝卜丝饺（中）,份,RMB,18.00,98.0,"1,764.00"
0806009,岭南猪脚姜（顶）,份,RMB,30.00,42.0,"1,260.00"
0806010,黑竹盐脆虾包（特）,份,RMB,26.00,68.0,"1,768.00"
0806011,黄瓜煎薄餐（小）,份,RMB,13.00,96.0,"1,248.00"
0806013,法式蛋挞（中）,份,RMB,18.00,81.0,"1,458.00"
0806014,金网青芥石蚝卷（中）,份,RMB,18.00,71.0,"1,278.00"
0806015,松皮菜肉包（中）,份,RMB,18.00,71.0,"1,278.00"
0806016,台南铁板煎萝卜糕（大）,份,RMB,22.00,132.0,"2,904.00"
0806017,咖喱芝心角（中）,份,RMB,18.00,38.0,684.00
0806019,黑松露蒸牛肉球（特）,份,RMB,26.00,97.0,"2,522.00"
0806020,香草酱皇蒸凤爪（大）,份,RMB,22.00,131.0,"2,882.00"
0806021,健康麻薯包（中）,份,RMB,18.00,64.0,"1,152.00"
0807001,黑松露素粉果（特）,份,RMB,26.00,144.0,"3,744.00"
0807002,松茸莲藕酥（顶）,份,RMB,30.00,168.0,"5,040.00"
0807003,蟹籽百灵菇烧卖（大）,份,RMB,22.00,86.0,"1,892.00"
0807004,补气鲜参灌汤包（特）,份,RMB,26.00,291.0,"7,566.00"
0807005,金兰花虾饺皇（特）,份,RMB,26.00,136.0,"3,536.00"
0808004,脆皮野菌肠（大）,份,RMB,22.00,72.0,"1,584.00"
0808005,原笼五仁杂粮饭（小）,份,RMB,13.00,54.0,702.00
0808013,名酱红米肠（小）,份,RMB,13.00,64.0,832.00
0809003,养生灵芝金瓜糕（小）,份,RMB,13.00,23.0,299.00
0809004,蛋白杏仁茶（中）,份,RMB,18.00,52.0,936.00
0809005,台湾绿茶蛋糕（中）,份,RMB,18.00,35.0,630.00
0809006,奶酪酸奶布丁（大）,份,RMB,22.00,30.0,660.00
0809007,洛神花果冻（中）,份,RMB,18.00,18.0,324.00
0899001,草莓,碟,RMB,10.00,1.0,10.00
1201007,焦糖布甸蛋糕(11月套餐),位,RMB,10.38,184.0,"1,909.67"
1201012,焦糖布甸蛋糕。(11月套餐),份,RMB,38.32,47.0,"1,801.04"
0501091,忌廉瑶柱局秋茄,例,RMB,76.00,4.0,304.00
0801007,龙虾汤稻庭面,位,RMB,38.00,859.0,"32,642.00"
0808009,龙虾汤稻庭面（特）,份,RMB,26.00,90.0,"2,340.00"
1201097,龙虾汤稻庭面（套餐）,位,RMB,24.39,211.0,"5,142.02"
