ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401003,铁板低温和牛肉配味黄瓜,位,RMB,138.00,659.0,"90,942.00"
0401010,木鱼汁香煎法国鹅肝,位,RMB,168.00,21.0,"3,528.00"
0401011,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,50.0,"4,400.00"
0402001,黑竹盐极品牛肉,位,RMB,280.00,189.0,"52,920.00"
0402003,日本黑竹盐烧和牛膜,位,RMB,338.00,8.0,"2,704.00"
0402006,五谷南瓜盅,位,RMB,48.00,229.0,"10,992.00"
0402010,温泉蛋脆皮雪花牛肉,位,RMB,280.00,38.0,"10,640.00"
0402011,百花雀,只,RMB,68.00,256.0,"17,408.00"
0402017,红烧羊肚菌,位,RMB,128.00,4.0,512.00
0402018,野米煮淮山,位,RMB,48.00,7.0,336.00
0402028,黑松露吞拿鱼腩,位,RMB,128.00,12.0,"1,536.00"
0402034,冻鹅肝,位,RMB,88.00,16.0,"1,408.00"
0402044,酒烧台湾野生乌鱼籽,位,RMB,68.00,5.0,340.00
0402047,鱼籽酱焖野生刺参,位,RMB,128.00,15.0,"1,920.00"
0402050,黑菌慢煮野生笋壳配露笋汁,位,RMB,78.00,40.0,"3,120.00"
0402051,鲜茄汤烩海胆蟹钳,位,RMB,88.00,46.0,"4,048.00"
0402053,夏日鲜茄局鲜莲,位,RMB,68.00,9.0,612.00
0402055,香煎淮山炒带子,例,RMB,160.00,21.0,"3,360.00"
0402066,珍菌煎西班牙火腿片,位,RMB,98.00,16.0,"1,568.00"
0402071,金瓜烩龙趸皮,位,RMB,138.00,19.0,"2,622.00"
0402083,西班牙火腿片,位,RMB,88.00,24.0,"2,112.00"
0402090,鲜茄汤烩红毛蟹肉,位,RMB,88.00,52.0,"4,576.00"
