ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0202001,六味岩燕盏,位,RMB,380.00,8.0,"3,040.00"
0202005,津梨炖岩燕盏,位,RMB,180.00,16.0,"2,880.00"
0202010,鲜无花果烩官燕,位,RMB,380.00,8.0,"3,040.00"
1201207,椰皇炖官燕（组合）,位,RMB,47.00,4.0,188.00
0205001,法国金兰花烩鲍翅皇,位,RMB,480.00,4.0,"1,920.00"
0205002,鲍汁荷香海虎翅,位,RMB,680.00,9.0,"6,120.00"
0505015,金瓜茸烩鲍翅羹,位,RMB,168.00,16.0,"2,688.00"
0302001,三支虫草巴戟炖花胶,位,RMB,580.00,26.0,"15,080.00"
0302002,1500庄虫草,条,RMB,118.00,6.0,708.00
0302005,1800庄三支冬虫草炖肉汁,位,RMB,380.00,1.0,380.00
0201316,日本岩手吉品鲍25头（6折特惠价）,位,RMB,408.00,2.0,816.00
0201317,日本岩手吉品鲍20头（6折特惠价）,位,RMB,528.00,20.0,"10,560.00"
0201318,日本制南非20头吉品鲍（6折特惠价）,位,RMB,288.00,6.0,"1,728.00"
1201206,日本3头岩手大网鲍扒烟薰姬松茸菌配汤（组合）,位,RMB,"1,833.00",4.0,"7,332.00"
